up_hydrosequence,down_hydrosequence,up_id3dhp,down_id3dhp,from_huc12,to_huc12,up_feature_type,down_feature_type,up_physicality,down_physicality,up_source_generation,down_source_generation,transition_class,transition_id
12115684,12105079,158ND,5BAFG,041000071201,041000040502,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12115684->12105079
14170509,14162894,159AB,64GMZ,041000040402,041000040403,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14170509->14162894
6792942,6773844,15GHX,1F5DN,041000050106,041000050105,Hydro Unenforced Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,6792942->6773844
8170032,8153336,15GLX,EWS7V,041000050106,041000050103,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,8170032->8153336
13837615,13829033,15KMW,B4OTC,041000030405,041000030403,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13837615->13829033
12434915,12424222,15KWJ,AUZ14,041000030705,041000030704,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12434915->12424222
6290843,6271188,16W3C,5WCA7,041000050106,041000050201,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,6290843->6271188
2924350,2892026,16WVJ,FWBAM,041000090802,041000090602,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,2924350->2892026
3373357,3345112,189W9,DI2L4,041000090204,041000090206,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,3373357->3345112
7542561,7525030,18A9D,2PIEN,041000080105,041000080203,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,7542561->7525030
6562103,6543044,18AC6,9PXCD,041000070203,041000070204,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6562103->6543044
11719006,11708169,1A3KM,BNT0C,041000040406,041000040408,Drainageway,Canal,drainageway,canal,migrated_nhd,migrated_nhd,physical_hydrography,11719006->11708169
12232940,12222277,1A3M6,FKX7N,041000040401,041000040408,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12232940->12222277
8453659,8436938,1A3SO,2RC1B,041000040605,041000040606,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,8453659->8436938
11697322,11686363,1A4EO,CQPQO,041000040408,041000040407,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,11697322->11686363
6310430,6290853,1ABCR,H2OVP,041000050106,041000050105,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,6310430->6290853
5954755,5934765,1ABDU,AUVJR,041000050105,041000050106,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,5954755->5934765
11686419,11675509,1AFVZ,EDF5Y,041000030705,041000030704,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11686419->11675509
689479,532925,1D3XS,4LA1K,041000090903,041000090904,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,689479->532925
7648392,7630649,1D4EJ,7OYE5,041000070101,041000070103,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7648392->7630649
14045762,14037799,1F8W9,BO53P,041000030603,041000030404,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14045762->14037799
12434941,12424246,1F8YA,1YKOR,041000030603,041000030602,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12434941->12424246
10445092,10431854,1F95V,DFD23,041000030806,041000030805,Drainageway,Waterbody Connector,drainageway,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,10445092->10431854
12211702,12201048,1F98K,M7K5,041000030707,041000030703,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12211702->12201048
12851689,12841601,1F9S1,9N847,041000030502,041000030406,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,12851689->12841601
8270141,8253500,1HY98,C5GCH,041000080101,041000080103,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,8270141->8253500
13620880,13612164,1JRMH,FZJCJ,041000040403,041000040402,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13620880->13612164
11902504,11891926,1JRMO,AZIOR,041000040407,041000040501,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11902504->11891926
14155165,14147514,1JRMX,9RRFI,041000040501,041000040403,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14155165->14147514
13260296,13250408,1K288,8TZVO,041000030404,041000030602,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,13260296->13250408
11506471,11495324,1K29F,DK7MN,041000030801,041000030707,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11506471->11495324
11347524,11336076,1K2O5,85OTM,041000030804,041000030803,Surface Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,11347524->11336076
13947687,13939294,1K2OW,CHB8Q,041000030602,041000030404,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13947687->13939294
13140773,13130922,1K2VG,5Q666,041000030502,041000030406,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13140773->13130922
4295429,4272304,1MSAV,1MSEJ,041000071103,041000071209,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4295429->4272304
4478160,4455399,1MSDM,9BC4J,041000060504,041000060604,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4478160->4455399
6349187,6329754,1OKCC,FB5CG,041000050106,041000071205,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,6349187->6329754
11023602,11011444,1OL4E,LW2M,041000040602,041000040503,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11023602->11011444
9244048,9228991,1OWFV,B9J7C,041000030806,041000030805,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,9244048->9228991
13511622,13502093,1OWJH,G4QCG,041000030403,041000030404,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13511622->13502093
8436943,8420021,1OWS1,F1S0J,041000040606,041000030806,Hydro Unenforced Connector,Hydro Unenforced Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,8436943->8420021
4086098,4062524,1Q8LK,91L72,041000050208,041000090201,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4086098->4062524
4614018,4591699,1RMJV,59HKU,041000060403,041000060404,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,4614018->4591699
6388091,6368593,1TEVX,GNSDM,041000050106,041000071205,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,6388091->6368593
11095034,11083261,1TFIB,APSVU,041000040502,041000040504,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11095034->11083261
9258876,9243955,1TFII,BXI4C,041000030806,041000040605,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9258876->9243955
12105048,12094468,1TG39,7C796,041000040408,041000040406,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12105048->12094468
13309581,13299715,1TG4U,FZJD7,041000040402,041000040405,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13309581->13299715
3169865,3139935,1WGH5,6M1BV,041000090508,041000090509,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,3169865->3139935
4249374,4226458,1WGHT,5J9T,041000070806,041000071004,Hydro Unenforced Connector,Canal,authoritative_network_connector,canal,migrated_nhd,migrated_nhd,authoritative_network_connector,4249374->4226458
4086099,4062525,1WGKP,FST1Z,041000060604,041000090201,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4086099->4062525
4944104,4922301,1WGKS,GLZ3P,041000071004,041000071005,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,4944104->4922301
4523952,4501047,1WGLG,EPUXI,041000050207,041000050208,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4523952->4501047
12882048,12871890,1WGLH,EG4EX,041000030201,041000030202,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,12882048->12871890
5307595,5286805,1WGLP,2EFXD,041000050201,041000071206,Surface Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,5307595->5286805
11130007,11118484,1Y9F0,6J00T,041000040502,041000040504,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,11130007->11118484
9891336,9877326,1Y9L5,FUNUK,041000040604,041000040603,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9891336->9877326
5934781,5914589,1YH0V,H8WX,041000050203,041000050104,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,5934781->5914589
7094478,7075856,1YH7L,G9G0T,041000050103,041000050105,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,7094478->7075856
12632922,12622793,1YKYH,56R4L,041000030602,041000030601,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12632922->12622793
10715918,10703222,1YL0P,3FU52,041000030805,041000030707,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,10715918->10703222
14061671,14053684,1YL92,8K9Y5,041000030402,041000030405,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14061671->14053684
7240859,7222693,21AC5,7OYG6,041000070105,041000070202,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,7240859->7222693
4501052,4478160,21AG6,1MSDM,041000060404,041000060504,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4501052->4478160
11608141,11596773,23EFN,D0R8E,041000030702,041000030707,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,11608141->11596773
12592495,12582267,264KV,F9CQP,041000030204,041000030106,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,12592495->12582267
4900551,4878802,264LR,5J6EO,041000060401,041000060402,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,4900551->4878802
5052306,5030863,264MI,GVQE3,041000050202,041000050205,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,5052306->5030863
12911823,12901886,27YDB,ERP9Y,041000040304,041000040404,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12911823->12901886
6945474,6926713,285GT,5L7PL,041000050106,041000050105,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,6945474->6926713
12901941,12892056,289F9,5LBQN,041000030602,041000030603,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12901941->12892056
6485247,6465865,2AYSI,7F82J,041000080502,041000080506,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6485247->6465865
6600755,6581399,2AYUY,3DPAF,041000070306,041000070402,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6600755->6581399
7259110,7240859,2AYX0,21AC5,041000070104,041000070105,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,7259110->7240859
9333213,9318443,2CRAZ,5ZK1T,041000071202,041000071203,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9333213->9318443
8004258,7987553,2CREK,4DE1Q,041000071203,041000071204,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,8004258->7987553
10458215,10444997,2CS2D,BNSYY,041000040503,041000040602,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,10458215->10444997
11608140,11596772,2D3AI,1AEXF,041000030604,041000030707,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,11608140->11596772
3345117,3316786,2FT2U,6VRTX,041000090105,041000090106,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,3345117->3316786
8369960,8353353,2HUKA,G4MJI,041000050102,041000050101,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,8369960->8353353
12602619,12592409,2HY19,BSZRS,041000030601,041000030702,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12602619->12592409
11697353,11686391,2HY49,BEEX6,041000030705,041000030703,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11697353->11686391
9273823,9258921,2J4H,GXKMO,041000040604,041000040603,Hydro Unenforced Connector,Hydro Unenforced Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,9273823->9258921
13270075,13260254,2JIM,80IRU,041000040403,041000040402,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13270075->13260254
12861644,12851574,2JOT,EMU0H,041000040407,041000040406,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12861644->12851574
5754772,5735047,2KNUQ,3X2BG,041000080601,041000080602,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,5754772->5735047
7542562,7525031,2KNUY,4UYMH,041000080104,041000080203,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7542562->7525031
4768578,4746638,2KNW0,4JW2Y,041000071208,041000050205,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,4768578->4746638
4922307,4900535,2KNX6,18ABZ,041000050203,041000050205,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4922307->4900535
9724697,9710821,2MG78,B978T,041000040401,041000071201,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9724697->9710821
9780397,9766477,2MGTE,5PUBL,041000040604,041000040603,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9780397->9766477
13989058,13980856,2MHFA,8F2XD,041000040406,041000040403,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13989058->13980856
11934555,11923885,2MHGV,ED3LM,041000040407,041000040501,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11934555->11923885
6251539,6231995,2MOSS,AG9C5,041000050106,041000050201,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,6251539->6231995
12275292,12264769,2MS6B,4S8OV,041000030701,041000030702,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12275292->12264769
11393276,11381810,2MS9L,9DGLV,041000030803,041000030707,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11393276->11381810
9849405,9835528,2MSSZ,8Z2C,041000040605,041000030806,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9849405->9835528
6094084,6073976,2PIHO,9BC5B,041000070603,041000070604,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6094084->6073976
4591687,4569197,2PII1,59HIX,041000071209,041000071208,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4591687->4569197
7455296,7437835,2PIIL,9PXCZ,041000070102,041000070105,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,7455296->7437835
6133606,6113905,2QJR,DYOXZ,041000050106,041000050201,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,6133606->6113905
306927,55466,2QM9,B9FRR,041000050102,041000050103,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,306927->55466
12169175,12158520,2RBF9,G4FA5,041000040501,041000040407,Drainageway,Canal,drainageway,canal,migrated_nhd,migrated_nhd,physical_hydrography,12169175->12158520
13279974,13270074,2RBZP,BE45C,041000040403,041000040402,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,13279974->13270074
14201052,14193467,2RBZV,5ZLDF,041000040402,041000040403,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14201052->14193467
11870465,11859618,2RC0B,GNTS3,041000040501,041000040407,Drainageway,Canal,drainageway,canal,migrated_nhd,migrated_nhd,physical_hydrography,11870465->11859618
12811494,12801638,2U1U,5GGRN,041000030502,041000030504,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12811494->12801638
3018470,2987460,2UCRV,5J5WJ,041000090207,041000090403,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,3018470->2987460
5159967,5138517,2UCUD,3NE28,041000070801,041000070806,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,5159967->5138517
5554343,5534008,2UCWY,2PIFZ,041000070502,041000070503,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,5554343->5534008
11596843,11585444,2UVN,7M8IW,041000030801,041000030802,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11596843->11585444
7836713,7819904,30ZYA,5B9JX,041000071204,041000071205,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7836713->7819904
11902505,11891926,3115W,AZIOR,041000040407,041000040501,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11902505->11891926
12169127,12158458,3117Y,5BATT,041000040401,041000040408,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,12169127->12158458
6212361,6192516,362FV,15GK4,041000050106,041000050201,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,6212361->6192516
7313934,7295649,362HU,3U9CZ,041000050103,041000050105,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,7313934->7295649
12041180,12030465,365YX,77MP8,041000030703,041000030705,Channel Line,Canal,physical_channel,canal,migrated_nhd,migrated_nhd,physical_hydrography,12041180->12030465
11596779,11585386,365Z7,5ZWB6,041000030704,041000030706,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11596779->11585386
12541113,12530575,366J3,8AJ7O,041000030601,041000030602,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12541113->12530575
14061669,14053683,366KM,5GGQM,041000030401,041000030405,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14061669->14053683
4546593,4523945,38V1E,4ZSQK,041000071208,041000071209,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,4546593->4523945
6465864,6446574,38V25,COVOO,041000080304,041000080506,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6465864->6446574
6054011,6034168,38V2K,G2L0T,041000080405,041000080602,Channel Line,Waterbody Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6054011->6034168
7331866,7313881,3ANPU,5KZ57,041000071204,041000071205,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7331866->7313881
7507579,7490031,3ANPV,DYGFM,041000071203,041000071205,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7507579->7490031
12296408,12285779,3AOE8,D5C8J,041000040405,041000040305,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12296408->12285779
10325935,10312644,3AP0S,BXIRX,041000040504,041000040602,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,10325935->10312644
5914584,5894383,3AW53,CQX04,041000050104,041000050203,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,5914584->5894383
11784341,11773519,3AZLC,DTXY4,041000030704,041000030706,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11784341->11773519
13905613,13897167,3B09X,FZUSG,041000030405,041000030403,Channel Line,Surface Connector,physical_channel,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,13905613->13897167
12991435,12981363,3B09Z,A6NCR,041000030602,041000030601,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,12991435->12981363
11653229,11642096,3B0HV,3PJR8,041000030703,041000030705,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11653229->11642096
3590727,3537273,3DP3Z,6VRID,041000090508,041000090501,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,3590727->3537273
3991214,3967191,3DP5S,YLLK,041000090104,041000090103,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,3991214->3967191
6869384,6850157,3DP9V,2KNX7,041000060102,041000060103,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,6869384->6850157
9075827,9060531,3FHSH,DF0N2,041000071204,041000071203,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9075827->9060531
14155166,14147514,3FJAL,9RRFI,041000040501,041000040403,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,14155166->14147514
12771709,12761695,3FJAO,4WRI4,041000040407,041000040406,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12771709->12761695
7020330,7001717,3FQJU,GSWSG,041000050103,041000050105,Canal,Canal,canal,canal,migrated_nhd,migrated_nhd,physical_hydrography,7020330->7001717
11913308,11902635,3FTU4,80TNA,041000030604,041000030702,Hydro Unenforced Connector,Hydro Unenforced Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,11913308->11902635
11784325,11773505,3FTY3,B4OGZ,041000030707,041000030604,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11784325->11773505
3259200,3229693,3IJNG,E6D1J,041000090206,041000090207,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,3259200->3229693
7038815,7020309,3KC6Z,E862B,041000071205,041000071203,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7038815->7020309
9974560,9960662,3KCU7,DTM3S,041000040603,041000040604,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9974560->9960662
7700940,7683576,3KKNJ,1TNAL,041000050102,041000050103,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7700940->7683576
