huc12,receiving_flowline_ids,downstream_huc12,downstream_relationship_count,physical_transition_count,connector_transition_count,source_method,confidence,divergence_note
041000030405,15KMW;366KN;3B09X;56R61;5Q665;64S3U;6EHM1;8FEGL;9S2RV;9WWOG;B4OTC;BSZ85;C2PXD;DFD92;FQ32P;FZUSG;GT0XV,041000030305;041000030402;041000030403;041000030404;041000030406,9,6,3,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000030406,2RMT8;4IK9D;6T29I;9N77C;B4OIE;DAI7K,041000030404;041000030502;041000030503,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030501,A4HX6;CF5QU,041000030503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030502,1F9S1;1K2VG;2U1U;3PJBV;3PJMA;440WX;5BLXJ;5GGRN;5Q666;7VZ4V;8FDSR;8U02H;9N847;9S1XX;AL8L0;BO4FS;C7L75;C7LUX;CIPA;CJDX;CM5ZZ;D0RB9;D0RU1;E3NM6;EIA6P;EWW8N;FGDAD;FL7PG,041000030406;041000030503;041000030504;041000030604,15,10,5,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000030503,1D4FE;3PJMA;G2L3J,041000030505,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030504,2WI07;31CLE;4X30Q;5LB4S;6EI83;6T1VV;7CI0T;9N85G;BEFBF;BSZ9D;CIPA;DAI5M;E8I32;EN5ED;FQ3WY;HCQ5,041000030502;041000030505;041000030506,9,6,3,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030505,4NEJO;72S2J;72S4L;AZU0J;BO4FT,041000030506,3,2,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030506,288UF;366H9;3UCPA;3UD7V;3Z7IW;48WGV;4NFFL;4X32M;56S66;69MD0;6EHE8;7CI3D;7CIPK;7O5F;7OF0;8YUOZ;9DH7W;A6N2A;AGDIB;AV01N;B9JMO;BEEYR;BO5FE;C2PWS;CHBJ6;CIP8;CM6C6;DFDJA;DP347;EN4QN;F1S0D;FQ3MA;GEERU;GO4IL;GT09C;R1EG;VWEN;VWZU,041000030504;041000030505;041000030604;041000030801;041000030802,22,13,9,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000030601,2HY19;366J3;8AJ7O;9DGL9;AUZCS;B4OS5;BSZRS,041000030602;041000030701;041000030702,4,3,1,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030602,1K2OW;1YKNN;1YKYH;289F9;2RMRP;3B09Z;48W44;4DQKW;51XV3;56R4L;5GHCV;5LBQN;72S4Q;77NQM;85P2P;8K9X9;9DGKC;A6NCR;A6NOO;AQ4V2;B4P28;BJ9W6;BJASW;BO53I;CHB8Q;DFD8Y;FGDZ9;FUZA7;G4Q47;G9K4L;H7O0V;M85P,041000030404;041000030601;041000030603;041000030604;041000030702,18,17,1,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000030603,1F8W9;1F8YA;1YKOR;23EHU;3PISD;3UCZB;441JD;4NF2D;5BM4W;64S2X;6O6L5;6T1TT;6T1WH;6XWTR;6XXFL;77NBV;7CINU;9N77E;9WX9B;ABIUW;B4P28;BJAMC;BO53P;BO5F5;BXU6U;CM5WF;ES03J;F1RPZ;G4Q0N;G9K3B,041000030404;041000030502;041000030602;041000030604,18,17,1,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000030604,1AEXF;2D3AI;3FTU4;7M8EG;80TNA;BJ9XR;C2PV5;DK86I;R1X8,041000030506;041000030702;041000030707,5,1,4,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030701,2MS6B;2RN79;4S8OV;69M2D;6XWX0;98MBE;B9K6D;CM5C0;DAI93;EDF3A,041000030702;041000030703,6,5,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030702,1OWGT;23EFN;2MS8Q;3UCPL;48VVU;4S8OV;4X3Y9;56S2N;5BLNA;77MTI;8AJTK;8KA81;8U02S;93QGU;AQ4BW;BO5FV;D0R8E;EN5D4;GEEDR;HCWS,041000030601;041000030604;041000030701;041000030707,11,8,3,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000030703,365YX;3B0HV;3PJR8;4S8QH;5BMJ8;69M3L;6JCF0;6T1WX;77MP8;7HDR6;80TXC;85OS4;8YUO6;9N78X;B9K84;BEFJ4;CCG7Y;DYSGX;EI9IA;FGE9W;GO4F9;H2TEM;H2TGT,041000030701;041000030705;041000030707,13,8,5,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030704,10Q22;15K0Z;365Z7;3667G;3AZLC;5V0DI;5ZWB6;6XWUP;77NQB;7HCU3;7HD4R;7M8VD;8P4EQ;A6MPO;AZUX3;CHALT;CJ24;DTXY4;EN4QC;FL7ND;G9KI8;GJ9FX,041000030705;041000030706,11,9,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030705,15KWJ;1AFVZ;1K28G;2HY49;3PIQX;3UCMM;3Z6VV;4DQ11;56RIZ;6T1WK;7CI2M;7OMK;85OH3;93QIP;9IBCH;A1S0W;AGD9V;AUZ14;B4OGR;BEEX6;CM5OG;D0R61;DAJ6C;E3NQ4;EDF5Y;F6N8S;G4QOM;GT17J;R2AT,041000030703;041000030704;041000030707,16,12,4,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030706,10Q22;1OWFI;9N76Z;AQ57S;C2PV4;CVW0C;E3NQ7;G9JIT;GT0C4,041000030704;041000030707,5,3,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030707,1F98K;23EQS;2HYZ0;3FTY3;4IKBH;5BLUR;5V0CZ;64RGB;69M3Y;6O6K3;6T1TX;7NRY;85OZ7;8P4FR;9DGUB;AGDCI;B4OGZ;BO4EK;BSZ6A;CIQQ;DAI6R;EDEIO;EDETX;EWVOI;M7K5,041000030604;041000030702;041000030703;041000030705;041000030805,14,10,4,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000030801,1K29F;1TR16;2UVN;3FURH;48VJ0;4DQJB;4NEI5;5BLKK;5V0D7;6JBGR;6O73X;6XWV5;7M8IW;85OFF;8P4E1;8P4FA;98LES;9S1XJ;ABI94;AGCWN;AGDHR;AL8JT;B9J83;BXTK6;DK7MN;DP2P3;GO4HS;GXW0G;GXX13;HCDM;HDBO;M7J0;R1XC;VW0Y,041000030506;041000030604;041000030707;041000030802,20,18,2,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000030802,48WFE;4IKWK;4NERR;69MOL;6T27K;7HD4P;80UG1;8K9L8;9DGJE;9S2J4;AQ47O;BEFK3;BSZ8E;CCG5S;CHB8X;EDFED;FBIDU;FGDLV;FL7N2;GT15G,041000030506;041000030801;041000030803,11,7,4,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030803,15JZA;2MS9L;5GGSB;6JBHW;8U0DL;93QHX;9DGLV;AL8VH;DFD17;G4Q1I;VW0Y,041000030707;041000030801;041000030804,7,4,3,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030804,1K2O5;2HYZ0;5LB5J;6EHCE;6JBTP;85OTM;98LQZ;98MA9;AGDAZ;C7LLD;E3OBV;EI9MO;G4QMY;GEES7;VWEF,041000030707;041000030803;041000030805,8,4,4,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000030805,1F9J5;1YL0P;3FU52;4DQYH;4IKAU;4S91U;72S45;7HCSZ;9DHJG;9IBYN;9S29U;B4P1Y;BEEZJ;CJ36;DTXY9;DTY3Z;E3NPO,041000030707;041000030806,10,5,5,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030806,1F95V;1OWFV;1TFII;8OT08;8TO8K;989W0;A1SCR;B9J7C;BXI4C;C8XLC;CM1RI;DFD23;DTY9G;H2T5J,041000030805;041000040605;041000050102,8,3,5,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040101,DI2QI;K2QV,041000040103,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040102,3NE5H;F2U9V,041000040106,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040103,A9DCF;F2U9V,041000040106,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040104,264LP;3LRA2;5W3NP;8RUOX,041000040106,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040105,8I4AG;DWNVA,041000040106,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040106,5J6FA;8I4AG;ANYYL;C0KXA;DI2R7,041000040105;041000040205,3,0,3,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040201,FE88F;G2L2Z,041000040205,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040202,B2JYP;EG4E2,041000040205,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040203,C5GEX;FNYDV,041000040204,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040204,BQUCY;BVP2N,041000040205;041000040303,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040205,BVP2N;H0N9C,041000040303,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040301,13G4G;FJ341,041000040302,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040302,DI2RA;EPUY1,041000040303;041000040305,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040303,8WQ5U;DI2RA,041000040305,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040304,27YDB;B7EUP;DMX50;ERP9Y;GXL8T,041000040305;041000040404,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040305,1OL2B;5BA7F;5BATT;6E6LD;6NVIO;A6BUP;C2F80;C2FEJ;FZIPC;FZJLV;H7D6Q,041000040401;041000040405;041000040408,6,4,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040401,1A3M6;2MG78;3117Y;5BATT;6IZ70;7CKM;80HL0;B978T;E87F4;FKWHD;FKX7N;H2G73,041000040408;041000071201,7,5,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040402,159AB;1TG4U;2RBZV;4DF9T;51MQM;5ZLDF;5ZLDO;64GMZ;7C799;8TOSF;AB7OI;AKXJC;EMU0Z;EWKPR;FPS83;FZJD7;G4FC6,041000040403;041000040404;041000040405,10,10,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040403,1JRMH;2JIM;2RBZP;5BB18;72H3M;72H5D;77BZF;80IRU;9WM01;APTB2;BE45C;BSOJZ;C7AHR;FZJCJ;G4FC6,041000040402;041000040405;041000040501,9,9,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040404,35V8C;5UPKY;B4DU9;BSOKH;CVL5B;DA7AJ;ED3TD;ERP8G;GE3UN,041000040402;041000040405,5,4,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040405,3AOE8;3YWJZ;6E6DG;6XM1F;AKXK5;AUOBG;AUOIJ;AZJBK;BE3JP;CC5CE;D5C8J;DA7BM;E3CSY;EWKXP;FB6RF;H1SF;H1T8;QQQQ,041000040304;041000040305;041000040402;041000040404;041000040408,10,9,1,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000040406,1A3KM;1OLMX;2CSVM;2MHFA;3P7AI;3YWCI;3YWKB;48K8X;4N3W9;4RY7L;5G5ZF;5PUBF;6E6EG;77BYT;7C79H;7D7U;80IRN;85D22;8A82J;8F2XD;8YJXF;98ALD;9MVU6;A1GJL;BNT0C;BNTLS;C2EKM;C7ZZ;D0GG7;D5BFF;F6BX6;FPS6X;FUNU8;GE37G;H2GZ9;H7DEA;LWKH,041000040403;041000040405;041000040407;041000040408,23,22,1,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000040407,159I6;1JRMO;2JOT;2MHGV;3115W;35V8J;3FJAO;3YWCI;43QG0;4N3WS;4WRI4;4WSAQ;56GJR;5PV47;77C13;8A7GE;8JYUB;9D62P;9WLZM;AB6ZQ;AB71C;AB7VG;AZIOR;AZJB4;DA7IR;E87E8;ED3LM;EMU0H;G4ENW;G983U;GE37M;GSOXQ;GSPKQ;GXL8W;H16A;H7D6E,041000040406;041000040408;041000040501,21,19,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040408,1A4EO;1TG39;2331M;43PNF;56FPR;5L0DR;5ZKQL;64G0T;64GP2;69B8L;7C796;9WL60;B97V8;C2F68;C7E1;CQPQO;CVKIO;ERON1;FKX09;GXKGY;H2GYD,041000040406;041000040407;041000040501;041000040502,12,8,4,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000040501,1JRMX;1JRV5;1TGCP;2RBF9;2RC0B;3FJAL;3YWBL;4I8XM;4I9JV;56FOM;5KZSP;8F2EE;8TO6Y;8YJAQ;93FSA;9D562;9D5TK;9RRFI;9WL7P;AG1ER;APTJI;B97YK;C2F87;C79W8;CC5CJ;DF1WO;DF1XW;ED3JV;F6BR3;FG2LL;FKWFI;FKX7C;FPS6D;G4FA5;G4FJK;GE38W;GNTS3;H7DE3,041000040403;041000040407;041000040408;041000040502;041000040504,22,20,2,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000040502,1TFIB;1Y8OE;1Y9F0;3P7I9;5B9IE;6J00T;72GGN;7H0V3;7LWSI;8A7FJ;9D4GW;A1FWI;APSVU;AUO9W;BIYLY;CQOFG;DF1GL;DTMR8;E86QS;FB5CL;FPS71;GSOXS;H0FO;H7BWL;VKLA,041000040501;041000040504;041000040601;041000071201;041000071203,15,13,2,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000040503,2CS2D;2W602;310LC;6NVHE;80I7S;98A2R;9MVTX;AZIQF;BNSYY;CLTXI;CVKGW;F6BOQ;FG1QS;GSOX7;QPZ9,041000040501;041000040504;041000040602,8,7,1,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040504,3AP0S;4RXFY;56FPA;64GNA;69AJ8;6SQNY;8TO7K;93F5E;9D5UN;B4DDQ;BNSZZ;BXIRX;CGZGI;D1038;DJW8H;DYH2H;F1GLV;G9843;G9847;GIXZ5;GT98G;GXKG1,041000040501;041000040502;041000040503;041000040601;041000040602,12,10,2,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000040601,1TG4F;4RXE5;5L7MT;6E5QY;8F2BA;AB7OH;C2MBB;DK40D;FL44L;GJ5XL,041000040602;041000040604;041000050101,6,2,4,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040602,1OL4E;2CS2D;2MHEW;3U1JH;6XM9S;72HB5;7CS4;8TODP;AG1FS;C2ELX;CQPC2;DJWTL;DOQOT;E3C6N;F1FZZ;F6B3X;GSP4S;H7CJ9;H7CPJ;LW2M,041000040503;041000040603;041000040604,11,9,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040603,10EVL;3KCU7;4RXFG;77BFG;7LWTK;7QRLR;8F2DN;9MVUE;B4DVC;BXI4M;C2ENB;CVKN1;DTM3S;ED2Z5;EMTK0;G4EOY;GIYJB;H2GZI;QPYI,041000040604,11,6,5,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000040604,10ET0;1EXGM;1Y9L5;2J4H;2MGTE;3YVY3;56FN6;5PUBL;7QRMZ;80IRB;85D8G;8OSZ1;8TOE6;9MVUE;AKWYL;AKXKE;APSNT;B4DVC;C2ELX;CC4P0;CVKH4;CVKJB;D5BF6;DOQPQ;EHXPG;EMU8B;FB620;FPRIR;FUNUK;G984Z;G98QP;GXKMO;H2GZI,041000040602;041000040603;041000040606,19,10,9,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000040605,1A3SO;2MSSZ;2RC1B;51XYQ;5BLXL;5G5ZS;77MPP;80U8H;8Z2C;EWW3J;G4QF6,041000030806;041000040606,6,2,4,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000040606,10MMV;1OWS1;4IGRX;5GDC9;72GFR;8TO61;907FP;9D56N;9MVXK;AKWVX;AKWWK;C2MHM;CM1RI;F1S0J;FG1QB;FKWF9,041000030806;041000040603;041000040605;041000050102,9,4,5,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000050101,10ERW;1TNAD;3PF5Z;3U9BJ;4WZEL;5PTMK;72GFS;7VUW8;BE3IR;BO0V6;CLT7F;E8EPA;EI5OH;F1NQT;FUUUY;QXUD,041000040604;041000050102;041000071202,9,4,5,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000050102,10MR1;10MT3;1JYQR;1TNAL;1TNHP;2HUKA;2QM9;2WDLJ;3AW60;3KKNJ;3KKPG;3PFC2;48K8R;4NATY;56NOV;5L7IM;69IN9;7DUHV;7LWTX;80Q0W;8FA96;9DD4T;A1OG7;AG9DG;AL500;B9FRR;BSVUT;DTU46;DTU5S;DYP1V;ERWL9;FG9VM;FPZG4;FUUUY;FZQPQ;G4MJI;G9FW3;GEAUZ;GXSM6;H2SIV,041000030805;041000040606;041000050101;041000050103;041000071202,26,20,6,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
041000050103,1YH4Y;1YH7L;362EI;362HU;3FQJU;3U9CZ;3U9DA;43XD1;4S5AY;5L7I3;6XTI4;7CEOL;7QZDC;7QZJF;8AFHV;8K5YK;8TW6C;93N2Z;AL4YL;BEBGJ;CVSJM;DF93K;ERWLX;F6J1R;G9G0T;G9G22;GSWSG;H7KJY,041000050102;041000050105,16,14,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000050104,3AW53;6SYE3;7M4YZ;8P0UP;AL4X4;B9FRZ;CM1SF;CQX04;FG9TE;FUUQN;FZQPS;GO0YK;H8WX,041000050105;041000050106;041000050203,8,7,1,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000050105,1ABCR;1ABDU;1ABHQ;2RJFC;2RJFO;362HU;3U97T;4IGUQ;56NK6;56NPD;5L7O1;5UWQV;6SYDD;7CEIO;8AFEM;8P0XV;8TW6C;98HVW;9DD6C;9N3LT;AUVJR;B9FUF;BEBIK;CCCP4;CM1PP;D0NOS;D5J40;DAEPA;DK41L;DK46S;DTU3C;E3JXY;E3K6D;EN1BZ;ERWMR;ERWNK;FG9QE;FPZDW;FPZLK;GEAXN,041000050103;041000050104;041000050106,26,24,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000050106,15GHX;15GK4;15GLX;16W3C;1ABCR;1F5DN;1OKCC;1OST7;1TEVX;1TN90;285GT;2MOSS;2QJR;2RJFV;362EX;362FV;3PFAR;3U9E0;3Z3H1;43XIH;48RXS;4WZKF;5L7PL;5Q260;5UWUB;5WCA7;64NXB;6EDRJ;6J80T;7K9A;7QZEX;80PTU;8AFIN;8K5XI;8TW1H;8TW2Y;8YIPL;9N3MA;9WT8P;A1OJK,041000050103;041000050104;041000050105;041000050201;041000050202;041000050203;041000071205,41,38,3,native 3DHP topology plus documented forward same-feature crossings,review,7 downstream HUC-12s observed; review divergence/boundary effects.
041000050201,1WGLP;2EFXD;362FV;41WY8;48RXR;48RXS;48RXT;4DMGJ;5O1AM;5WCA7;9I7R1;9I7R2;AG9C5;BXQ3V;CCCR4;COVN9;D5J33;DLAAJ;FL432;FPZH6;G2L4L;G9G0R;GO0YU;GQUXA;H7KGE;OX1X,041000050106;041000050202;041000071206,15,13,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000050202,264MI;C2MB8;DOYLX;GQUXA;GVQE3,041000050106;041000050205,3,1,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000050203,18ABZ;1YH0V;2HUFS;2KNX6;3KKHC;440ZC;5BI0N;6O35O;7CEHY;7VUV5;BO0UD;BUBFE;EN1CP;H8WX,041000030802;041000050104;041000050202;041000050205,8,7,1,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000050204,3UCPF;5ZSQA;70NGL;9ZN23;AZTYN;FZQPR;M7K8,041000030802;041000050203;041000050205,4,2,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000050205,70NGL;9BC4T;FXPEE,041000050207,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000050206,3X2CO;88ESD,041000050207,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000050207,1WGLG;DRSBP;EPUXI,041000050208,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000050208,1Q8LK;91L72,041000090201,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060101,8WQ4W;CF5S2,041000060102,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060102,2KNX7;3DP9V;8WQ4W,041000060103,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060103,7TTCR;EZMG8,041000060104,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060104,2FTKL;5J6DU;6QWO8;7TTCR;A4HYF,041000060106,3,2,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060105,EG4FP;F9CQ3,041000060106;041000060201,2,2,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
