event_id,site_id,site_name,start_date,end_date,date_precision,event_type,material,activity,role,agency,operator,source_id,confidence,notes,reality_status,canon_status
MEH-E011,LUCKEY,Luckey Site,2000,2000,year,site_characterization,multiple contaminants,Remedial investigation report released,characterization,USACE,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E012,LUCKEY,Luckey Site,2003,2003,year,remedial_investigation,multiple contaminants,Feasibility study and proposed plan released,remedy development,USACE,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E013,LUCKEY,Luckey Site,2006,2006,year,regulatory_decision,beryllium; lead; radium-226; thorium-230; uranium-234; uranium-238,Soils Record of Decision selected excavation and off-site disposal,soil remedy,USACE under CERCLA,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E014,ELMORE,Materion Elmore,2006-12-01,2006-12-01,exact_date,public_health_review,beryllium,ATSDR health consultation published,historical regulatory review,ATSDR,Brush Wellman,PH2C-ATSDR-ELMORE-2006,high,Historical consultation; not a statement of current 2026 conditions.,real,verified
MEH-E015,LUCKEY,Luckey Site,2008,2008,year,regulatory_decision,beryllium; lead; uranium,Groundwater Record of Decision selected monitored natural attenuation and land-use controls,groundwater remedy,USACE under CERCLA,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E016,LUCKEY,Luckey Site,2010-03,2010-03,month,site_characterization,soil and radiological conditions,"Additional sampling and radiological, geophysical, and topographic surveys",characterization,USACE,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E017,LUCKEY,Luckey Site,2015,2015,year,cleanup_design,FUSRAP-contaminated soil,Soil-cleanup contract awarded,remedy implementation,USACE,remediation contractor,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E018,LUCKEY,Luckey Site,2016-09,2016-09,month,remediation,FUSRAP-contaminated soil,Mobilization plus background soil and air sampling,remedy implementation and controls,USACE,remediation contractor,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E019,LUCKEY,Luckey Site,2017-03,2017-03,month,regulatory_decision,FUSRAP-contaminated soil,"Explanation of Significant Differences revised cost, volume, and building-removal scope",remedy revision,USACE,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E020,LUCKEY,Luckey Site,2018-04-16,2018-04-16,exact_date,excavation,FUSRAP-contaminated soil,Soil remediation began at former lagoons,excavation and off-site disposal,USACE,remediation contractor,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E021,LUCKEY,Luckey Site,2021-02,2021-09-08,range,building_removal,building debris and underlying soil,Production and six other buildings deconstructed for subsurface access,remediation,USACE,remediation contractor,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E022,LUCKEY,Luckey Site,2021-12-06,2021-12-06,exact_date,five_year_review,soil and groundwater remedies,CERCLA five-year review announced,regulatory review,USACE,not applicable,PH2C-USACE-FIVEYEAR-2021,high,,real,verified
MEH-E023,ELMORE,Materion Elmore,2022-07-27,2022-07-27,exact_date,documented_supply_relationship,beryllium fluoride / FLiBe,Materion-Kairos collaboration documented,current strategic processing,not applicable,Materion,SRC-MATERION-KAIROS-2022,high,2026 operating status not independently reverified.,real,verified
MEH-E024,LUCKEY,Luckey Site,2022-07-20,2022-07-20,exact_date,waste_shipment,remediation waste,"10,000th remediation truckload milestone",licensed off-site disposal,USACE,remediation contractor,PH2C-USACE-MILESTONE-2022,high,Waste-logistics milestone; no production-supply route is modeled.,real,verified
MEH-E025,LUCKEY,Luckey Site,2023,2023,year,cleanup_milestone,contaminated soil and collected site water,"Continued excavation, off-site disposal, and water treatment",remediation,USACE,remediation contractor,PH2C-USACE-FY2023,high,,real,verified
MEH-E026,ELMORE,Materion Elmore,2025-10-31,2025-10-31,exact_date,documented_supply_relationship,beryllium fluoride / FLiBe,Materion-CFS supply agreement announced,current strategic processing,not applicable,Materion,SRC-MATERION-CFS-2025,high,,real,verified
MEH-E027,LUCKEY,Luckey Site,2025-09-15,2025-09-17,range,groundwater_monitoring,beryllium; lead; total uranium,Fall groundwater sampling event,monitoring,USACE,not applicable,PH2C-USACE-GW-2026,high,Three onsite non-water-supply wells exceeded the beryllium MCL; sampled residential well did not exceed listed COC standards.,real,verified
MEH-E028,LUCKEY,Luckey Site,2025,2027,range,remediation,soil; building slabs; utilities,Ongoing final soil-remediation phases,remediation,USACE,remediation contractor,PH2C-USACE-LUCKEY-2026,high,Official schedule anticipates all cleanup fieldwork by 2027; completion has not yet occurred.,real,verified
MEH-E029,LUCKEY,Luckey Site,2027,2028,range,planned_milestone,not applicable,Planned project closeout,scheduled institutional transition,USACE,not applicable,PH2C-USACE-LUCKEY-2026,medium_high,"Documented schedule, not a completed event.",real,verified
MEH-E030,LUCKEY,Luckey Site,2030,2030,approximate,planned_milestone,groundwater stewardship,Planned transfer of long-term management to DOE Legacy Management,scheduled institutional transition,USACE / DOE,not applicable,PH2C-USACE-LUCKEY-2026,medium_high,"USACE says transfer by 2030; date is a plan, not completion.",real,verified
