old_connector_id,from_huc12,to_huc12,old_length_km,qa_status,replacement_source,replacement_ids,replacement_feature_types,physical_channel_present,network_connector_present,authoritative_transition_count,released_physical_transition_count,source_generation,confidence,routing_basis,source_method,physical_geometry,source_authority,unresolved_category,observed_3dhp_downstream_huc12,explanation,notes
WTR-HUC-ROUTE-041000030601,041000030601,041000030602,9.930836,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,366J3;8AJ7O;9DGL9,Channel Line;Drainageway,True,False,2,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030602,041000030602,041000030604,8.56218,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,2RMRP;AQ4V2;BJASW,Channel Line;Drainageway,True,False,2,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030703,041000030703,041000030705,5.908355,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,365YX;3B0HV;3PJR8;5BMJ8;69M3L;6JCF0;6T1WX;77MP8;80TXC;85OS4;9N78X;B9K84;BEFJ4;DYSGX;EI9IA;H2TGT,Canal;Channel Line;Drainageway;Surface Connector;Waterbody Connector,True,True,9,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030704,041000030704,041000030705,7.331831,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,77NQB;7HCU3;7HD4R;A6MPO;AZUX3;CHALT;CJ24;G9KI8,Channel Line;Drainageway;Waterbody Connector,True,True,4,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030203,041000030203,041000030204,16.122439,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,5EBTB;8YNYR,Channel Line,True,False,1,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030402,041000030402,041000030405,10.447788,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1YL92;3KOGH;85PA1;8FEGF;8K9W3;8K9Y5;CHAYW,Channel Line;Drainageway;Surface Connector,True,True,4,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030705,041000030705,041000030707,7.471126,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,3PIQX;4DQ11;56RIZ;7OMK;9IBCH;A1S0W;B4OGR;D0R61;DAJ6C;F6N8S;G4QOM,Channel Line;Drainageway;Hydro Unenforced Connector;Waterbody Connector,True,True,6,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000090902,041000090902,041000090903,6.612893,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,3NE45,Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000090903,041000090903,041000090904,14.404394,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1D3XS;4LA1K,Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090204,041000090204,041000090206,11.016597,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,189W9;DI2L4,Channel Line;Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090205,041000090205,041000090206,9.83914,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,5XQKO;G2KL9,Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090206,041000090206,041000090207,4.490418,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,3IJNG;5XQKO;73UW3;B0WB3;E6D1J,Channel Line;Waterbody Connector,True,True,3,2,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090207,041000090207,041000090403,11.78813,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,2UCRV;5J5WJ;CAAYK,Waterbody Connector,False,True,2,2,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090301,041000090301,041000090302,16.020989,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,8WPZY;91KV1;H0N2A,Channel Line,True,False,2,2,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090302,041000090302,041000090403,5.629878,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,4LA8O;BQU9W,Channel Line;Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000090401,041000090401,041000090402,5.237942,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,EG493;EPUF4,Channel Line,True,False,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090402,041000090402,041000090403,5.90924,UNRESOLVED,none,,,False,False,0,0,,low,project_inference,project_inference,False,project / USGS WBD tohuc,complex_divergence,041000090207,The source HUC contains 3 native divergent flowline records and observed 3DHP transitions lead to 041000090207 rather than WBD target 041000090403. Retain the WBD relationship as abstract pending outlet-scale review.,The source HUC contains 3 native divergent flowline records and observed 3DHP transitions lead to 041000090207 rather than WBD target 041000090403. Retain the WBD relationship as abstract pending outlet-scale review.
WTR-HUC-ROUTE-041000090503,041000090503,041000090508,8.928239,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,96GJ9;EB8BW;F9C8A;FXP7M;GH45Q,Canal;Channel Line,True,False,3,3,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090403,041000090403,041000090510,12.339031,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,BQU9W;F9CI4;GH44A,Waterbody Connector,False,True,2,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090501,041000090501,041000090510,10.035614,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1RM2B;B2JVV,Channel Line;Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090502,041000090502,041000090503,3.059668,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,4Q47O;5IRY;7OYE1;9G6JW;G7F4D,Canal;Channel Line,True,False,3,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000090504,041000090504,041000090506,6.483149,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1WGDT;5EB8T,Channel Line,True,False,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090505,041000090505,041000090506,6.587349,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,91KUR;EKZOZ,Channel Line;Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090506,041000090506,041000090507,16.178484,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,9PWWS;EB8DD;EKZOZ,Waterbody Connector,False,True,2,2,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090507,041000090507,041000090508,7.063961,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,4UYH8,Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000090508,041000090508,041000090509,10.54192,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1WGH5;6M1BV,Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090510,041000090510,041000090602,7.563167,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,38V1M;ASU71,Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090509,041000090509,041000090510,6.765309,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,7TSUR,Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000090703,041000090703,041000090804,9.809293,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,7F7MN;F9C8E,Channel Line,True,False,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090601,041000090601,041000090602,8.375536,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,DI2NF,Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000090602,041000090602,041000090603,10.294168,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,2UCF0;E6D0Q,Waterbody Connector,False,True,1,1,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090603,041000090603,041000090903,13.436959,ALREADY_REDUNDANT,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,3417A;91KVK;COV7J;DRSAK,Channel Line;Waterbody Connector,False,True,2,2,migrated_nhd,high,physical_nhdplus_hr_existing,released_nhdplus_hr_topology,True,USGS,,,Released NHDPlus HR order >=3 topology already contains this HUC transition.,Released NHDPlus HR order >=3 topology already contains this HUC transition.
WTR-HUC-ROUTE-041000090701,041000090701,041000090702,9.741356,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,COVK7,Channel Line,True,False,1,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
