endpoint_role_crosswalk_id,dependency_id,endpoint_position,local_endpoint_id,source_phase,source_artifact,inherited_atlas_entity_or_system_id,inherited_mapping_type,inherited_mapping_status,endpoint_role,role_mapping_status,conceptual_endpoint_preserved,role_basis,information_loss_or_caveat
ERP-XEP-IDB-014-FROM,IDB-014,from,EXT-FOOD-PROCESSING,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-FREIGHT,system-level concept,resolved_system_level,generalized external interface,normalized_role_only,yes,"Food/freight interface remains generalized; no shipment, route, or facility identity is added.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-014-TO,IDB-014,to,EXT-FREIGHT,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-FREIGHT,system-level concept,resolved_system_level,generalized external interface,normalized_role_only,yes,"Food/freight interface remains generalized; no shipment, route, or facility identity is added.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-015-FROM,IDB-015,from,EXT-FREIGHT,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-FREIGHT,system-level concept,resolved_system_level,generalized external interface,normalized_role_only,yes,"Food/freight interface remains generalized; no shipment, route, or facility identity is added.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-018-TO,IDB-018,to,REF-10,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-GOVERNANCE,system-level concept,resolved_system_level,institutional actor,normalized_role_only,yes,Reference endpoint is a governance/coordination interface; it is not automatic operational control.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-019-FROM,IDB-019,from,EXT-SETTLEMENT,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-POPULATION,system-level concept,resolved_system_level,population/settlement entity,normalized_role_only,yes,Conceptual population/mobility role; aggregate mobility is not individual transmission.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-019-TO,IDB-019,to,EXT-CONTACT-STRUCTURE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-POPULATION,system-level concept,resolved_system_level,population/settlement entity,normalized_role_only,yes,Conceptual population/mobility role; aggregate mobility is not individual transmission.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-020-FROM,IDB-020,from,EXT-MOBILITY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-POPULATION,system-level concept,resolved_system_level,population/settlement entity,normalized_role_only,yes,Conceptual population/mobility role; aggregate mobility is not individual transmission.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-020-TO,IDB-020,to,EXT-CONTACT-STRUCTURE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-POPULATION,system-level concept,resolved_system_level,population/settlement entity,normalized_role_only,yes,Conceptual population/mobility role; aggregate mobility is not individual transmission.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-021-FROM,IDB-021,from,EXT-CONTACT-STRUCTURE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-POPULATION,system-level concept,resolved_system_level,population/settlement entity,normalized_role_only,yes,Conceptual population/mobility role; aggregate mobility is not individual transmission.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-024-FROM,IDB-024,from,REF-4,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-DATA,system-level concept,resolved_system_level,monitoring/surveillance interface,normalized_role_only,yes,Reference endpoint is an observation/data interface; it is not authority or incidence.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-024-TO,IDB-024,to,REF-10,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-GOVERNANCE,system-level concept,resolved_system_level,institutional actor,normalized_role_only,yes,Reference endpoint is a governance/coordination interface; it is not automatic operational control.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-025-FROM,IDB-025,from,EXT-ECOLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,Conceptual ecological context; no exact habitat or sensitive location is asserted.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-025-TO,IDB-025,to,EXT-ANIMAL-HOSTS,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,"Conceptual ecological endpoint; it is not an abundance, infection, or disease endpoint.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-026-FROM,IDB-026,from,EXT-ANIMAL-HOSTS,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,"Conceptual ecological endpoint; it is not an abundance, infection, or disease endpoint.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-027-FROM,IDB-027,from,EXT-OCCUPATIONAL-CONTACT,13B,data/processed/analysis/infectious_disease_dependency_register.csv,EXT-OCCUPATIONAL-CONTACT,generalized external interface,retained_conceptual,generalized external interface,normalized_role_only,yes,Phase 14A retained conceptual/generalized endpoint; no narrower entity asserted.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-029-TO,IDB-029,to,REF-10,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-GOVERNANCE,system-level concept,resolved_system_level,institutional actor,normalized_role_only,yes,Reference endpoint is a governance/coordination interface; it is not automatic operational control.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-031-FROM,IDB-031,from,EXT-HEALTHCARE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-INFECTIOUS-DISEASE,system-level concept,resolved_system_level,monitoring/surveillance interface,normalized_role_only,yes,Healthcare endpoint is a care/detection interface; presence is not disease burden.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-032-FROM,IDB-032,from,EXT-HEALTHCARE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-INFECTIOUS-DISEASE,system-level concept,resolved_system_level,monitoring/surveillance interface,normalized_role_only,yes,Healthcare endpoint is a care/detection interface; presence is not disease burden.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-033-FROM,IDB-033,from,EXT-INFRASTRUCTURE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,EXT-INFRASTRUCTURE,generalized external interface,retained_conceptual,generalized external interface,normalized_role_only,yes,Phase 14A retained conceptual/generalized endpoint; no narrower entity asserted.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-033-TO,IDB-033,to,EXT-HEALTHCARE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-INFECTIOUS-DISEASE,system-level concept,resolved_system_level,monitoring/surveillance interface,normalized_role_only,yes,Healthcare endpoint is a care/detection interface; presence is not disease burden.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-036-TO,IDB-036,to,REF-10,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-GOVERNANCE,system-level concept,resolved_system_level,institutional actor,normalized_role_only,yes,Reference endpoint is a governance/coordination interface; it is not automatic operational control.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
