dependency_id,technology_id,technology_family,dependency_class,dependency_role,dependency_label,affected_system_id,technology_status,evidence_class,regional_relevance,dependency_basis,limitation,governance_interface,uncertainty,source_id,notes
TDEP-011,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,data,enabling,asset and dependency inventory,SYS-DATA,established,INFERRED,current,Defensive improvement needs accurate asset and dependency records.,Inventory completeness is unknown.,"Defensive risk management, accountability, continuity, and recovery; no offensive technique or attack procedure.","Asset inventories, redundancy, authentication coverage, recovery time, and cross-organization coordination are unresolved.",REG-PHASE14B-ATLAS,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-012,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,public trust / legitimacy,limiting,trust in continuity and reporting,SYS-POPULATION,established,INFERRED,current,Incident communication and service continuity interact with public trust.,No trust score or behavior model is created.,"Defensive risk management, accountability, continuity, and recovery; no offensive technique or attack procedure.","Asset inventories, redundancy, authentication coverage, recovery time, and cross-organization coordination are unresolved.",REG-PHASE11A-POPULATION,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-013,TECH-ENERGY-ADVANCED-NUCLEAR,ADVANCED ENERGY,materials,enabling,qualified reactor materials,SYS-MATERIALS,demonstration / pilot,INFERRED,speculative,Advanced generation depends on qualified materials and supply chains.,No regional material capability is invented.,"Regulatory, siting, ownership, operation, fuel, and emergency-planning roles remain separate.","Licensing, cost, fuel supply, cooling, workforce, interconnection, and public legitimacy are unresolved.",REG-PHASE2-MATERIALS,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-014,TECH-ENERGY-ADVANCED-NUCLEAR,ADVANCED ENERGY,water,limiting,cooling and water context,SYS-WATER,demonstration / pilot,INFERRED,speculative,Water can be an engineering dependency; plant-specific conditions are not modeled.,"No withdrawal, permit, or intake claim is made.","Regulatory, siting, ownership, operation, fuel, and emergency-planning roles remain separate.","Licensing, cost, fuel supply, cooling, workforce, interconnection, and public legitimacy are unresolved.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-015,TECH-ENERGY-ADVANCED-NUCLEAR,ADVANCED ENERGY,regulatory authority,limiting,licensing and oversight,SYS-GOVERNANCE,demonstration / pilot,INFERRED,speculative,Licensing and oversight are prerequisites for any deployment.,Research or demonstration is not a license or approval.,"Regulatory, siting, ownership, operation, fuel, and emergency-planning roles remain separate.","Licensing, cost, fuel supply, cooling, workforce, interconnection, and public legitimacy are unresolved.",REG-PHASE10A-GOVERNANCE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-016,TECH-ENERGY-ADVANCED-NUCLEAR,ADVANCED ENERGY,physical infrastructure,limiting,interconnection and site infrastructure,SYS-ENERGY,demonstration / pilot,INFERRED,speculative,Generation would require site and grid interfaces.,"No facility, feeder, or interconnection is added.","Regulatory, siting, ownership, operation, fuel, and emergency-planning roles remain separate.","Licensing, cost, fuel supply, cooling, workforce, interconnection, and public legitimacy are unresolved.",REG-PHASE3A-ENERGY,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-017,TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,materials,enabling,feedstock and qualified inputs,SYS-MATERIALS,commercially emerging,INFERRED,emerging,"Material innovation requires feedstock, qualification, and process control.",Elmore feed remains nonlocal in the frozen baseline.,"Standards, quality, safety, procurement, and ownership remain separate from production authority.","Feedstock, qualification, workforce, equipment, recycling, and market demand are unresolved.",REG-PHASE2-MATERIALS,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-018,TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,electricity,limiting,process energy,SYS-ENERGY,commercially emerging,INFERRED,emerging,Industrial processes depend on energy services.,No process load or outage claim is inferred.,"Standards, quality, safety, procurement, and ownership remain separate from production authority.","Feedstock, qualification, workforce, equipment, recycling, and market demand are unresolved.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-019,TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,skilled workforce,limiting,process and quality workforce,SYS-FREIGHT,commercially emerging,INFERRED,emerging,Qualification and production require skilled work.,No local workforce capability is quantified.,"Standards, quality, safety, procurement, and ownership remain separate from production authority.","Feedstock, qualification, workforce, equipment, recycling, and market demand are unresolved.",REG-PHASE5A-FREIGHT,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-020,TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,supply chain,limiting,equipment and customer network,SYS-FREIGHT,commercially emerging,INFERRED,emerging,"Adoption depends on equipment, suppliers, and customers.","No exact routes, volumes, or customers are inferred.","Standards, quality, safety, procurement, and ownership remain separate from production authority.","Feedstock, qualification, workforce, equipment, recycling, and market demand are unresolved.",REG-PHASE5C-FREIGHT,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-021,TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,compute,enabling,quantum control and analysis,SYS-DATA,research-stage,INFERRED,speculative,"Quantum sensing requires control, calibration, and analysis infrastructure.",No field deployment is claimed.,"Measurement standards, calibration, procurement, and interpretation remain separate.","Robustness, cost, calibration, field integration, and useful regional signal are unresolved.",REG-PHASE4A-DATA,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-022,TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,materials,limiting,specialized components,SYS-MATERIALS,research-stage,INFERRED,speculative,Specialized materials and fabrication enable devices.,Regional manufacturing capability is unknown.,"Measurement standards, calibration, procurement, and interpretation remain separate.","Robustness, cost, calibration, field integration, and useful regional signal are unresolved.",REG-PHASE2-MATERIALS,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-023,TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,communications,limiting,timing and data transfer,SYS-DATA,research-stage,INFERRED,speculative,Networked timing and data exchange are required.,No communications architecture is modeled.,"Measurement standards, calibration, procurement, and interpretation remain separate.","Robustness, cost, calibration, field integration, and useful regional signal are unresolved.",REG-PHASE4B-INFO-GOV,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-024,TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,skilled workforce,limiting,measurement-science workforce,SYS-GOVERNANCE,research-stage,INFERRED,speculative,Specialized operation and calibration require expertise.,Workforce and institutional capacity are unresolved.,"Measurement standards, calibration, procurement, and interpretation remain separate.","Robustness, cost, calibration, field integration, and useful regional signal are unresolved.",REG-PHASE10A-GOVERNANCE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-025,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,water,enabling,environmental sampling context,SYS-WATER,commercially emerging,INFERRED,emerging,Environmental molecular monitoring can use water or wastewater context.,"A signal is not contamination, exposure, dose, or illness.","Laboratory quality, privacy, reporting, public communication, and response roles remain distinct.","Sampling, laboratory capacity, attribution, turnaround, data sharing, and interpretation are unresolved.",REG-PHASE13A-DISEASE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-026,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,skilled workforce,limiting,laboratory and bioinformatics capacity,SYS-INFECTIOUS-DISEASE,commercially emerging,INFERRED,emerging,Diagnostic interpretation requires laboratory and epidemiology capability.,Capacity and turnaround are unresolved.,"Laboratory quality, privacy, reporting, public communication, and response roles remain distinct.","Sampling, laboratory capacity, attribution, turnaround, data sharing, and interpretation are unresolved.",REG-PHASE13A-DISEASE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-027,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,data,enabling,laboratory and surveillance data,SYS-DATA,commercially emerging,INFERRED,emerging,"Genomic results require provenance, privacy, and reporting systems.",Data access is not permission or authority.,"Laboratory quality, privacy, reporting, public communication, and response roles remain distinct.","Sampling, laboratory capacity, attribution, turnaround, data sharing, and interpretation are unresolved.",REG-PHASE4B-INFO-GOV,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-028,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,regulatory authority,limiting,quality and oversight,SYS-GOVERNANCE,commercially emerging,INFERRED,emerging,Diagnostics and environmental monitoring require role-bounded oversight.,Oversight is not proof of a threat or response success.,"Laboratory quality, privacy, reporting, public communication, and response roles remain distinct.","Sampling, laboratory capacity, attribution, turnaround, data sharing, and interpretation are unresolved.",REG-PHASE10A-GOVERNANCE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-029,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,electricity,enabling,service continuity,SYS-ENERGY,established,INFERRED,current,Digital stewardship depends on maintained energy services.,"No load, outage, or feeder claim is inferred.",Observation is not authority; data availability is not permission; technical capability is not legal authority.,"Data quality, legal basis, consent, access, interoperability, public trust, and retention are unresolved.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-030,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,communications,enabling,trusted data exchange,SYS-DATA,established,INFERRED,current,Data governance requires authenticated exchange and continuity.,No network topology is modeled.,Observation is not authority; data availability is not permission; technical capability is not legal authority.,"Data quality, legal basis, consent, access, interoperability, public trust, and retention are unresolved.",REG-PHASE4B-INFO-GOV,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-031,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,data,enabling,provenance and stewardship records,SYS-DATA,established,INFERRED,current,"Governance depends on metadata, provenance, and access records.",Availability does not equal permission.,Observation is not authority; data availability is not permission; technical capability is not legal authority.,"Data quality, legal basis, consent, access, interoperability, public trust, and retention are unresolved.",REG-PHASE14B-ATLAS,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-032,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,public trust / legitimacy,limiting,legitimacy of observation and use,SYS-POPULATION,established,INFERRED,current,Surveillance and data use interact with public trust.,No privacy impact or trust score is created.,Observation is not authority; data availability is not permission; technical capability is not legal authority.,"Data quality, legal basis, consent, access, interoperability, public trust, and retention are unresolved.",REG-PHASE11A-POPULATION,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
