atlas_normalization_id,local_taxonomy_id,local_term,local_field,local_term_count,source_phase,source_artifact,normalized_relationship_class,directionality,causal_semantics,flow_semantics,Atlas_join_role,mapping_status,information_loss_or_caveat
RN-RT-0032,RT-0032,control-without-direct-observation,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0033,RT-0033,emergency_coordination,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0034,RT-0034,funding_dependency,dependency_type,18,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0035,RT-0035,information_dependency,dependency_type,18,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0036,RT-0036,interstate_dependency,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0037,RT-0037,mandatory_coordination,dependency_type,12,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0038,RT-0038,monitoring-without-control,dependency_type,18,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0039,RT-0039,overlapping_authority,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0040,RT-0040,public_private_dependency,dependency_type,18,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0041,RT-0041,sequential_authority,dependency_type,12,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0042,RT-0042,split_responsibility,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0043,RT-0043,voluntary_coordination,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0044,RT-0044,contextual_interface,relationship_type,52,11,data/processed/analysis/population_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0045,RT-0045,functional_service_dependence,relationship_type,208,11,data/processed/analysis/population_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0046,RT-0046,institutional_interface,relationship_type,52,11,data/processed/analysis/population_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0047,RT-0047,land_cover_interface,relationship_type,52,11,data/processed/analysis/population_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0048,RT-0048,material_flow_interface,relationship_type,52,11,data/processed/analysis/population_system_dependency_register.csv,material flow,directed_local_record,documented or inferred material/logistics relation; not causal quantity,material/logistics interface; route and quantity remain local,material-flow join,normalized_shared_class,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow."
RN-RT-0049,RT-0049,pathway_interface,relationship_type,52,11,data/processed/analysis/population_system_dependency_register.csv,exposure pathway,directed_local_record,"potential pathway or contact interface; not dose, illness, or risk",exposure/context interface; not confirmed exposure,exposure-interface join,normalized_shared_class,"Exposure pathway is not documented exposure, dose, illness, or a risk score."
RN-RT-0050,RT-0050,physical_hazard_interface,relationship_type,52,11,data/processed/analysis/population_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0051,RT-0051,commuting_interface_with,relationship_type,142,11,data/processed/networks/population_mobility_relationships.csv,population / mobility interface,directed_local_record,aggregate population or mobility relation; not individual movement or transmission,population/mobility interface; not transmission,population-interface join,normalized_shared_class,"Mobility is not migration, individual movement, transmission, or disease risk."
RN-RT-0052,RT-0052,connected_reconcentration_interface,relationship_type,36,11,data/processed/networks/population_settlement_future_relationships.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0053,RT-0053,polycentric_adaptive_interface,relationship_type,36,11,data/processed/networks/population_settlement_future_relationships.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0054,RT-0054,uneven_change_infrastructure_strain_interface,relationship_type,36,11,data/processed/networks/population_settlement_future_relationships.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0055,RT-0055,contains_settlement,relationship_type,34,11,data/processed/networks/population_settlement_relationships.csv,population / mobility interface,directed_local_record,aggregate population or mobility relation; not individual movement or transmission,population/mobility interface; not transmission,population-interface join,normalized_shared_class,"Mobility is not migration, individual movement, transmission, or disease risk."
RN-RT-0056,RT-0056,employment_concentration,relationship_type,10,11,data/processed/networks/population_settlement_relationships.csv,unresolved / unclassified,unspecified_or_associative,not interpreted as causal,no flow semantics,source-local only,unresolved_term,No defensible shared class is asserted; retain the local term and source lineage for later review.
RN-RT-0057,RT-0057,case_transmission_boundary,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,high-level association,unspecified_or_associative,association or context only; causation is not asserted,no flow semantics,context-only join,retained_local_semantics,"Generic association remains local and must not be upgraded to dependency, causation, or risk."
RN-RT-0058,RT-0058,container_habitat,relationship_type,2,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0059,RT-0059,detection_interface,relationship_type,2,12,data/processed/analysis/vector_system_dependency_register.csv,surveillance / detection,directed_local_record,observation/detection is not incidence or authority,information/detection interface,surveillance join,normalized_shared_class,"Surveillance or detection does not establish incidence, absence, transmission, or disease burden."
RN-RT-0060,RT-0060,effort_detection_boundary,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,surveillance / detection,directed_local_record,observation/detection is not incidence or authority,information/detection interface,surveillance join,normalized_shared_class,"Surveillance or detection does not establish incidence, absence, transmission, or disease burden."
RN-RT-0061,RT-0061,environmental_driver,relationship_type,2,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological function, movement, and habitat context retain native scale and do not imply abundance, disease, or risk."
RN-RT-0062,RT-0062,habitat_association,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0063,RT-0063,habitat_interface,relationship_type,2,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0064,RT-0064,habitat_opportunity,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0065,RT-0065,health_boundary,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,exposure pathway,directed_local_record,"potential pathway or contact interface; not dose, illness, or risk",exposure/context interface; not confirmed exposure,exposure-interface join,normalized_shared_class,"Exposure pathway is not documented exposure, dose, illness, or a risk score."
RN-RT-0066,RT-0066,hold_preservation,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,unresolved / unclassified,unspecified_or_associative,not interpreted as causal,no flow semantics,source-local only,unresolved_term,No defensible shared class is asserted; retain the local term and source lineage for later review.
RN-RT-0067,RT-0067,host_association,relationship_type,2,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0068,RT-0068,information_to_decision,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,information / observation,directed_local_record,documented observation or information relation; not causal by itself,information signal or observation; not physical flow,information join,normalized_shared_class,"Observation, reporting, and decision support are not authority, control, or incidence."
RN-RT-0069,RT-0069,monitoring_control_boundary,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0070,RT-0070,observation_interface,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,information / observation,directed_local_record,documented observation or information relation; not causal by itself,information signal or observation; not physical flow,information join,normalized_shared_class,"Observation, reporting, and decision support are not authority, control, or incidence."
RN-RT-0071,RT-0071,potential_interface,relationship_type,2,12,data/processed/analysis/vector_system_dependency_register.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0072,RT-0072,questing_habitat,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0073,RT-0073,scale_boundary,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,high-level association,unspecified_or_associative,association or context only; causation is not asserted,no flow semantics,context-only join,retained_local_semantics,"Generic association remains local and must not be upgraded to dependency, causation, or risk."
RN-RT-0074,RT-0074,seasonal_development,relationship_type,3,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0075,RT-0075,separation_rule,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,high-level association,unspecified_or_associative,association or context only; causation is not asserted,no flow semantics,context-only join,retained_local_semantics,"Generic association remains local and must not be upgraded to dependency, causation, or risk."
RN-RT-0076,RT-0076,woodland_habitat,relationship_type,1,12,data/processed/analysis/vector_system_dependency_register.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0077,RT-0077,case_transmission_boundary,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,high-level association,unspecified_or_associative,association or context only; causation is not asserted,no flow semantics,context-only join,retained_local_semantics,"Generic association remains local and must not be upgraded to dependency, causation, or risk."
RN-RT-0078,RT-0078,container_habitat,relationship_type,2,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0079,RT-0079,detection_interface,relationship_type,2,12,data/processed/networks/vector_system_dependency_edges.csv,surveillance / detection,directed_local_record,observation/detection is not incidence or authority,information/detection interface,surveillance join,normalized_shared_class,"Surveillance or detection does not establish incidence, absence, transmission, or disease burden."
RN-RT-0080,RT-0080,effort_detection_boundary,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,surveillance / detection,directed_local_record,observation/detection is not incidence or authority,information/detection interface,surveillance join,normalized_shared_class,"Surveillance or detection does not establish incidence, absence, transmission, or disease burden."
RN-RT-0081,RT-0081,environmental_driver,relationship_type,2,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological function, movement, and habitat context retain native scale and do not imply abundance, disease, or risk."
RN-RT-0082,RT-0082,habitat_association,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0083,RT-0083,habitat_interface,relationship_type,2,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0084,RT-0084,habitat_opportunity,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0085,RT-0085,health_boundary,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,exposure pathway,directed_local_record,"potential pathway or contact interface; not dose, illness, or risk",exposure/context interface; not confirmed exposure,exposure-interface join,normalized_shared_class,"Exposure pathway is not documented exposure, dose, illness, or a risk score."
RN-RT-0086,RT-0086,hold_preservation,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,unresolved / unclassified,unspecified_or_associative,not interpreted as causal,no flow semantics,source-local only,unresolved_term,No defensible shared class is asserted; retain the local term and source lineage for later review.
RN-RT-0087,RT-0087,host_association,relationship_type,2,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0088,RT-0088,information_to_decision,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,information / observation,directed_local_record,documented observation or information relation; not causal by itself,information signal or observation; not physical flow,information join,normalized_shared_class,"Observation, reporting, and decision support are not authority, control, or incidence."
RN-RT-0089,RT-0089,monitoring_control_boundary,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0090,RT-0090,observation_interface,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,information / observation,directed_local_record,documented observation or information relation; not causal by itself,information signal or observation; not physical flow,information join,normalized_shared_class,"Observation, reporting, and decision support are not authority, control, or incidence."
RN-RT-0091,RT-0091,potential_interface,relationship_type,2,12,data/processed/networks/vector_system_dependency_edges.csv,operational dependency,directed_local_record,functional dependency/interface; direction is not automatically causation or risk,operational interface; no common flow unit,dependency join,normalized_shared_class,"Dependency is not risk, failure probability, control proof, or causal effect."
RN-RT-0092,RT-0092,questing_habitat,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0093,RT-0093,scale_boundary,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,high-level association,unspecified_or_associative,association or context only; causation is not asserted,no flow semantics,context-only join,retained_local_semantics,"Generic association remains local and must not be upgraded to dependency, causation, or risk."
RN-RT-0094,RT-0094,seasonal_development,relationship_type,3,12,data/processed/networks/vector_system_dependency_edges.csv,ecological relationship,directed_local_record,ecological function/interface; not deterministic causation or disease,ecological process/interface; not abundance or disease flow,ecological join,normalized_shared_class,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk."
RN-RT-0095,RT-0095,separation_rule,relationship_type,1,12,data/processed/networks/vector_system_dependency_edges.csv,high-level association,unspecified_or_associative,association or context only; causation is not asserted,no flow semantics,context-only join,retained_local_semantics,"Generic association remains local and must not be upgraded to dependency, causation, or risk."
