matrix_id,source_system_id,target_system_id,direct_exact_identity_join,system_level_conceptual_join,dependency_relationship_join,spatial_colocation_only,scenario_layer_reference,scenario_only_link,no_defensible_current_join,join_basis,caveat
JAB-003,SYS-ENERGY,SYS-VECTOR-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-003,SYS-ENERGY,SYS-INFECTIOUS-DISEASE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-FREIGHT,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-EXPOSURE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-CLIMATE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-GOVERNANCE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-004,SYS-DATA,SYS-POPULATION,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-VECTOR-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-004,SYS-DATA,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-005,SYS-FREIGHT,SYS-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-005,SYS-FREIGHT,SYS-EXPOSURE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-005,SYS-FREIGHT,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-005,SYS-FREIGHT,SYS-CLIMATE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-005,SYS-FREIGHT,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-005,SYS-FREIGHT,SYS-POPULATION,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-005,SYS-FREIGHT,SYS-VECTOR-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-005,SYS-FREIGHT,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-006,SYS-ECOLOGY,SYS-EXPOSURE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-006,SYS-ECOLOGY,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-006,SYS-ECOLOGY,SYS-CLIMATE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-006,SYS-ECOLOGY,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-006,SYS-ECOLOGY,SYS-POPULATION,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-006,SYS-ECOLOGY,SYS-VECTOR-ECOLOGY,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-006,SYS-ECOLOGY,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-007,SYS-EXPOSURE,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-007,SYS-EXPOSURE,SYS-CLIMATE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-007,SYS-EXPOSURE,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-007,SYS-EXPOSURE,SYS-POPULATION,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-007,SYS-EXPOSURE,SYS-VECTOR-ECOLOGY,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-007,SYS-EXPOSURE,SYS-INFECTIOUS-DISEASE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-008,SYS-BIOGEOCHEMISTRY,SYS-CLIMATE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-008,SYS-BIOGEOCHEMISTRY,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-008,SYS-BIOGEOCHEMISTRY,SYS-POPULATION,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-008,SYS-BIOGEOCHEMISTRY,SYS-VECTOR-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-008,SYS-BIOGEOCHEMISTRY,SYS-INFECTIOUS-DISEASE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-009,SYS-CLIMATE,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-009,SYS-CLIMATE,SYS-POPULATION,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-009,SYS-CLIMATE,SYS-VECTOR-ECOLOGY,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-009,SYS-CLIMATE,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-010,SYS-GOVERNANCE,SYS-POPULATION,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-010,SYS-GOVERNANCE,SYS-VECTOR-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-010,SYS-GOVERNANCE,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-011,SYS-POPULATION,SYS-VECTOR-ECOLOGY,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-011,SYS-POPULATION,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-012,SYS-VECTOR-ECOLOGY,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
