endpoint_crosswalk_id,dependency_id,endpoint_position,local_endpoint_id,local_namespace,source_phase,source_artifact,entity_type,canonical_name,atlas_entity_id,canonical_system_id,mapping_type,mapping_status,evidence_basis,notes
XEP-IDB-001-FROM,IDB-001,from,EXT-CLIMATE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-CLIMATE,SYS-CLIMATE,SYS-CLIMATE,system-level concept,resolved_system_level,Phase 13B IDB-001 from-endpoint; source_id=phase9_hazard_dependency_context; relationship_type=frames_seasonality; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-012-FROM,IDB-012,from,REF-4,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-4,SYS-DATA,SYS-DATA,system-level concept,resolved_system_level,Phase 13B IDB-012 from-endpoint; source_id=phase10_coordination_context; relationship_type=supports_response_coordination; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-012-TO,IDB-012,to,REF-10,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-10,SYS-GOVERNANCE,SYS-GOVERNANCE,system-level concept,resolved_system_level,Phase 13B IDB-012 to-endpoint; source_id=phase10_coordination_context; relationship_type=supports_response_coordination; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-013-FROM,IDB-013,from,EXT-FOOD-PRODUCTION,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-FOOD-PRODUCTION,SYS-FREIGHT,SYS-FREIGHT,system-level concept,resolved_system_level,Phase 13B IDB-013 from-endpoint; source_id=phase5_freight_context; relationship_type=connects_food_system; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-013-TO,IDB-013,to,EXT-FOOD-PROCESSING,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-FOOD-PROCESSING,SYS-FREIGHT,SYS-FREIGHT,system-level concept,resolved_system_level,Phase 13B IDB-013 to-endpoint; source_id=phase5_freight_context; relationship_type=connects_food_system; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-014-FROM,IDB-014,from,EXT-FOOD-PROCESSING,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-FOOD-PROCESSING,SYS-FREIGHT,SYS-FREIGHT,system-level concept,resolved_system_level,Phase 13B IDB-014 from-endpoint; source_id=phase5_freight_context; relationship_type=connects_distribution; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-014-TO,IDB-014,to,EXT-FREIGHT,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,system-level concept,resolved_system_level,Phase 13B IDB-014 to-endpoint; source_id=phase5_freight_context; relationship_type=connects_distribution; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-015-FROM,IDB-015,from,EXT-FREIGHT,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,system-level concept,resolved_system_level,Phase 13B IDB-015 from-endpoint; source_id=phase5_freight_context; relationship_type=creates_propagation_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-018-TO,IDB-018,to,REF-10,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-10,SYS-GOVERNANCE,SYS-GOVERNANCE,system-level concept,resolved_system_level,Phase 13B IDB-018 to-endpoint; source_id=s13_cdc_nors; relationship_type=supports_investigation_response; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-019-FROM,IDB-019,from,EXT-SETTLEMENT,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-SETTLEMENT,SYS-POPULATION,SYS-POPULATION,system-level concept,resolved_system_level,Phase 13B IDB-019 from-endpoint; source_id=phase11_population; relationship_type=structures_contact_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-019-TO,IDB-019,to,EXT-CONTACT-STRUCTURE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-CONTACT-STRUCTURE,SYS-POPULATION,SYS-POPULATION,system-level concept,resolved_system_level,Phase 13B IDB-019 to-endpoint; source_id=phase11_population; relationship_type=structures_contact_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-020-FROM,IDB-020,from,EXT-MOBILITY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-MOBILITY,SYS-POPULATION,SYS-POPULATION,system-level concept,resolved_system_level,Phase 13B IDB-020 from-endpoint; source_id=phase11_mobility_context; relationship_type=connects_contact_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-020-TO,IDB-020,to,EXT-CONTACT-STRUCTURE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-CONTACT-STRUCTURE,SYS-POPULATION,SYS-POPULATION,system-level concept,resolved_system_level,Phase 13B IDB-020 to-endpoint; source_id=phase11_mobility_context; relationship_type=connects_contact_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-021-FROM,IDB-021,from,EXT-CONTACT-STRUCTURE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-CONTACT-STRUCTURE,SYS-POPULATION,SYS-POPULATION,system-level concept,resolved_system_level,Phase 13B IDB-021 from-endpoint; source_id=s13_cdc_flu_methods; relationship_type=frames_transmission_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-024-FROM,IDB-024,from,REF-4,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-4,SYS-DATA,SYS-DATA,system-level concept,resolved_system_level,Phase 13B IDB-024 from-endpoint; source_id=phase10_coordination_context; relationship_type=supports_response_coordination; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-024-TO,IDB-024,to,REF-10,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-10,SYS-GOVERNANCE,SYS-GOVERNANCE,system-level concept,resolved_system_level,Phase 13B IDB-024 to-endpoint; source_id=phase10_coordination_context; relationship_type=supports_response_coordination; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-025-FROM,IDB-025,from,EXT-ECOLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-ECOLOGY,SYS-ECOLOGY,SYS-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-025 from-endpoint; source_id=phase6_ecology_context; relationship_type=mediates_host_interface; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-025-TO,IDB-025,to,EXT-ANIMAL-HOSTS,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-ANIMAL-HOSTS,SYS-ECOLOGY,SYS-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-025 to-endpoint; source_id=phase6_ecology_context; relationship_type=mediates_host_interface; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-026-FROM,IDB-026,from,EXT-ANIMAL-HOSTS,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-ANIMAL-HOSTS,SYS-ECOLOGY,SYS-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-026 from-endpoint; source_id=s13_cdc_rabies; relationship_type=frames_animal_human_opportunity; documented_or_inferred=documented,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-027-FROM,IDB-027,from,EXT-OCCUPATIONAL-CONTACT,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-OCCUPATIONAL-CONTACT,EXT-OCCUPATIONAL-CONTACT,,generalized external interface,retained_conceptual,Phase 13B IDB-027 from-endpoint; source_id=s13_cdc_rabies; relationship_type=frames_contact_opportunity; documented_or_inferred=inferred,No narrower Atlas entity is asserted; retain the generalized interface for later review.
XEP-IDB-029-TO,IDB-029,to,REF-10,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-10,SYS-GOVERNANCE,SYS-GOVERNANCE,system-level concept,resolved_system_level,Phase 13B IDB-029 to-endpoint; source_id=phase10_coordination_context; relationship_type=supports_response_coordination; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-031-FROM,IDB-031,from,EXT-HEALTHCARE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-HEALTHCARE,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,system-level concept,resolved_system_level,Phase 13B IDB-031 from-endpoint; source_id=s13_cdc_nhsn; relationship_type=frames_care_detection_interface; documented_or_inferred=documented,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-032-FROM,IDB-032,from,EXT-HEALTHCARE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-HEALTHCARE,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,system-level concept,resolved_system_level,Phase 13B IDB-032 from-endpoint; source_id=s13_cdc_ar; relationship_type=frames_resistance_detection_interface; documented_or_inferred=documented,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-033-FROM,IDB-033,from,EXT-INFRASTRUCTURE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-INFRASTRUCTURE,EXT-INFRASTRUCTURE,,generalized external interface,retained_conceptual,Phase 13B IDB-033 from-endpoint; source_id=phase3_energy_context; relationship_type=supports_service_continuity; documented_or_inferred=inferred,No narrower Atlas entity is asserted; retain the generalized interface for later review.
XEP-IDB-033-TO,IDB-033,to,EXT-HEALTHCARE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-HEALTHCARE,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,system-level concept,resolved_system_level,Phase 13B IDB-033 to-endpoint; source_id=phase3_energy_context; relationship_type=supports_service_continuity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-036-TO,IDB-036,to,REF-10,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-10,SYS-GOVERNANCE,SYS-GOVERNANCE,system-level concept,resolved_system_level,Phase 13B IDB-036 to-endpoint; source_id=phase10_coordination_context; relationship_type=supports_infection_control_coordination; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
