rule_id,stage,stressor_id,chain_parent_rule_id,chain_relation_type,source_system_id,source_state_or_effect,initial_or_prior_effect,relationship_id,relationship_class,target_system_id,propagation_mechanism,evidence_class,lineage_evidence_class,application_fit,direct_or_inferred,baseline_or_scenario,enabling_condition,limiting_condition,temporal_character,spatial_character,reversibility,technology_modifier,governance_modifier,response_option,second_order_effect,uncertainty,source_lineage,notes
RULE-16A-014,1,STRESS-WATER-TREATMENT,,parallel_initial_branch,SYS-WATER,water operations constrained,water-dependent energy operations may be constrained or delayed,REL-16A-008,operational dependency,SYS-ENERGY,operational dependency,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted water-energy dependency supports only functional pathway,treatment disruption is not water contamination or illness,episodic / duration unknown,water facility/system interface; no exact site claim,potentially reversible; recovery unknown,TM-16A-005,operator authority and treatment decisions are not modeled,RESP-16A-008,coordination and service timing may be delayed,facility-specific operating details are absent,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-015,1,STRESS-WATER-TREATMENT,,parallel_initial_branch,SYS-WATER,water operations constrained,potential exposure-pathway context may become delayed or less observable,REL-16A-009,exposure pathway,SYS-INFECTIOUS-DISEASE,exposure pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted water/disease pathway supports qualitative review,"contamination, exposure, dose, illness, and outbreak remain unasserted",episodic / duration unknown,water-system to surveillance interface,potentially reversible; recovery unknown,TM-16A-007,diagnostic support is not health authority,RESP-16A-007,detection and communication timing may change,no individual exposure or outcome is modeled,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-007-c8da7d06,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-016,1,STRESS-ELECTRIC-GRID,,parallel_initial_branch,SYS-ENERGY,energy stressed,technology/compute-dependent data services may become more coupled or delayed,REL-16A-029,operational dependency,SYS-DATA,technology / compute dependency,SCENARIO_STATE,SCENARIO_STATE,SCENARIO_STATE_APPLICATION,scenario-conditioned,scenario-conditioned,only the named Phase 15B scenario state enables this edge,not a baseline energy-to-data guarantee or outage model,scenario-conditioned / horizon-specific,system-level energy-to-data interface,scenario recovery is indeterminate,TM-16A-009;TM-16A-010;TM-16A-011,AI remains advisory; human authority remains explicit,RESP-16A-005,observability may improve in one regime and fragment in another,"scenario family, adoption, and continuity are unresolved",data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-01,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-017,1,STRESS-COMMS-COMPUTE,,parallel_initial_branch,SYS-DATA,data/communications degraded,energy operations may become less observable or delayed,REL-16A-012,information / observation,SYS-ENERGY,information / observation degradation,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted information/energy dependency supports qualitative pathway,"no communications topology, outage probability, or control authority",episodic / duration unknown,system-level data-to-energy interface,potentially reversible; recovery unknown,TM-16A-001;TM-16A-003,information is not control or authority,RESP-16A-008,coordination timing may increase,generalized dependency only,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-027-60a602d4,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-018,1,STRESS-COMMS-COMPUTE,,parallel_initial_branch,SYS-DATA,data/communications degraded,governance coordination may be delayed or fragmented,REL-16A-013,governance / authority,SYS-GOVERNANCE,governance / authority constraint,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted data/governance relationship supports a parallel initial branch,data degradation is not governance failure,episodic / duration unknown,system-level information-to-governance interface,potentially reversible; recovery unknown,TM-16A-008,data access does not create or remove authority,RESP-16A-008,response coordination may be less timely,institutional response is not forecast,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-012-50ef95ce,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-019,1,STRESS-TRANSPORT-FREIGHT,,parallel_initial_branch,SYS-FREIGHT,freight constrained,generalized fuel/material input interface may be constrained,REL-16A-014,material flow,SYS-ENERGY,supply-chain propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted freight-energy material-flow relationship,"no shipment, route, contract, or capacity inference",episodic / duration unknown,corridor/interface scale,potentially reversible; recovery unknown,TM-16A-006,no operator or market authority is inferred,RESP-16A-006,industrial operations may be delayed,route-level evidence is absent,data/processed/networks/freight_dependency_edges.csv#AR-5C-FDE-013-a496499f,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-020,1,STRESS-FUEL-CONSTRAINT,,parallel_initial_branch,SYS-FREIGHT,fuel/material input constrained,energy-related freight interface may be constrained,REL-16A-014,material flow,SYS-ENERGY,supply-chain propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted generalized fuel interface,"fuel is a material input, not an electricity flow or pipeline model",episodic / duration unknown,regional interface; no exact route,potentially reversible; recovery unknown,TM-16A-004;TM-16A-006,coordination is not procurement control,RESP-16A-012,industrial and freight timing may be redistributed,no quantities or probabilities,data/processed/networks/freight_dependency_edges.csv#AR-5C-FDE-013-a496499f,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-021,1,STRESS-LOGISTICS-INTERRUPTION,,parallel_initial_branch,SYS-FREIGHT,freight/logistics delayed,food/freight interface with disease systems may become less timely,REL-16A-015,high-level association,SYS-INFECTIOUS-DISEASE,supply-chain propagation,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted high-level association only,"connectivity is not shipment, contamination, exposure, infection, or outbreak",episodic / duration unknown,generalized logistics interface,potentially reversible; recovery unknown,TM-16A-006,investigation and communication are not incidence authority,RESP-16A-006,surveillance and distribution coordination may be delayed,biosecurity boundary remains high-level,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-015-291c716f,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-022,1,STRESS-INFECTIOUS-PRESSURE,,parallel_initial_branch,SYS-INFECTIOUS-DISEASE,disease surveillance pressure,surveillance and reporting may become degraded or delayed,REL-16A-017,information / observation,SYS-DATA,surveillance / detection pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted disease/data observation relationship,"surveillance is not incidence, burden, or response effectiveness",episodic / duration unknown,surveillance-program/system scale,potentially reversible; recovery unknown,TM-16A-007;TM-16A-008,diagnostics and analytics are not authority,RESP-16A-010,detection timing and reported observations may change,"no cases, incidence, or outbreak probability",data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-006-1b416a5c,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-023,1,STRESS-INFECTIOUS-PRESSURE,,parallel_initial_branch,SYS-INFECTIOUS-DISEASE,disease surveillance pressure,governance/coordination interface may become constrained,REL-16A-018,governance / authority,SYS-GOVERNANCE,governance / authority constraint,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted disease/governance relationship,response capacity is not absence of disease or legal authority,episodic / duration unknown,institutional and program scale,potentially reversible; recovery unknown,TM-16A-007,communication and coordination remain distinct from authority,RESP-16A-009,response timing may be delayed,no health-outcome forecast,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-029-40f322e0,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-024,1,STRESS-WORKFORCE-ABSENTEEISM,,parallel_initial_branch,SYS-POPULATION,aggregate workforce constrained,population/energy interface may become delayed or redistributed,REL-16A-020,operational dependency,SYS-ENERGY,workforce / mobility effect,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted aggregate population dependency,"no individual workforce, illness, or utility-territory inference",episodic / duration unknown,aggregate population/system interface,potentially reversible; recovery unknown,TM-16A-004,workforce substitution is not guaranteed capacity,RESP-16A-011,service timing and maintenance burden may change,aggregate data remain descriptive,data/processed/analysis/population_system_dependency_register.csv#AR-11B-DEP-0001-ENERGY-b93f58d9,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-025,1,STRESS-WORKFORCE-ABSENTEEISM,,parallel_initial_branch,SYS-POPULATION,aggregate workforce constrained,freight/transport interface may become delayed or redistributed,REL-16A-021,operational dependency,SYS-FREIGHT,workforce / mobility effect,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted aggregate mobility/freight dependency,commuting is not migration; no individual flow is modeled,episodic / duration unknown,aggregate population/freight interface,potentially reversible; recovery unknown,TM-16A-006,automation does not remove human authority or labor requirements,RESP-16A-011,logistics continuity may be delayed,workforce evidence is generalized,data/processed/analysis/population_system_dependency_register.csv#AR-11B-DEP-0001-TRANSPORT-07641b2d,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-026,1,STRESS-SURVEILLANCE-STRAIN,,parallel_initial_branch,SYS-DATA,observation/detection degraded,governance coordination may become less observable or delayed,REL-16A-013,governance / authority,SYS-GOVERNANCE,governance / authority constraint,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted data/governance relationship,"observation is not authority, enforcement, or control",episodic / duration unknown,information-to-governance interface,potentially reversible; recovery unknown,TM-16A-008,privacy and stewardship constraints remain explicit,RESP-16A-008,coordination and accountability may be delayed,unknown is not low or absent,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-012-50ef95ce,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-027,1,STRESS-SENSOR-DATA-DEGRADATION,,parallel_initial_branch,SYS-DATA,data less observable,energy operations may become less observable or delayed,REL-16A-012,information / observation,SYS-ENERGY,information / observation degradation,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted information/energy relationship,"no control, topology, or outage claim",episodic / duration unknown,system-level information-to-energy interface,potentially reversible; recovery unknown,TM-16A-002;TM-16A-003,observation does not create control,RESP-16A-008,decision timing may be delayed,coverage and representativeness are unresolved,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-027-60a602d4,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-028,1,STRESS-CYBER-DIGITAL,,parallel_initial_branch,SYS-DATA,digital continuity degraded,energy-related information interface may become less interoperable,REL-16A-012,information / observation,SYS-ENERGY,information / observation degradation,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted generalized communications dependency,"no attack detail, topology, or failure probability",episodic / duration unknown,system-level information-to-energy interface,potentially reversible; recovery unknown,TM-16A-003;TM-16A-011,defensive capability is not authority or immunity,RESP-16A-008,coordination burden may increase,digital exposure is high-level only,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-027-60a602d4,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-029,1,STRESS-CYBER-DIGITAL,,parallel_initial_branch,SYS-DATA,data less interoperable,governance/data stewardship interface may become constrained,REL-16A-030,governance / authority,SYS-GOVERNANCE,scenario-conditioned interaction,SCENARIO_STATE,SCENARIO_STATE,SCENARIO_STATE_APPLICATION,scenario-conditioned,scenario-conditioned,only Phase 15B scenario state supports this parallel initial branch,scenario-conditioned governance friction is not baseline failure,scenario-conditioned / horizon-specific,system-level data-to-governance interface,scenario recovery is indeterminate,TM-16A-008;TM-16A-011,"privacy, trust, and authority remain distinct",RESP-16A-009,data access and legitimacy may be redistributed,no operational cyber detail,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-02,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-030,1,STRESS-GOV-COORDINATION,,parallel_initial_branch,SYS-GOVERNANCE,governance coordination delayed,water-system coordination interface may be delayed or fragmented,REL-16A-016,governance / authority,SYS-WATER,governance / authority constraint,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted governance/water relationship,governance role is not operational control or treatment outcome,episodic / duration unknown,institutional-to-water interface,potentially reversible; recovery unknown,TM-16A-008,"authority, ownership, monitoring, and operation remain distinct",RESP-16A-009,water response timing may be delayed,specific authority path remains qualified,data/processed/analysis/governance_dependency_register.csv#AR-10B-GDEP-001-f50f412f,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-031,2,STRESS-GOV-COORDINATION,RULE-16A-030,sequential,SYS-WATER,water coordination delayed,potential exposure-pathway observation may become delayed,REL-16A-009,exposure pathway,SYS-INFECTIOUS-DISEASE,exposure pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,stage 1 governance/water relationship plus accepted water/pathway relationship,no exposure or health outcome is asserted,episodic / duration unknown,institutional-to-water-to-surveillance interface,potentially reversible; recovery unknown,TM-16A-007,monitoring is not control,RESP-16A-010,communication timing may change,health boundary remains explicit,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-007-c8da7d06,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-033,1,STRESS-DATA-PRIVACY,,parallel_initial_branch,SYS-DATA,data access constrained,governance/data interface may become constrained or redistributed,REL-16A-030,governance / authority,SYS-GOVERNANCE,scenario-conditioned interaction,SCENARIO_STATE,SCENARIO_STATE,SCENARIO_STATE_APPLICATION,scenario-conditioned,scenario-conditioned,only Phase 15B data-governance state supports the interaction,privacy constraint is not a data failure or loss of legitimacy,scenario-conditioned / horizon-specific,system-level data-to-governance interface,scenario recovery is indeterminate,TM-16A-008,access and authority remain distinct,RESP-16A-009,timeliness and interoperability may change,"scenario assumption, not current fact",data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-02,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-034,1,STRESS-VECTOR-PRESSURE,,parallel_initial_branch,SYS-VECTOR-ECOLOGY,vector ecology context variable,disease-system interface may become more observable or less certain,REL-16A-025,high-level association,SYS-INFECTIOUS-DISEASE,ecological pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted vector/disease relationship supports high-level review,"vector presence is not exposure, infection, or disease burden",seasonal / duration unknown,vector and disease surveillance scales,recovery unknown,TM-16A-007,surveillance is not incidence or control,RESP-16A-007,reported observations may change with effort,no disease forecast,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-004-567747f1,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-036,1,STRESS-SEVERE-STORM,,parallel_initial_branch,SYS-CLIMATE,storm/ice context stressed,energy continuity interface may become constrained or delayed,REL-16A-035,operational dependency,SYS-ENERGY,severe-storm power-interface propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted severe-storm/power-interface relationship,"no outage probability, damage, or failure is inferred",episodic,event-scale to energy-system interface,potentially reversible; recovery unknown,TM-16A-004;TM-16A-005,technology does not guarantee continuity,RESP-16A-005,freight/data timing may be affected in a later test,no compound test is executed here,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-016-938027aa,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-037,1,STRESS-SEVERE-STORM,,parallel_initial_branch,SYS-CLIMATE,storm/ice context stressed,freight interface may be delayed or redistributed,REL-16A-036,operational dependency,SYS-FREIGHT,wind/seiche freight-interface propagation,INFERRED,OBSERVED_DOCUMENTED,QUALIFIED_INFERENCE_FROM_WIND_SEICHE_COMPONENT,inferred,baseline,the cited relationship supports only the wind/seiche component of this broader stressor,"the broader severe-storm application is inferred; no route, volume, damage estimate, or general severe-storm effect is inferred",episodic,event-scale to generalized corridor context,potentially reversible; recovery unknown,TM-16A-006,"alternate routing is an option, not a guarantee",RESP-16A-006,industrial timing may be redistributed,public abstraction only; ice and non-wind storm effects remain unassessed,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-014-08221b51,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
