atlas_relationship_id,source_phase,source_artifact,local_relationship_id,source_local_endpoint_id,target_local_endpoint_id,source_atlas_entity_id,target_atlas_entity_id,source_system_id,target_system_id,native_source_system_label,native_target_system_label,normalized_relationship_class,endpoint_role_source,endpoint_role_target,source_join_level,target_join_level,evidence_class,documented_or_inferred,source_id,evidence_strength,confidence,uncertainty_id,directionality,spatial_scale,temporal_basis,scenario_status,inference_basis,uncertainty,suitable_for_visualization,suitable_for_qualitative_reasoning,suitable_for_stress_test_propagation,suitable_for_quantitative_aggregation,Atlas_use,caveat
AR-8B-BGD-011-46862ea0,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-011,BGC-014,BGC-005,ENT-BIOGEOCHEMISTRY-BGC-014,ENT-BIOGEOCHEMISTRY-BGC-005,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ncwqr,moderate,moderate,,unspecified_or_associative,station/HUC8,2026 baseline,BASELINE_DEPENDENCY,Temporal/spatial coverage varies.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: Temporal/spatial coverage varies.
AR-8B-BGD-012-12a2fe58,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-012,BGC-014,BGC-008,ENT-BIOGEOCHEMISTRY-BGC-014,ENT-BIOGEOCHEMISTRY-BGC-008,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_noaa_hab,high,high,,unspecified_or_associative,station/lake,2026 baseline,BASELINE_DEPENDENCY,Monitoring does not create basin-wide estimate.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: Monitoring does not create basin-wide estimate.
AR-8B-BGD-013-260f0099,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-013,BGC-017,BGC-001,ENT-BIOGEOCHEMISTRY-BGC-017,ENT-BIOGEOCHEMISTRY-BGC-001,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,operational dependency,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_h2ohio,moderate,moderate,,directed_local_record,regional/watershed,2026 baseline,BASELINE_DEPENDENCY,"Documented intervention, outcome not assumed.",Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Documented intervention, outcome not assumed."
AR-8B-BGD-014-d0f4f4b7,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-014,BGC-017,BGC-010,ENT-BIOGEOCHEMISTRY-BGC-017,ENT-BIOGEOCHEMISTRY-BGC-010,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,operational dependency,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_h2ohio,limited,limited,,directed_local_record,wetland/watershed,2026 baseline,BASELINE_DEPENDENCY,Site-specific performance unknown.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Site-specific performance unknown."
AR-8B-BGD-015-ee3fac8a,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-015,BGC-017,BGC-013,ENT-BIOGEOCHEMISTRY-BGC-017,ENT-BIOGEOCHEMISTRY-BGC-013,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,operational dependency,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_epa_npdes,moderate,moderate,,directed_local_record,facility/receiving water,2026 baseline,BASELINE_DEPENDENCY,Treatment capacity and actual load distinct.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Treatment capacity and actual load distinct."
AR-8B-BGD-016-e16477e0,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-016,BGC-006,BGC-005,ENT-BIOGEOCHEMISTRY-BGC-006,ENT-BIOGEOCHEMISTRY-BGC-005,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ncwqr,moderate,moderate,,unspecified_or_associative,station/river,2026 baseline,BASELINE_DEPENDENCY,One station is not the basin.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: One station is not the basin.
AR-8B-BGD-017-29e6740b,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-017,BGC-004,BGC-007,ENT-BIOGEOCHEMISTRY-BGC-004,ENT-BIOGEOCHEMISTRY-BGC-007,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,material flow,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_epa_lake_erie,moderate,moderate,,directed_local_record,HUC12/river,2026 baseline,BASELINE_DEPENDENCY,Spring/event dependence is important; no seasonal load fabricated.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: Spring/event dependence is important; no seasonal load fabricated."
AR-8B-BGD-018-c7dddb5c,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-018,BGC-003,BGC-015,ENT-BIOGEOCHEMISTRY-BGC-003,ENT-BIOGEOCHEMISTRY-BGC-015,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_nrscs,limited,limited,,unspecified_or_associative,field/river,2026 baseline,BASELINE_DEPENDENCY,Bounded carbon context only.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: Bounded carbon context only.
AR-8B-BGD-019-e9d193eb,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-019,BGC-015,BGC-009,ENT-BIOGEOCHEMISTRY-BGC-015,ENT-BIOGEOCHEMISTRY-BGC-009,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,material flow,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_epa_lake_erie,limited,limited,,directed_local_record,river/bay,2026 baseline,BASELINE_DEPENDENCY,No sediment budget.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: No sediment budget."
AR-8B-BGD-020-de4a45b9,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-020,BGC-018,BGC-013,ENT-BIOGEOCHEMISTRY-BGC-018,ENT-BIOGEOCHEMISTRY-BGC-013,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,operational dependency,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_epa_npdes,limited,limited,,directed_local_record,facility/regional,2026 baseline,BASELINE_DEPENDENCY,Potential control only.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Potential control only."
AR-8B-BGD-021-ea049a99,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-021,BGC-008,BGC-016,ENT-BIOGEOCHEMISTRY-BGC-008,ENT-BIOGEOCHEMISTRY-BGC-016,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,ecological relationship,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_epa_lake_erie,high,high,,directed_local_record,lake,2026 baseline,BASELINE_DEPENDENCY,No bloom magnitude or toxicity forecast.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk. Local caveat: No bloom magnitude or toxicity forecast."
AR-8B-BGD-022-c56dacc0,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-022,BGC-005,BGC-010,ENT-BIOGEOCHEMISTRY-BGC-005,ENT-BIOGEOCHEMISTRY-BGC-010,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,ecological relationship,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_usgs_3dhp,high,moderate,,directed_local_record,river/wetland,2026 baseline,BASELINE_DEPENDENCY,Physical connection does not ensure retention.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk. Local caveat: Physical connection does not ensure retention."
AR-9B-HZD-001-13a6b9b4,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-001,HZ-001,,ENT-CLIMATE-HZ-001,,SYS-CLIMATE,SYS-ENERGY,,energy,operational dependency,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_nca_energy,,moderate,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,supported_system_dependency,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: No local demand or outage probability."
AR-9B-HZD-002-d419db93,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-002,HZ-001,,ENT-CLIMATE-HZ-001,,SYS-CLIMATE,,,information_sensors,operational dependency,geographic unit,generalized external interface,exact,nonjoinable,OBSERVED_DOCUMENTED,documented,b9_nws_points,,moderate,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,documented_observation_interface,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,SOURCE_LOCAL_ONLY;NO_EXACT_ATLAS_JOIN,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Warning capacity is not hazard absence."
AR-9B-HZD-003-0bc4653e,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-003,HZ-001,,ENT-CLIMATE-HZ-001,,SYS-CLIMATE,,,exposure_context,operational dependency,geographic unit,generalized external interface,exact,nonjoinable,OBSERVED_DOCUMENTED,documented,d9_nca_midwest,,limited,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,SOURCE_LOCAL_ONLY;NO_EXACT_ATLAS_JOIN,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: No individual exposure or health outcome."
AR-9B-HZD-004-7a781c1a,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-004,HZ-004,,ENT-CLIMATE-HZ-004,,SYS-CLIMATE,SYS-WATER,,water,physical flow,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,b9_usgs_dv,,moderate,,directed_source_to_target,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Physical direction does not add common units, effect size, or risk meaning. Local caveat: USGS supports one river observation; the precipitation-to-runoff relationship is not quantified basin-wide."
AR-9B-HZD-005-ddd4be3d,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-005,HZ-004,,ENT-CLIMATE-HZ-004,,SYS-CLIMATE,SYS-BIOGEOCHEMISTRY,,biogeochemical,operational dependency,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_pnas_hab,,moderate,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,documented_mechanism_plus_plausible_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: No future load or bloom magnitude."
AR-9B-HZD-006-361fc1dc,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-006,HZ-008,,ENT-CLIMATE-HZ-008,,SYS-CLIMATE,SYS-WATER,,water,operational dependency,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_nca_midwest,,limited,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: No outfall inventory or overflow count."
AR-9B-HZD-007-41e5b974,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-007,HZ-006,,ENT-CLIMATE-HZ-006,,SYS-CLIMATE,SYS-FREIGHT,,freight,material flow,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_nca_midwest,,limited,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: No route-level disruption probability."
AR-9B-HZD-008-b690537b,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-008,HZ-006,,ENT-CLIMATE-HZ-006,,SYS-CLIMATE,SYS-WATER,,water,physical flow,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,b9_usgs_dv,,unknown,,directed_source_to_target,system-level,2026 baseline,BASELINE_DEPENDENCY,unsupported_unknown_interface,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Physical direction does not add common units, effect size, or risk meaning. Local caveat: USGS daily flow supports one gauge observation only; no treatment or intake operating evidence is included."
AR-9B-HZD-009-f447028d,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-009,HZ-009,,ENT-CLIMATE-HZ-009,,SYS-CLIMATE,,,agriculture,operational dependency,geographic unit,generalized external interface,exact,nonjoinable,OBSERVED_DOCUMENTED,documented,b9_usdm_area,,moderate,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,SOURCE_LOCAL_ONLY;NO_EXACT_ATLAS_JOIN,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: No yield or farm-level stress estimate."
AR-9B-HZD-010-5424717c,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-010,HZ-009,,ENT-CLIMATE-HZ-009,,SYS-CLIMATE,SYS-ECOLOGY,,ecology,ecological relationship,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_nca_midwest,,limited,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk. Local caveat: No population, abundance, or biodiversity score."
AR-9B-HZD-011-6487677d,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-011,HZ-010,,ENT-CLIMATE-HZ-010,,SYS-CLIMATE,SYS-WATER,,water,physical flow,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,b9_usgs_dv,,moderate,,directed_source_to_target,system-level,2026 baseline,BASELINE_DEPENDENCY,supported_system_dependency,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Physical direction does not add common units, effect size, or risk meaning. Local caveat: One gauge does not describe the entire watershed."
AR-9B-HZD-012-7e744b9c,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-012,HZ-012,,ENT-CLIMATE-HZ-012,,SYS-CLIMATE,SYS-FREIGHT,,freight,material flow,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_epa_great_lakes,,limited,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: EPA supports observed lake-level variability, not navigation operations; no cargo-loss or route probability."
AR-9B-HZD-013-a5f0c353,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-013,HZ-013,,ENT-CLIMATE-HZ-013,,SYS-CLIMATE,,,coastal,operational dependency,geographic unit,generalized external interface,exact,nonjoinable,OBSERVED_DOCUMENTED,documented,d9_noaa_llv,,moderate,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,documented_product_interface,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,SOURCE_LOCAL_ONLY;NO_EXACT_ATLAS_JOIN,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Not direct evidence of port burden, wind/wave effects, local inundation, or damage."
AR-9B-HZD-014-08221b51,9B,data/processed/analysis/climate_hazard_dependency_register.csv,HZD-014,HZ-014,,ENT-CLIMATE-HZ-014,,SYS-CLIMATE,SYS-FREIGHT,,freight,operational dependency,geographic unit,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,d9_noaa_seiche,,limited,,directed_local_record,system-level,2026 baseline,BASELINE_DEPENDENCY,physically_plausible_system_pathway,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: NOAA supports the seiche mechanism; no local shoreline effect, joint probability, or amplitude recurrence is established."
