interface_id,technology_id,technology_family,technology_label,technology_status,source_system_id,target_system_id,interface_type,normalized_relationship_class,evidence_class,current_or_emerging,regional_relevance,dependency_basis,governance_interface,uncertainty,source_id,notes
TSI-011,TECH-SENS-AUTONOMOUS,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Autonomous inspection and mobile sensing systems,demonstration / pilot,,SYS-ENERGY,infrastructure inspection,operational dependency,INFERRED,emerging,emerging,"Phase 3 energy assets provide generalized inspection context, not an autonomous inspection deployment.",Inspection does not create operational control or access authority.,"Weather, energy, communications, and retrieval are unresolved.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-012,TECH-SENS-AUTONOMOUS,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Autonomous inspection and mobile sensing systems,demonstration / pilot,,SYS-FREIGHT,corridor and asset inspection,operational dependency,INFERRED,emerging,emerging,Phase 5 corridors provide a bounded freight interface; no exact route or sensor fleet is added.,"Inspection is not carrier control, enforcement, or shipment attribution.","Coverage, safety, and data custody are unresolved.",REG-PHASE5A-FREIGHT,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-013,TECH-SENS-AUTONOMOUS,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Autonomous inspection and mobile sensing systems,demonstration / pilot,,SYS-EXPOSURE,environmental-health observation,surveillance / detection,INFERRED,emerging,emerging,Phase 7 monitoring pathways provide a context for potential measurement.,"Measurement is not personal exposure, dose, illness, or intervention authority.",Receptor contact and dose remain unknown.,REG-PHASE7A-EXPOSURE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-014,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,Defensive cybersecurity and digital resilience,established,,SYS-WATER,defensive continuity,operational dependency,INFERRED,current,current,Phase 4 and Phase 14 identify water/data interfaces without reconstructing control topology.,Resilience planning is not an attack path or operational command.,"Redundancy, recovery, and authentication coverage are unresolved.",REG-PHASE14B-ATLAS,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-015,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,Defensive cybersecurity and digital resilience,established,,SYS-ENERGY,defensive grid resilience,operational dependency,INFERRED,current,current,Phase 3B records generalized communications and energy dependencies.,Defensive security does not imply offensive capability or control authority.,Continuity and restoration performance are unresolved.,REG-PHASE3B-ENERGY-DEPENDENCIES,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-016,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,Defensive cybersecurity and digital resilience,established,,SYS-FREIGHT,defensive logistics continuity,operational dependency,INFERRED,current,current,Phase 5C identifies freight and gateway dependencies at public abstraction.,"No exploit, target, route, or sensitive logistics detail is modeled.","Vendor, carrier, and recovery dependencies are unresolved.",REG-PHASE5C-FREIGHT,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-017,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,Defensive cybersecurity and digital resilience,established,,SYS-INFECTIOUS-DISEASE,public-health digital continuity,operational dependency,INFERRED,current,current,Phase 13 surveillance and response interfaces depend on information continuity.,Continuity planning is not disease incidence or an attack procedure.,"Laboratory, reporting, and recovery dependencies are unresolved.",REG-PHASE13A-DISEASE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-018,TECH-CYBER-PQC,CYBERSECURITY / DIGITAL RESILIENCE,Post-quantum cryptographic transition,commercially emerging,,SYS-DATA,cryptographic trust transition,information / observation,INFERRED,emerging,emerging,Phase 4 information systems provide a regional data-governance context.,Authentication and trust are not permission or authority.,Inventory and migration sequencing are unresolved.,REG-PHASE4B-INFO-GOV,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-019,TECH-ENERGY-ADVANCED-NUCLEAR,ADVANCED ENERGY,Advanced nuclear reactors,demonstration / pilot,,SYS-ENERGY,advanced generation possibility,energy flow,INFERRED,emerging,speculative,Phase 3 energy baseline is the affected system; DOE evidence is a national demonstration context.,Licensing and operation are not inferred from research or demonstration support.,"Commercial availability, firm power, and siting are unresolved.",REG-PHASE3A-ENERGY,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-020,TECH-ENERGY-LDES,ADVANCED ENERGY,Long-duration and grid-scale energy storage,demonstration / pilot,,SYS-ENERGY,long-duration storage interface,energy flow,INFERRED,emerging,emerging,Phase 3 storage context supports a qualitative storage interface only.,Storage capability is not dispatch authority or dependable capacity.,"Duration, degradation, and replacement are unresolved.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-021,TECH-ENERGY-LDES,ADVANCED ENERGY,Long-duration and grid-scale energy storage,demonstration / pilot,,SYS-WATER,storage and cooling dependency,operational dependency,INFERRED,emerging,emerging,Water is an enabling dependency for selected energy technologies; plant-specific conditions are not modeled.,A cooling dependency is not a water withdrawal or permit claim.,Technology-specific water requirements are unresolved.,REG-PHASE3B-ENERGY-DEPENDENCIES,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-022,TECH-ENERGY-DISTRIBUTED,ADVANCED ENERGY,Distributed energy and microgrid coordination,commercially emerging,,SYS-ENERGY,distributed generation/storage interface,energy flow,INFERRED,emerging,emerging,Phase 3 generation and storage assets provide system context without feeder modeling.,Distributed capability is not service-territory or islanding authority.,"Interconnection, ownership, and continuity are unresolved.",REG-PHASE3A-ENERGY,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-023,TECH-ENERGY-HYDROGEN,ADVANCED ENERGY,"Hydrogen production, storage, and use",demonstration / pilot,,SYS-MATERIALS,hydrogen material-input interface,material flow,INFERRED,emerging,speculative,"Phase 2 materials and DOE hub evidence support a strategic interface, not local supply.",Fuel/material input is not electricity flow or local production.,"Feedstock, water, and delivery are unresolved.",REG-PHASE2-MATERIALS,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-024,TECH-ENERGY-HYDROGEN,ADVANCED ENERGY,"Hydrogen production, storage, and use",demonstration / pilot,,SYS-FREIGHT,heavy-industry and freight energy carrier,material flow,INFERRED,emerging,speculative,Phase 5 freight/industry context supports a possible carrier interface.,"A national hub program is not a regional route, shipment, or facility claim.","Demand, storage, delivery, and safety are unresolved.",REG-PHASE5A-FREIGHT,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-025,TECH-ENERGY-FUSION,ADVANCED ENERGY,Fusion energy research,research-stage,,SYS-ENERGY,fusion generation research interface,energy flow,INFERRED,speculative,speculative,DOE research evidence supports a long-horizon strategic interface only.,"Research is not generation, interconnection, or local deployment.","Foundational science, materials, and commercialization are unresolved.",REG-PHASE3A-ENERGY,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-026,TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,Advanced materials and smart manufacturing,commercially emerging,,SYS-MATERIALS,advanced material process interface,material flow,INFERRED,emerging,emerging,Phase 2 processing and NIST manufacturing evidence support a qualitative capability interface.,Manufacturing methods do not identify a local adopted process.,"Feedstock, qualification, and workforce are unresolved.",REG-PHASE2-MATERIALS,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-027,TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,Advanced materials and smart manufacturing,commercially emerging,,SYS-FREIGHT,manufacturing supply-chain interface,operational dependency,INFERRED,emerging,emerging,Phase 5 freight nodes provide logistics context without a facility route or volume.,Supply-chain relevance is not shipment evidence.,"Mode, customer, and substitution are unresolved.",REG-PHASE5A-FREIGHT,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-028,TECH-MATERIALS-CIRCULAR,ADVANCED MATERIALS / MANUFACTURING,Additive manufacturing and circular materials,commercially emerging,,SYS-MATERIALS,recovery and circular-material interface,material flow,INFERRED,emerging,emerging,Existing materials records support a bounded recycling/circular interface.,A circular relationship is not a documented recovery facility or rate.,Recovery quality and markets are unresolved.,REG-PHASE2-MATERIALS,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-029,TECH-MATERIALS-CIRCULAR,ADVANCED MATERIALS / MANUFACTURING,Additive manufacturing and circular materials,commercially emerging,,SYS-ENERGY,material-process energy dependency,operational dependency,INFERRED,emerging,emerging,Materials processing is connected qualitatively to the frozen energy system.,Energy dependence is not a capacity or outage claim.,Process energy and substitution are unresolved.,REG-PHASE3B-ENERGY-DEPENDENCIES,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-030,TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,Quantum sensing and timing,research-stage,,SYS-DATA,quantum measurement interface,surveillance / detection,INFERRED,speculative,speculative,NIST describes quantum sensing as a research/industry measurement direction; Phase 4 provides data context.,"Measurement is not interpretation, authority, or enforcement.",Field readiness and useful signal are unresolved.,REG-PHASE4A-DATA,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-031,TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,Quantum sensing and timing,research-stage,,SYS-WATER,high-precision water observation watch item,high-level association,INFERRED,speculative,speculative,"Water observations are a defensible possible application context, not local deployment.",Possible measurement does not establish intake monitoring or decision authority.,Technology utility and local integration are unresolved.,REG-PHASE4A-DATA,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-032,TECH-QUANTUM-COMPUTING,QUANTUM TECHNOLOGIES,Quantum computing and optimization,research-stage,,SYS-ENERGY,optimization research interface,operational dependency,INFERRED,speculative,speculative,Energy planning is an existing system context; no quantum advantage or local use is claimed.,Optimization output is not dispatch or grid authority.,"Algorithmic advantage, access, and cost are unresolved.",REG-PHASE3A-ENERGY,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-033,TECH-QUANTUM-COMPUTING,QUANTUM TECHNOLOGIES,Quantum computing and optimization,research-stage,,SYS-FREIGHT,logistics optimization watch item,operational dependency,INFERRED,speculative,speculative,Freight planning is a plausible system interface without shipment or route modeling.,Optimization is not carrier authority or route evidence.,Useful performance and data access are unresolved.,REG-PHASE5A-FREIGHT,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-034,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,Genomic diagnostics and environmental molecular monitoring,commercially emerging,,SYS-INFECTIOUS-DISEASE,genomic detection and diagnosis,surveillance / detection,INFERRED,emerging,emerging,CDC AMD evidence and Phase 13 surveillance provide a high-level detection interface.,"Detection is not incidence, attribution certainty, outbreak declaration, or treatment authority.","Sampling, laboratory capacity, and interpretation are unresolved.",REG-PHASE13A-DISEASE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-035,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,Genomic diagnostics and environmental molecular monitoring,commercially emerging,,SYS-WATER,environmental molecular monitoring,surveillance / detection,INFERRED,emerging,emerging,Water and wastewater are existing Phase 1/4/13 contexts; no new local result is asserted.,"A molecular signal is not contamination, exposure, dose, or illness.",Sampling and source attribution are unresolved.,REG-PHASE13A-DISEASE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-036,TECH-BIO-BIOMANUFACTURING,BIOTECHNOLOGY / GENETIC ENGINEERING,Biomanufacturing and industrial biotechnology,commercially emerging,,SYS-MATERIALS,biomanufacturing materials interface,material flow,INFERRED,emerging,speculative,Materials and manufacturing provide a regional interface for possible bio-based production.,"General capability is not a local plant, product, or process.","Feedstock, water, energy, containment, and qualification are unresolved.",REG-PHASE2-MATERIALS,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-037,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,Genomic diagnostics and environmental molecular monitoring,commercially emerging,,SYS-ECOLOGY,One Health biological monitoring,ecological relationship,INFERRED,emerging,emerging,CDC One Health and Phase 6/12 ecology provide a shared human-animal-environment context.,"Shared context is not a disease, abundance, or causation claim.","Attribution, monitoring coverage, and coordination are unresolved.",REG-PHASE12A-VECTOR,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-038,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,Genomic diagnostics and environmental molecular monitoring,commercially emerging,,SYS-VECTOR-ECOLOGY,vector and host surveillance,surveillance / detection,INFERRED,emerging,emerging,Phase 12 vector surveillance provides a regional biological-observation context.,"Detection is not establishment, human infection, transmission, or disease burden.","Sampling effort, detection sensitivity, and local distribution are unresolved.",REG-PHASE12A-VECTOR,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-039,TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,Genomic diagnostics and environmental molecular monitoring,commercially emerging,,SYS-GOVERNANCE,biosecurity governance lens,governance / authority,INFERRED,emerging,emerging,Phase 10 governance and Phase 13 response interfaces support a bounded oversight lens.,Oversight and coordination are not proof of a threat or operational control.,"Roles, communication, and response capacity are unresolved.",REG-PHASE10A-GOVERNANCE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-040,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"Privacy, surveillance, and data governance",established,,SYS-DATA,sensor and data stewardship,governance / authority,INFERRED,current,current,Phase 4 observation and Phase 14 registry records provide direct regional system context.,Data availability is not permission; observation is not authority.,"Access, provenance, and retention are unresolved.",REG-PHASE4B-INFO-GOV,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-041,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"Privacy, surveillance, and data governance",established,,SYS-GOVERNANCE,privacy and accountability interface,governance / authority,INFERRED,current,current,Phase 10 actor/authority distinctions provide the institutional context.,Technical capability is not legal authority or justified intervention.,"Legal basis, consent, and public legitimacy are unresolved.",REG-PHASE10A-GOVERNANCE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-042,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"Privacy, surveillance, and data governance",established,,SYS-POPULATION,mobility and utility data governance,population / mobility interface,INFERRED,current,current,Phase 11 aggregate mobility and settlement data provide context without individual profiling.,"Aggregate data is not individual movement, identity, or permission.","Scale, privacy, and representativeness are unresolved.",REG-PHASE11A-POPULATION,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-043,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"Privacy, surveillance, and data governance",established,,SYS-INFECTIOUS-DISEASE,public-health data stewardship,surveillance / detection,INFERRED,current,current,Phase 13 surveillance records provide a regional public-health data interface.,"Reporting and surveillance are not incidence, diagnosis, or enforcement.","Completeness, timeliness, and privacy are unresolved.",REG-PHASE13A-DISEASE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-044,TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"Privacy, surveillance, and data governance",established,,SYS-ENERGY,operating-information continuity,operational dependency,INFERRED,current,current,Phase 3B identifies generalized communications dependencies for energy operations.,Information continuity is not energy flow or control authority.,Redundancy and recovery are unresolved.,REG-PHASE3B-ENERGY-DEPENDENCIES,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
