dependency_id,source_node_id,dependent_node_id,domain,information_type,dependency_role,timeliness,availability_requirement,coverage,uncertainty,authority_level,access_class,relationship_basis,source_id,confidence,notes
IDE-C-001,OBS-NET-NPDES-MONITORING,OBS-DAT-EPA-ECHO,environmental_regulatory,Regulated monitoring and discharge reports,reporting_to_public_data,periodic,moderate,local,unknown,multi_agency,partially_public,documented,phase4a_epa_echo,medium,ECHO exposes public facility and compliance information; raw measurement pathways are not reconstructed.
IDE-C-002,OBS-DAT-EPA-ECHO,OBS-ORG-NPDES-PROGRAM,environmental_regulatory,Facility compliance and environmental information,regulatory_oversight,periodic,moderate,systemwide,unknown,federal,public,documented,phase4a_epa_npdes,high,Public data support program oversight; no named-facility finding or enforcement outcome is inferred.
IDE-C-003,OBS-NET-NPDES-MONITORING,OBS-ORG-NPDES-PROGRAM,environmental_regulatory,NPDES monitoring/reporting record,regulatory_oversight,periodic,moderate,local,unknown,multi_agency,partially_public,documented,phase4a_epa_npdes,medium,"The NPDES framework is represented at program level, including state authorization boundaries."
IDE-C-004,OBS-ORG-NPDES-PROGRAM,OBS-RSP-NPDES-COMPLIANCE,environmental_regulatory,Regulatory program determination,authority_interface,event_driven,moderate,local,unknown,state,partially_public,documented,phase4a_epa_npdes,medium,"Represents a possible compliance, permitting, or reporting response without assigning a case."
IDE-D-001,OBS-NET-EIA-ELECTRICITY,OBS-DAT-EIA-ELECTRICITY,energy_information,Generation and electricity statistics,public_observation_to_data,periodic,moderate,systemwide,unknown,federal,public,documented,phase4a_eia_electricity,high,EIA statistical products provide system context and are not operational telemetry.
IDE-D-002,OBS-DAT-EIA-ELECTRICITY,OBS-RSP-GRID-OPERATIONS,energy_information,Public generation/capacity context,public_context,unknown,moderate,regional,unknown,regional,public,documented,phase4a_eia_electricity,medium,EIA data support public understanding and planning context; no direct operator use is asserted.
IDE-D-003,OBS-NET-PJM-OPERATING-DATA,OBS-DAT-PJM-DATAMINER,energy_information,PJM public operating information,public_observation_to_data,unknown,high,regional,unknown,regional,public,documented,phase4a_pjm_dataminer,high,"PJM Data Miner is represented as a public data interface, not a control network."
IDE-D-004,OBS-DAT-PJM-DATAMINER,OBS-ORG-PJM,energy_information,PJM operator data,operator_information,unknown,high,regional,unknown,operator,public,documented,phase4a_pjm_operations,medium,Public operator data support a high-level information interface; internal workflows remain unavailable.
IDE-D-005,OBS-DAT-PJM-DATAMINER,OBS-RSP-GRID-OPERATIONS,energy_information,Public operating-information product,decision_support,unknown,high,regional,unknown,operator,public,documented,phase4a_pjm_dataminer,medium,The operational endpoint is generalized and does not imply a dispatch instruction or specific response.
IDE-D-006,OBS-ORG-PJM,OBS-RSP-GRID-OPERATIONS,energy_information,Operator authority and coordination,authority_interface,event_driven,high,regional,unknown,operator,partially_public,documented,phase4a_pjm_operations,medium,PJM's public operational role is represented without sensitive topology or internal decision detail.
