edge_id,from_id,to_id,material,flow_type,relationship_basis,reality_status,canon_status,confidence,source_id,relationship_date,current_status,notes
CARB-E12,CARB-MAT-AGGREGATE,CARB-END-CONSTRUCTION,aggregate,functional_dependency,engineering_dependency,real,verified,high,SRC-KOKOSING-SPECIALTY-2026,not_applicable,current_2026_baseline,"Product-class to sector function, not a project-specific delivery."
CARB-E13,CARB-MAT-LIME,CARB-END-ENVIRONMENT,lime,functional_dependency,engineering_dependency,real,verified,high,SRC-EPA-CAO-2022,not_applicable,current_2026_baseline,EPA documents environmental-treatment applications.
CARB-E14,CARB-PROC-MM-WOODVILLE,SYS-IF-ENERGY,process energy,system_interface,engineering_dependency,real,verified,high,SRC-MM-WOODVILLE-2025,not_applicable,current_2026_baseline,Calcination is energy-intensive; detailed energy sourcing is outside Phase 2B.
CARB-E15,CARB-MAT-LIME,SYS-IF-FREIGHT,lime products,system_interface,engineering_dependency,real,verified,medium_high,SRC-EPA-CAO-2022,not_applicable,current_2026_baseline,"Distribution dependency only; no mode, route, schedule, or quantity assigned."
BER-E01,BER-UP-DOMESTIC,BER-UP-HYDROXIDE,beryllium hydroxide intermediate,resource_to_intermediate,observed,real,verified,high,SRC-USGS-BE-2026,not_applicable,current_2026_baseline,USGS documents Utah bertrandite conversion; map remains schematic.
BER-E02,BER-UP-IMPORT,BER-UP-HYDROXIDE,beryllium hydroxide intermediate,resource_to_intermediate,observed,real,verified,high,SRC-USGS-BE-2026,not_applicable,current_2026_baseline,USGS documents imported beryl conversion; no country or route inferred.
BER-E03,BER-UP-HYDROXIDE,BER-PROC-ELMORE,beryllium hydroxide,intermediate_to_processing,observed,real,verified,high,SRC-USGS-BE-2026,not_applicable,current_2026_baseline,"USGS documents that some intermediate material is shipped to an Ohio plant; no route, mode, or quantity modeled."
BER-E04,BER-PROC-ELMORE,BER-MAT-ADVANCED,beryllium metal / oxide / copper-beryllium,processing_to_product,observed,real,verified,high,SRC-USGS-BE-2026,not_applicable,current_2026_baseline,USGS supports Ohio conversion to these broad material forms.
BER-E05,BER-MAT-ADVANCED,BER-END-AERO-DEF,advanced beryllium materials,product_to_sector,supply_chain_inference,real,inferred,high,SRC-USGS-BE-2026,not_applicable,current_2026_baseline,Broad sector use is sourced; a specific Elmore customer is not asserted.
BER-E06,BER-MAT-ADVANCED,BER-END-ELEC-TELECOM,beryllium alloys / components,product_to_sector,supply_chain_inference,real,inferred,medium_high,SRC-USGS-BE-FLOW-2018,not_applicable,current_2026_baseline,Broad sector use is sourced; a specific Elmore customer is not asserted.
BER-E07,BER-MAT-ADVANCED,BER-END-OPTICS,beryllium / aluminum-beryllium,product_to_sector,supply_chain_inference,real,inferred,medium_high,SRC-MATERION-ENDUSES-2024,not_applicable,current_2026_baseline,Company-supported market use; not a named Elmore customer contract.
BER-E08,BER-PROC-ELMORE,BER-END-CFS,beryllium fluoride for FLiBe,named_supply,documented_supply_relationship,real,verified,high,SRC-MATERION-CFS-2025,2025-10-31,announced_current_relationship; shipments stated to begin in 2025,Materion announced Elmore shipments for CFS ARC FLiBe; no quantity or transport route modeled.
BER-E09,BER-PROC-ELMORE,BER-END-KAIROS,beryllium fluoride / FLiBe,named_supply,documented_supply_relationship,real,verified,medium_high,SRC-MATERION-KAIROS-2022,2022-07-27,documented_2022_collaboration; 2026 operating status unresolved,Materion announced an Elmore FLiBe collaboration and commissioned purification plant; current status not independently reverified.
BER-E10,BER-PROC-ELMORE,SYS-IF-ENERGY,process energy,system_interface,engineering_dependency,real,verified,medium_high,SRC-EPA-MATERION-ELMORE,not_applicable,current_2026_baseline,Advanced processing depends on energy; no detailed load or supplier modeled.
BER-E11,BER-MAT-ADVANCED,SYS-IF-FREIGHT,advanced materials,system_interface,engineering_dependency,real,verified,medium,SRC-USGS-BE-2026,not_applicable,current_2026_baseline,"External supply/end use implies logistics, but no mode, route, schedule, or quantity is assigned."
