relationship_id,from_id,to_id,relationship_type,relationship_basis,geographic_scale,evidence_status,source_id,confidence,reality_status,canon_status,notes
IDR-027,DID-012,SUR-012,observed_by,documented_source,facility/state/regional/national,documented_program,s13_cdc_ar,moderate,real,verified,AMR remains a generalized surveillance/response interface; national estimates are not regional observations.
IDR-028,DID-011,DID-012,institutional_context,project_boundary,healthcare/institutional,boundary_rule,s13_cdc_nhsn,high,real,verified,HAI and AMR systems intersect institutionally but are not combined into a burden score.
IDR-029,SUR-001,INST-001,receives_reports,documented_source,state/territorial/national,documented_program,s13_nndss_about,high,real,verified,NNDSS depends on jurisdictional case surveillance and reporting pathways.
IDR-030,SUR-006,INST-001,receives_laboratory_data,documented_source,state/territorial/national,documented_program,s13_cdc_enteric,high,real,verified,Public-health laboratories submit identified enteric infections and specimen information.
IDR-031,SUR-008,INST-001,receives_surveillance_data,documented_source,national/stream,documented_program,s13_cdc_flu_methods,high,real,verified,FluView is a multi-partner observation system with stream-specific denominators.
IDR-032,SUR-009,INST-001,receives_environmental_observations,documented_source,sewershed/community/state,documented_program,s13_cdc_wastewater,high,real,verified,Wastewater observations complement other surveillance and do not supply infection counts.
IDR-033,INST-001,INST-002,informs_response,documented_plus_inferred,agency/program/jurisdiction,project_inference,phase10_governance,moderate,real,inferred,"Observation can inform decisions, but monitoring is not control and response effectiveness is not estimated."
IDR-034,SUR-003,INST-002,informs_response,documented_plus_inferred,agency/county/state,project_inference,phase10_governance,moderate,real,inferred,Vector detections can enter response interfaces; they do not establish human cases or local transmission.
IDR-035,HOST-001,REF-11,population_context,accepted_layer,county/place/generalized employment,accepted_reference,phase11_population,high,real,verified,Population and settlement context is retained at native scale and not downscaled to disease risk.
IDR-036,REF-9,ENV-004,environmental_context,accepted_layer,station/county/community,accepted_reference,phase9_climate,limited,real,inferred,Climate context can frame seasonal observation timing but does not establish incidence or suitability.
IDR-037,REF-7A,ENV-001,exposure_context,accepted_layer,pathway/monitoring,accepted_reference,phase7_exposure,high,real,verified,"Accepted exposure context keeps source-water condition, pathway, exposure, dose, and health outcome separate."
IDR-038,REF-4,INST-001,observation_context,accepted_layer,station/program/agency,accepted_reference,phase4_information,high,real,verified,Accepted observation architecture is reused without claiming complete infectious-disease surveillance coverage.
IDR-039,REF-10,INST-002,governance_context,accepted_layer,agency/program/jurisdiction,accepted_reference,phase10_governance,high,real,verified,"Accepted governance roles remain distinct from operations, legal authority, and control effectiveness."
IDR-040,DID-013,REF-7A,noninfectious_boundary,project_boundary,source/recreational-water,boundary_rule,phase7_exposure,high,real,verified,HAB toxic pathways remain separate from infectious disease and are not included in a pathogen-risk index.
