dependency_state_id,scenario_id,scenario_family,horizon,system_a,system_b,technology_family,dependency_change_type,dependency_state,enabling_conditions,limiting_conditions,governance_implication,uncertainty,evidence_basis,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TDS-A2050-11,A2050,Coordinated Technological Adaptation,2050,SYS-ECOLOGY,SYS-INFECTIOUS-DISEASE,BIOTECHNOLOGY / GENETIC ENGINEERING,intensified_existing_dependency,"Shared environmental, vector, and public-health observation can improve coordination while preserving distinct evidence ladders. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","One Health coordination, sampling, laboratory quality, and scale-aware interpretation","coverage, attribution, detection sensitivity, and source separation","Vector presence, detection, infection, and disease remain distinct","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-CDC-ONEHEALTH; REG-PHASE12A-VECTOR]); this is qualitative scenario construction.,TFA-A2050-03,EXT-CDC-ONEHEALTH,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. biotechnology ↔ ecology / disease observation; no exact route, capacity, outage, or deployment is inferred."
TDS-A2050-12,A2050,Coordinated Technological Adaptation,2050,SYS-MATERIALS,SYS-ENERGY,ADVANCED MATERIALS / MANUFACTURING,substituted_some_dependency,"Process changes can substitute for some material inputs or introduce new energy and qualification requirements. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","feedstock, quality, energy, recycling, process control, and workforce","supply-chain dependence, qualification time, energy services, and market acceptance",No quantitative substitution or facility production is represented,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-MANUFACTURING; REG-PHASE3A-ENERGY]); this is qualitative scenario construction.,TFA-A2050-03,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. advanced manufacturing ↔ materials / energy; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-01,A2075,Coordinated Technological Adaptation,2075,SYS-ENERGY,SYS-DATA,AI / ADVANCED COMPUTE / AUTOMATION,intensified_existing_dependency,"AI, sensing, cyber, and data services make compute continuity more consequential; compute is not a guaranteed bottleneck. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","Energy continuity, efficient models, local fallback, and human operating procedures","availability, allocation, model utility, and facility-level redundancy remain unknown",Energy and information authorities remain distinct; no dispatch or control authority is assigned to software,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; REG-PHASE3B-ENERGY-DEPENDENCIES]); this is qualitative scenario construction.,TFA-A2075-03,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. energy ↔ compute; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-02,A2075,Coordinated Technological Adaptation,2075,SYS-DATA,SYS-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,intensified_existing_dependency,"More data and interoperability move dependency toward stewardship, permission, provenance, and public accountability. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","purpose limitation, legal basis, role clarity, access rules, and auditability","privacy, consent, retention, and incompatible institutional rules",Availability is not permission and technical capability is not legal authority,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-PRIVACY; REG-PHASE10A-GOVERNANCE]); this is qualitative scenario construction.,TFA-A2075-03,EXT-NIST-PRIVACY,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. data ↔ governance; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-03,A2075,Coordinated Technological Adaptation,2075,SYS-DATA,SYS-POPULATION,ADVANCED SENSING / AUTONOMOUS SYSTEMS,substituted_some_dependency,"More observation can make systems more observable while legitimacy remains conditional. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","transparent stewardship, representative coverage, public communication, and recourse","surveillance concern, uneven access, and non-comparable methods","Observation is not enforcement, intervention, or authority","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NOAA-IOOS; EXT-NIST-PRIVACY]); this is qualitative scenario construction.,TFA-A2075-03,EXT-NOAA-IOOS,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. sensing ↔ public trust; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-04,A2075,Coordinated Technological Adaptation,2075,SYS-FREIGHT,SYS-POPULATION,AI / ADVANCED COMPUTE / AUTOMATION,intensified_existing_dependency,"Automation changes tasks, training, maintenance, and accountability rather than removing human authority. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","training, safe operating procedures, maintenance, and worker participation","skills mismatch, unequal access, equipment continuity, and labor transition",Automation is not autonomous governance or an employment forecast,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-MANUFACTURING; REG-PHASE5A-FREIGHT]); this is qualitative scenario construction.,TFA-A2075-03,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. automation ↔ workforce; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-05,A2075,Coordinated Technological Adaptation,2075,SYS-INFECTIOUS-DISEASE,SYS-GOVERNANCE,BIOTECHNOLOGY / GENETIC ENGINEERING,intensified_existing_dependency,"Diagnostics and molecular monitoring connect laboratory, environmental, food, and public-health interpretation. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","sampling, diagnostic quality, reporting, public communication, and coordinated oversight","attribution, laboratory capacity, privacy, dual-use governance, and response coordination","Detection is not incidence, threat, transmission, or successful response","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-CDC-AMD; EXT-CDC-ONEHEALTH]); this is qualitative scenario construction.,TFA-A2075-03,EXT-CDC-AMD,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. biotechnology ↔ public health / agriculture / governance; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-06,A2075,Coordinated Technological Adaptation,2075,SYS-MATERIALS,SYS-FREIGHT,ADVANCED MATERIALS / MANUFACTURING,substituted_some_dependency,"Process innovation shifts dependence toward qualified feedstock, equipment, logistics, and energy services. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","qualification, suppliers, workforce, energy continuity, and customer interfaces","nonlocal feed, equipment access, supply-chain substitution, and market demand","No named facility process, route, volume, or local adoption is inferred","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-MANUFACTURING; REG-PHASE2-MATERIALS]); this is qualitative scenario construction.,TFA-A2075-03,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. advanced manufacturing ↔ materials / freight / energy; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-07,A2075,Coordinated Technological Adaptation,2075,SYS-ENERGY,SYS-WATER,ADVANCED ENERGY,intensified_existing_dependency,"Storage, advanced generation, cooling, and hydrogen possibilities can move dependencies across energy and water contexts. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","siting, water stewardship, regulation, interconnection, and maintenance","technology-specific water requirements, permits, and firm power remain unresolved","No withdrawal, intake, plant, or deployment claim is made","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-DOE-ENERGY-STORAGE; REG-PHASE3B-ENERGY-DEPENDENCIES]); this is qualitative scenario construction.,TFA-A2075-03,EXT-DOE-ENERGY-STORAGE,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. energy ↔ water; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-08,A2075,Coordinated Technological Adaptation,2075,SYS-DATA,SYS-ENERGY,CYBERSECURITY / DIGITAL RESILIENCE,intensified_existing_dependency,"Defensive cyber practice can substitute for some single-point information dependencies while increasing identity and recovery coupling. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","asset inventories, authentication, recovery, communications, and trained personnel","legacy systems, vendor interfaces, staffing, and recovery performance","Cybersecurity remains defensive; no attack path, exploit, or operational control topology is modeled","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-CISA-CPG; REG-PHASE14B-ATLAS]); this is qualitative scenario construction.,TFA-A2075-03,EXT-CISA-CPG,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. cybersecurity ↔ digitally dependent systems; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-09,A2075,Coordinated Technological Adaptation,2075,SYS-DATA,SYS-GOVERNANCE,CYBERSECURITY / DIGITAL RESILIENCE,substituted_some_dependency,"Cryptographic migration can move dependency from current compatibility toward inventory and lifecycle governance. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","standards, inventory, procurement, staged migration, and interoperability","legacy support, cost, sequencing, and uneven implementation",Migration planning is not a prediction of attack timing or legal authority,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-PQC; EXT-CISA-CPG]); this is qualitative scenario construction.,TFA-A2075-03,EXT-NIST-PQC,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. post-quantum transition ↔ digital infrastructure; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-10,A2075,Coordinated Technological Adaptation,2075,SYS-ENERGY,SYS-DATA,ADVANCED ENERGY,intensified_existing_dependency,"Distributed energy and storage may substitute for some centralized continuity dependencies while increasing local compute and communications needs. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","interconnection, storage, maintenance, control accountability, and communications","feeder topology, islanding, duration, ownership, and dispatch are unknown",Human and institutional authority remains outside the technical capability layer,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-DOE-ENERGY-STORAGE; REG-PHASE3A-ENERGY]); this is qualitative scenario construction.,TFA-A2075-03,EXT-DOE-ENERGY-STORAGE,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. distributed energy / storage ↔ compute; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-11,A2075,Coordinated Technological Adaptation,2075,SYS-ECOLOGY,SYS-INFECTIOUS-DISEASE,BIOTECHNOLOGY / GENETIC ENGINEERING,intensified_existing_dependency,"Shared environmental, vector, and public-health observation can improve coordination while preserving distinct evidence ladders. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","One Health coordination, sampling, laboratory quality, and scale-aware interpretation","coverage, attribution, detection sensitivity, and source separation","Vector presence, detection, infection, and disease remain distinct","Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-CDC-ONEHEALTH; REG-PHASE12A-VECTOR]); this is qualitative scenario construction.,TFA-A2075-03,EXT-CDC-ONEHEALTH,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. biotechnology ↔ ecology / disease observation; no exact route, capacity, outage, or deployment is inferred."
TDS-A2075-12,A2075,Coordinated Technological Adaptation,2075,SYS-MATERIALS,SYS-ENERGY,ADVANCED MATERIALS / MANUFACTURING,substituted_some_dependency,"Process changes can substitute for some material inputs or introduce new energy and qualification requirements. Selected interfaces are more coordinated, but coupling and maintenance requirements remain visible.","feedstock, quality, energy, recycling, process control, and workforce","supply-chain dependence, qualification time, energy services, and market acceptance",No quantitative substitution or facility production is represented,"Moderate uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-MANUFACTURING; REG-PHASE3A-ENERGY]); this is qualitative scenario construction.,TFA-A2075-03,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. advanced manufacturing ↔ materials / energy; no exact route, capacity, outage, or deployment is inferred."
TDS-B2050-01,B2050,Uneven Networked Modernization,2050,SYS-ENERGY,SYS-DATA,AI / ADVANCED COMPUTE / AUTOMATION,redistributed_across_nodes,"AI, sensing, cyber, and data services make compute continuity more consequential; compute is not a guaranteed bottleneck. Strong and weak nodes handle the dependency differently, with bridges, duplication, and negotiation friction.","Energy continuity, efficient models, local fallback, and human operating procedures","availability, allocation, model utility, and facility-level redundancy remain unknown",Energy and information authorities remain distinct; no dispatch or control authority is assigned to software,"High uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; REG-PHASE3B-ENERGY-DEPENDENCIES]); this is qualitative scenario construction.,TFA-B2050-03,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. energy ↔ compute; no exact route, capacity, outage, or deployment is inferred."
TDS-B2050-02,B2050,Uneven Networked Modernization,2050,SYS-DATA,SYS-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,redistributed_across_nodes,"More data and interoperability move dependency toward stewardship, permission, provenance, and public accountability. Strong and weak nodes handle the dependency differently, with bridges, duplication, and negotiation friction.","purpose limitation, legal basis, role clarity, access rules, and auditability","privacy, consent, retention, and incompatible institutional rules",Availability is not permission and technical capability is not legal authority,"High uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-PRIVACY; REG-PHASE10A-GOVERNANCE]); this is qualitative scenario construction.,TFA-B2050-03,EXT-NIST-PRIVACY,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. data ↔ governance; no exact route, capacity, outage, or deployment is inferred."
TDS-B2050-03,B2050,Uneven Networked Modernization,2050,SYS-DATA,SYS-POPULATION,ADVANCED SENSING / AUTONOMOUS SYSTEMS,redistributed_across_nodes,"More observation can make systems more observable while legitimacy remains conditional. Strong and weak nodes handle the dependency differently, with bridges, duplication, and negotiation friction.","transparent stewardship, representative coverage, public communication, and recourse","surveillance concern, uneven access, and non-comparable methods","Observation is not enforcement, intervention, or authority","High uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NOAA-IOOS; EXT-NIST-PRIVACY]); this is qualitative scenario construction.,TFA-B2050-03,EXT-NOAA-IOOS,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. sensing ↔ public trust; no exact route, capacity, outage, or deployment is inferred."
TDS-B2050-04,B2050,Uneven Networked Modernization,2050,SYS-FREIGHT,SYS-POPULATION,AI / ADVANCED COMPUTE / AUTOMATION,redistributed_across_nodes,"Automation changes tasks, training, maintenance, and accountability rather than removing human authority. Strong and weak nodes handle the dependency differently, with bridges, duplication, and negotiation friction.","training, safe operating procedures, maintenance, and worker participation","skills mismatch, unequal access, equipment continuity, and labor transition",Automation is not autonomous governance or an employment forecast,"High uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-MANUFACTURING; REG-PHASE5A-FREIGHT]); this is qualitative scenario construction.,TFA-B2050-03,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. automation ↔ workforce; no exact route, capacity, outage, or deployment is inferred."
TDS-B2050-05,B2050,Uneven Networked Modernization,2050,SYS-INFECTIOUS-DISEASE,SYS-GOVERNANCE,BIOTECHNOLOGY / GENETIC ENGINEERING,redistributed_across_nodes,"Diagnostics and molecular monitoring connect laboratory, environmental, food, and public-health interpretation. Strong and weak nodes handle the dependency differently, with bridges, duplication, and negotiation friction.","sampling, diagnostic quality, reporting, public communication, and coordinated oversight","attribution, laboratory capacity, privacy, dual-use governance, and response coordination","Detection is not incidence, threat, transmission, or successful response","High uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-CDC-AMD; EXT-CDC-ONEHEALTH]); this is qualitative scenario construction.,TFA-B2050-03,EXT-CDC-AMD,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. biotechnology ↔ public health / agriculture / governance; no exact route, capacity, outage, or deployment is inferred."
TDS-B2050-06,B2050,Uneven Networked Modernization,2050,SYS-MATERIALS,SYS-FREIGHT,ADVANCED MATERIALS / MANUFACTURING,redistributed_across_nodes,"Process innovation shifts dependence toward qualified feedstock, equipment, logistics, and energy services. Strong and weak nodes handle the dependency differently, with bridges, duplication, and negotiation friction.","qualification, suppliers, workforce, energy continuity, and customer interfaces","nonlocal feed, equipment access, supply-chain substitution, and market demand","No named facility process, route, volume, or local adoption is inferred","High uncertainty about whether the interface substitutes for, intensifies, or moves dependency in practice.",Phase 14B dependency normalization plus Phase 15A interface evidence ([EXT-NIST-MANUFACTURING; REG-PHASE2-MATERIALS]); this is qualitative scenario construction.,TFA-B2050-03,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Dependency direction is descriptive, not a risk, resilience, readiness, connectivity, or performance score. advanced manufacturing ↔ materials / freight / energy; no exact route, capacity, outage, or deployment is inferred."
