state_id,scenario_id,scenario,horizon,baseline_node_id,baseline_name,taxon_or_system,vector_group,baseline_presence_context,seasonal_suitability_state,habitat_opportunity_state,overwintering_or_activity_context,future_range_state,establishment_state,abundance_state,pathogen_state,human_interface_state,current_fact,scenario_assumption,scenario_consequence,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
VECSTATE-A2075-VEC-005,A2075,Managed Ecological Adaptation,2075,VEC-005,Eastern treehole mosquito,Aedes triseriatus,mosquito,Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,managed container networks constrain persistent opportunities in selected developed and woodland-edge settings,"routine container, tire, gutter, and treehole attention reduces some habitat opportunities while residual habitat remains",winter constraints remain a local uncertainty even as warm-season conditions persist,future suitability/opportunity only; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,"SCENARIO ASSUMPTION: Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2075-02,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2075-VEC-006,A2075,Managed Ecological Adaptation,2075,VEC-006,Blacklegged tick,Ixodes scapularis,tick,"County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.",mature edge stewardship preserves selected forest and humid refugia interfaces while leaving ecological uncertainty,maintenance and habitat connectivity choices constrain some unmanaged edge conditions,seasonal activity remains possible under warmer conditions; host relationships are not projected,future suitability/opportunity only; no future Ixodes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.","SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2075-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2050-VEC-001,B2050,Heterogeneous Adaptive Basin,2050,VEC-001,Northern house mosquito,Culex pipiens,mosquito,"Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","seasonal opportunity varies among urban, ditch, floodplain, and rural interfaces","a mosaic of constrained, permissive, and episodic standing-water settings emerges",activity and overwintering context differ by local temperature and water conditions,future suitability/opportunity varies locally; no basin-wide Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2050-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2050-VEC-002,B2050,Heterogeneous Adaptive Basin,2050,VEC-002,Culex pipiens/restuans complex context,Culex pipiens plus close relative Culex restuans,mosquito,The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"seasonal opportunity varies among urban, ditch, floodplain, and rural interfaces","a mosaic of constrained, permissive, and episodic standing-water settings emerges",activity and overwintering context differ by local temperature and water conditions,future suitability/opportunity varies locally; no basin-wide Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2050-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2050-VEC-003,B2050,Heterogeneous Adaptive Basin,2050,VEC-003,Asian tiger mosquito,Aedes albopictus,mosquito,Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,"container suitability differs sharply among urban, suburban, woodland, and maintained settings",some settlement interfaces remain permissive while others constrain containers through local maintenance,"temperature, shade, and overwintering constraints vary by micro-setting",future suitability/opportunity varies locally; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,"SCENARIO ASSUMPTION: Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2050-02,VFS-001,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2050-VEC-004,B2050,Heterogeneous Adaptive Basin,2050,VEC-004,Asian bush mosquito,Aedes japonicus,mosquito,"Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.","container suitability differs sharply among urban, suburban, woodland, and maintained settings",some settlement interfaces remain permissive while others constrain containers through local maintenance,"temperature, shade, and overwintering constraints vary by micro-setting",future suitability/opportunity varies locally; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.","SCENARIO ASSUMPTION: Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2050-02,VFS-003,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2050-VEC-005,B2050,Heterogeneous Adaptive Basin,2050,VEC-005,Eastern treehole mosquito,Aedes triseriatus,mosquito,Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,"container suitability differs sharply among urban, suburban, woodland, and maintained settings",some settlement interfaces remain permissive while others constrain containers through local maintenance,"temperature, shade, and overwintering constraints vary by micro-setting",future suitability/opportunity varies locally; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,"SCENARIO ASSUMPTION: Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2050-02,VFS-001,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2050-VEC-006,B2050,Heterogeneous Adaptive Basin,2050,VEC-006,Blacklegged tick,Ixodes scapularis,tick,"County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.","forest-edge suitability is strongly differentiated by moisture, vegetation, host, and access context",some forest and edge patches retain opportunity while others are constrained or dry,"questing conditions vary by local humidity, temperature, and host ecology",future suitability/opportunity varies locally; no future Ixodes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.","SCENARIO ASSUMPTION: Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2050-03,VFS-008,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2075-VEC-001,B2075,Heterogeneous Adaptive Basin,2075,VEC-001,Northern house mosquito,Culex pipiens,mosquito,"Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","a persistent habitat mosaic remains the defining state, with locally divergent seasonal windows",some interfaces remain constrained while others retain recurrent or episodic standing-water opportunity,local activity and overwintering conditions remain heterogeneous and uncertain,future suitability/opportunity varies locally; no basin-wide Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2075-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2075-VEC-002,B2075,Heterogeneous Adaptive Basin,2075,VEC-002,Culex pipiens/restuans complex context,Culex pipiens plus close relative Culex restuans,mosquito,The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"a persistent habitat mosaic remains the defining state, with locally divergent seasonal windows",some interfaces remain constrained while others retain recurrent or episodic standing-water opportunity,local activity and overwintering conditions remain heterogeneous and uncertain,future suitability/opportunity varies locally; no basin-wide Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2075-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2075-VEC-003,B2075,Heterogeneous Adaptive Basin,2075,VEC-003,Asian tiger mosquito,Aedes albopictus,mosquito,Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,a durable mosaic of container-constrained and container-permissive settings remains,"local settlement form, maintenance, shade, and precipitation continue to separate habitat opportunity",overwintering constraints remain heterogeneous and unresolved rather than disappearing basin-wide,future suitability/opportunity varies locally; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,"SCENARIO ASSUMPTION: Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2075-02,VFS-001,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2075-VEC-004,B2075,Heterogeneous Adaptive Basin,2075,VEC-004,Asian bush mosquito,Aedes japonicus,mosquito,"Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.",a durable mosaic of container-constrained and container-permissive settings remains,"local settlement form, maintenance, shade, and precipitation continue to separate habitat opportunity",overwintering constraints remain heterogeneous and unresolved rather than disappearing basin-wide,future suitability/opportunity varies locally; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.","SCENARIO ASSUMPTION: Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2075-02,VFS-003,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2075-VEC-005,B2075,Heterogeneous Adaptive Basin,2075,VEC-005,Eastern treehole mosquito,Aedes triseriatus,mosquito,Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,a durable mosaic of container-constrained and container-permissive settings remains,"local settlement form, maintenance, shade, and precipitation continue to separate habitat opportunity",overwintering constraints remain heterogeneous and unresolved rather than disappearing basin-wide,future suitability/opportunity varies locally; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,"SCENARIO ASSUMPTION: Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2075-02,VFS-001,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-B2075-VEC-006,B2075,Heterogeneous Adaptive Basin,2075,VEC-006,Blacklegged tick,Ixodes scapularis,tick,"County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.","a persistent patchwork of humid, dry, connected, and fragmented edge settings remains","local forest/edge differences, not a basin average, organize potential opportunity",seasonal activity and host relationships remain spatially heterogeneous and uncertain,future suitability/opportunity varies locally; no future Ixodes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.","SCENARIO ASSUMPTION: Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-B2075-03,VFS-008,high,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-C2050-VEC-001,C2050,Warmer / More Variable Vector Landscape,2050,VEC-001,Northern house mosquito,Culex pipiens,mosquito,"Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","warmer conditions may lengthen seasonal opportunity in selected settings, while drought interrupts habitat elsewhere","episodic heavy rain, stagnant infrastructure, and dry intervals create patchy water opportunity",seasonality becomes more variable; no universal extension is assumed,future suitability/opportunity may be more permissive in selected settings; no future Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.",SCENARIO ASSUMPTION: Warmer conditions and stronger drought/heavy-rain contrasts create episodic habitat opportunities and interruptions; selected seasonal windows may lengthen while local water availability remains variable. This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast.,"SCENARIO CONSEQUENCE: This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-C2050-01,VFS-002,exploratory,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-C2050-VEC-002,C2050,Warmer / More Variable Vector Landscape,2050,VEC-002,Culex pipiens/restuans complex context,Culex pipiens plus close relative Culex restuans,mosquito,The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"warmer conditions may lengthen seasonal opportunity in selected settings, while drought interrupts habitat elsewhere","episodic heavy rain, stagnant infrastructure, and dry intervals create patchy water opportunity",seasonality becomes more variable; no universal extension is assumed,future suitability/opportunity may be more permissive in selected settings; no future Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,SCENARIO ASSUMPTION: Warmer conditions and stronger drought/heavy-rain contrasts create episodic habitat opportunities and interruptions; selected seasonal windows may lengthen while local water availability remains variable. This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast.,"SCENARIO CONSEQUENCE: This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-C2050-01,VFS-002,exploratory,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-C2050-VEC-003,C2050,Warmer / More Variable Vector Landscape,2050,VEC-003,Asian tiger mosquito,Aedes albopictus,mosquito,Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,warmer seasonal conditions may increase opportunity in selected container settings,"urban and suburban containers, gutters, tires, and woodland-edge receptacles create episodic opportunities where maintenance lags",winter constraints may ease in some warm urban settings but remain uncertain and local,future suitability/opportunity may be more permissive in selected settings; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,"SCENARIO ASSUMPTION: Developed edges, containers, gutters, and stagnant infrastructure provide more opportunities in selected locations where maintenance struggles to keep pace, without implying uniform habitat or abundance. This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-C2050-02,VFS-001,exploratory,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-C2050-VEC-004,C2050,Warmer / More Variable Vector Landscape,2050,VEC-004,Asian bush mosquito,Aedes japonicus,mosquito,"Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.",warmer seasonal conditions may increase opportunity in selected container settings,"urban and suburban containers, gutters, tires, and woodland-edge receptacles create episodic opportunities where maintenance lags",winter constraints may ease in some warm urban settings but remain uncertain and local,future suitability/opportunity may be more permissive in selected settings; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.","SCENARIO ASSUMPTION: Developed edges, containers, gutters, and stagnant infrastructure provide more opportunities in selected locations where maintenance struggles to keep pace, without implying uniform habitat or abundance. This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the C scenario's intermediate 2050 ecological trajectory: climate variability begins to expose selected habitat and monitoring seams; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-C2050-02,VFS-003,exploratory,high,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
