blindspot_state_id,scenario_id,scenario_year,baseline_blindspot_id,domain,affected_chain,change_type,future_blindspot,description,assumption_id,plausibility,relationship_basis,source_or_basis,notes
IBSS-B2075-06,B2075,2075,,cross_system,X,new_blindspot,Federated model disagreement and standard divergence.,Autonomy can make regional synthesis slower or contested.,ISA-B2075-06,moderate,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2050-01,C2050,2050,IBS-A-003,lake_erie_hab,A,transformed,Forecast uncertainty becomes model-opacity and contestation risk.,More analysis can increase speed while making model disagreement harder to explain.,ISA-C2050-01,exploratory,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2050-02,C2050,2050,IBS-A-004,lake_erie_hab,A,persists,The direct forecast-to-Toledo handoff remains an institutional trust boundary.,Automation does not establish municipal use or authority.,ISA-C2050-02,exploratory,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2050-03,C2050,2050,IBS-B-003,maumee_hydrology,B,transformed,"Latency may shrink, but system dependence and model disagreement become new concerns.",Faster products do not guarantee trustworthy warnings.,ISA-C2050-03,exploratory,scenario_assumption,phase4a_glerl_hab,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2050-04,C2050,2050,IBS-C-001,environmental_regulatory,C,transformed,"Authenticated records can still be incomplete, periodic, or contested in interpretation.",Integrity improvements do not create continuous observation.,ISA-C2050-04,exploratory,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2050-05,C2050,2050,IBS-D-001,energy_information,D,transformed,Public-data gaps become stronger operational-data separation and compute dependence.,Interconnection increases value without opening sensitive detail.,ISA-C2050-05,exploratory,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2050-06,C2050,2050,,cross_system,X,new_blindspot,Model opacity and institutional trust gap.,"The main risk is contested interpretation, not a specified attack.",ISA-C2050-06,exploratory,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2075-01,C2075,2075,IBS-A-003,lake_erie_hab,A,transformed,"Model opacity, disagreement, and concentration replace simpler coverage questions.",More sensing does not ensure shared interpretation.,ISA-C2075-01,exploratory,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2075-02,C2075,2075,IBS-A-004,lake_erie_hab,A,persists,Institutional trust and municipal authority remain a boundary around external products.,No automatic promotion of forecast to decision is assumed.,ISA-C2075-02,exploratory,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2075-03,C2075,2075,IBS-B-002,maumee_hydrology,B,transformed,Multiple automated models create provenance and disagreement burdens.,More models can produce more contested warnings.,ISA-C2075-03,exploratory,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2075-04,C2075,2075,IBS-C-001,environmental_regulatory,C,transformed,"Authenticated records may be restricted, incomplete, or difficult to interpret politically.",Integrity does not guarantee legitimacy or coverage.,ISA-C2075-04,exploratory,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2075-05,C2075,2075,IBS-D-001,energy_information,D,transformed,Information concentration and operational restriction become central public blind spots.,The public interface remains deliberately incomplete.,ISA-C2075-05,exploratory,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-C2075-06,C2075,2075,,cross_system,X,new_blindspot,Algorithmic dependence and institutional trust gap.,Fast optimization can outpace shared legitimacy.,ISA-C2075-06,exploratory,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
