state_id,scenario_id,scenario,horizon,archetype,baseline_response_interfaces,healthcare_public_health_capacity,response_coordination_state,response_latency_margin,intervention_interface,infrastructure_dependency_state,response_boundary,current_fact,scenario_assumption,scenario_consequence,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
IDFR-A2075-zoonotic,A2075,Coordinated Prevention & Detection,2075,zoonotic,SUR-010;REF-4;REF-10,"healthcare and public-health response capacity is stronger in selected interfaces, with clearer laboratory, care, and environmental-health handoffs","coordination is more connected across public health, healthcare, laboratories, environmental programs, and relevant operators",response margin is mature and wider in selected priority interfaces,"zoonotic prevention, investigation, care, and communication interfaces are better aligned without assuming elimination","selected energy, communications, treatment, cold-chain, laboratory, and facility dependencies are buffered. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for zoonotic; effectiveness is not measured.","SCENARIO ASSUMPTION: Public-health and healthcare actors use clearer detection-to-response handoffs, surge planning, and infection-control coordination that are institutionalized in selected interfaces in selected systems; response capacity is not disease absence. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-A2075-04,phase10_coordination_context,moderate,moderate,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-A2075-healthcareAMR,A2075,Coordinated Prevention & Detection,2075,healthcare/AMR,SUR-011;SUR-012;INST-001;REF-10,"healthcare and public-health response capacity is stronger in selected interfaces, with clearer laboratory, care, and environmental-health handoffs","coordination is more connected across public health, healthcare, laboratories, environmental programs, and relevant operators",response margin is mature and wider in selected priority interfaces,"healthcare/AMR prevention, investigation, care, and communication interfaces are better aligned without assuming elimination","selected energy, communications, treatment, cold-chain, laboratory, and facility dependencies are buffered. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for healthcare/AMR; effectiveness is not measured.","SCENARIO ASSUMPTION: Public-health and healthcare actors use clearer detection-to-response handoffs, surge planning, and infection-control coordination that are institutionalized in selected interfaces in selected systems; response capacity is not disease absence. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-A2075-04,phase10_coordination_context,moderate,moderate,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2050-vectorborne,B2050,Networked but Uneven Adaptation,2050,vector-borne,SUR-003;REF-4;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin varies by node and event,"vector-borne prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for vector-borne; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2050-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2050-waterborneenvironmental,B2050,Networked but Uneven Adaptation,2050,waterborne/environmental,SUR-004;SUR-005;REF-4;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin varies by node and event,"waterborne/environmental prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for waterborne/environmental; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2050-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2050-foodborneenteric,B2050,Networked but Uneven Adaptation,2050,foodborne/enteric,SUR-006;SUR-007;SUR-005;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin varies by node and event,"foodborne/enteric prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for foodborne/enteric; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2050-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2050-respiratory,B2050,Networked but Uneven Adaptation,2050,respiratory,SUR-008;SUR-009;REF-4;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin varies by node and event,"respiratory prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for respiratory; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2050-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2050-zoonotic,B2050,Networked but Uneven Adaptation,2050,zoonotic,SUR-010;REF-4;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin varies by node and event,"zoonotic prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for zoonotic; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2050-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2050-healthcareAMR,B2050,Networked but Uneven Adaptation,2050,healthcare/AMR,SUR-011;SUR-012;INST-001;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin varies by node and event,"healthcare/AMR prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for healthcare/AMR; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2050-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2075-vectorborne,B2075,Networked but Uneven Adaptation,2075,vector-borne,SUR-003;REF-4;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin remains structurally uneven across the network,"vector-borne prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for vector-borne; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with institutionalized in selected interfaces coordination through overlapping institutional networks. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2075-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
IDFR-B2075-waterborneenvironmental,B2075,Networked but Uneven Adaptation,2075,waterborne/environmental,SUR-004;SUR-005;REF-4;REF-10,healthcare and public-health response capacity is strong in some centers and slower or less accessible in others,"coordination uses overlapping networks with local protocols, negotiation friction, and variable cross-node coverage",response margin remains structurally uneven across the network,"waterborne/environmental prevention, investigation, care, and communication interfaces are distributed and locally adapted rather than uniform","continuity, treatment, cold-chain, laboratory, energy, communications, and facility dependencies are buffered unevenly. Response capacity is not absence of disease; response strain is not prevalence, incidence, or disease burden.","Response capacity is not absence of disease, and a response interface is not a prevalence or burden measure.","CURRENT FACT (2026 baseline): Phase 13A/13B identify care, laboratory, public-health, governance, and infrastructure interfaces for waterborne/environmental; effectiveness is not measured.","SCENARIO ASSUMPTION: Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with institutionalized in selected interfaces coordination through overlapping institutional networks. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Response coordination and margin change qualitatively; no incidence, case, outbreak, or health-outcome forecast is made.",IDFA-B2075-04,phase10_coordination_context,high,high,fictional,scenario,scenario_assumption,Healthcare/public-health response is modeled as coordination and capacity interface only; system strain does not imply prevalence.
