state_id,scenario_id,scenario,horizon,baseline_object_id,surveillance_dimension,current_fact,surveillance_capacity_state,detection_timing_state,method_and_effort_state,management_response_interface,abundance_inference_boundary,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
SURVSTATE-004-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-018,federal vector and tick surveillance interface,"CURRENT FACT (2026 baseline): CDC programs maintain separate vector, pathogen, animal, and human records; no combined index is created.",functional but uneven participation and capacity by jurisdiction and habitat,"detection timing varies by program, method, and local coverage",heterogeneous methods and effort remain structural,local detection can inform local response; monitoring is not control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2050-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-005-B2050,B2050,Heterogeneous Adaptive Basin,2050,VDE-017,detection-to-decision interface,CURRENT FACT (2026 baseline): Detection can inform decisions; monitoring is not control and does not guarantee complete detection.,functional but uneven participation and capacity by jurisdiction and habitat,"detection timing varies by program, method, and local coverage",heterogeneous methods and effort remain structural,local detection can inform local response; monitoring is not control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2050-04,VFS-016,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-001-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-015,mosquito surveillance program,CURRENT FACT (2026 baseline): Program and pooled results are retained as surveillance records with effort and scale limits.,durable but nonuniform surveillance networks operate through habitat-specific arrangements,some locations detect earlier while others retain reporting and coverage gaps,multiple methods and denominators remain non-comparable,"response is distributed and functional in places, not basin-wide or complete","Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2075-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-002-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-016,regional/state participating programs,CURRENT FACT (2026 baseline): Participating jurisdictions and methods vary; counts are not a statewide abundance index.,durable but nonuniform surveillance networks operate through habitat-specific arrangements,some locations detect earlier while others retain reporting and coverage gaps,multiple methods and denominators remain non-comparable,"response is distributed and functional in places, not basin-wide or complete","Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2075-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-003-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-017,state and local mosquito activity reporting,"CURRENT FACT (2026 baseline): State/county surveillance context; species, effort, and human cases remain separate.",durable but nonuniform surveillance networks operate through habitat-specific arrangements,some locations detect earlier while others retain reporting and coverage gaps,multiple methods and denominators remain non-comparable,"response is distributed and functional in places, not basin-wide or complete","Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2075-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-004-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-018,federal vector and tick surveillance interface,"CURRENT FACT (2026 baseline): CDC programs maintain separate vector, pathogen, animal, and human records; no combined index is created.",durable but nonuniform surveillance networks operate through habitat-specific arrangements,some locations detect earlier while others retain reporting and coverage gaps,multiple methods and denominators remain non-comparable,"response is distributed and functional in places, not basin-wide or complete","Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2075-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-005-B2075,B2075,Heterogeneous Adaptive Basin,2075,VDE-017,detection-to-decision interface,CURRENT FACT (2026 baseline): Detection can inform decisions; monitoring is not control and does not guarantee complete detection.,durable but nonuniform surveillance networks operate through habitat-specific arrangements,some locations detect earlier while others retain reporting and coverage gaps,multiple methods and denominators remain non-comparable,"response is distributed and functional in places, not basin-wide or complete","Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2075-04,VFS-016,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-001-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-015,mosquito surveillance program,CURRENT FACT (2026 baseline): Program and pooled results are retained as surveillance records with effort and scale limits.,selected programs struggle to keep pace with ecological change while others remain capable,detection may lag in selected locations and seasons,effort and method gaps become more consequential but remain unknown,management response is delayed or uneven in selected settings,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2050-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-002-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-016,regional/state participating programs,CURRENT FACT (2026 baseline): Participating jurisdictions and methods vary; counts are not a statewide abundance index.,selected programs struggle to keep pace with ecological change while others remain capable,detection may lag in selected locations and seasons,effort and method gaps become more consequential but remain unknown,management response is delayed or uneven in selected settings,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2050-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-003-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-017,state and local mosquito activity reporting,"CURRENT FACT (2026 baseline): State/county surveillance context; species, effort, and human cases remain separate.",selected programs struggle to keep pace with ecological change while others remain capable,detection may lag in selected locations and seasons,effort and method gaps become more consequential but remain unknown,management response is delayed or uneven in selected settings,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2050-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-004-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-018,federal vector and tick surveillance interface,"CURRENT FACT (2026 baseline): CDC programs maintain separate vector, pathogen, animal, and human records; no combined index is created.",selected programs struggle to keep pace with ecological change while others remain capable,detection may lag in selected locations and seasons,effort and method gaps become more consequential but remain unknown,management response is delayed or uneven in selected settings,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2050-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-005-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VDE-017,detection-to-decision interface,CURRENT FACT (2026 baseline): Detection can inform decisions; monitoring is not control and does not guarantee complete detection.,selected programs struggle to keep pace with ecological change while others remain capable,detection may lag in selected locations and seasons,effort and method gaps become more consequential but remain unknown,management response is delayed or uneven in selected settings,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2050-04,VFS-016,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-001-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-015,mosquito surveillance program,CURRENT FACT (2026 baseline): Program and pooled results are retained as surveillance records with effort and scale limits.,"surveillance and management capacity remain patchy relative to a warmer, more variable landscape",detection lag persists in selected locations despite capable programs elsewhere,"coverage, method, and effort remain heterogeneous and cannot infer abundance",selected response interfaces struggle to keep pace; no collapse or disease outcome is assumed,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2075-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-002-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-016,regional/state participating programs,CURRENT FACT (2026 baseline): Participating jurisdictions and methods vary; counts are not a statewide abundance index.,"surveillance and management capacity remain patchy relative to a warmer, more variable landscape",detection lag persists in selected locations despite capable programs elsewhere,"coverage, method, and effort remain heterogeneous and cannot infer abundance",selected response interfaces struggle to keep pace; no collapse or disease outcome is assumed,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2075-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-003-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-017,state and local mosquito activity reporting,"CURRENT FACT (2026 baseline): State/county surveillance context; species, effort, and human cases remain separate.","surveillance and management capacity remain patchy relative to a warmer, more variable landscape",detection lag persists in selected locations despite capable programs elsewhere,"coverage, method, and effort remain heterogeneous and cannot infer abundance",selected response interfaces struggle to keep pace; no collapse or disease outcome is assumed,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2075-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-004-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-018,federal vector and tick surveillance interface,"CURRENT FACT (2026 baseline): CDC programs maintain separate vector, pathogen, animal, and human records; no combined index is created.","surveillance and management capacity remain patchy relative to a warmer, more variable landscape",detection lag persists in selected locations despite capable programs elsewhere,"coverage, method, and effort remain heterogeneous and cannot infer abundance",selected response interfaces struggle to keep pace; no collapse or disease outcome is assumed,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2075-04,VFS-007,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-005-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VDE-017,detection-to-decision interface,CURRENT FACT (2026 baseline): Detection can inform decisions; monitoring is not control and does not guarantee complete detection.,"surveillance and management capacity remain patchy relative to a warmer, more variable landscape",detection lag persists in selected locations despite capable programs elsewhere,"coverage, method, and effort remain heterogeneous and cannot infer abundance",selected response interfaces struggle to keep pace; no collapse or disease outcome is assumed,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-C2075-04,VFS-016,exploratory,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
