relationship_id,scenario_id,scenario_family,horizon,technology_family_a,technology_family_b,convergence_mechanism,enabling_conditions,limiting_conditions,affected_system_ids,evidence_basis,scenario_dependence,governance_implications,uncertainty,second_order_effects,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TCR-A2075-01,A2075,Coordinated Technological Adaptation,2075,AI / ADVANCED COMPUTE / AUTOMATION,ADVANCED SENSING / AUTONOMOUS SYSTEMS,faster environmental interpretation and decision support,"quality-controlled observations, communications, compute, trained reviewers","coverage gaps, calibration error, model error, data permission, and operator trust",SYS-WATER;SYS-DATA;SYS-ECOLOGY;SYS-CLIMATE,Phase 15A technology capability/interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; EXT-NOAA-IOOS]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about coverage gaps, calibration error, model error, data permission, and operator trust and the second-order effects of coupling.","Measurement can become more observable without becoming more authoritative or controlled. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"AI + sensing: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-02,A2075,Coordinated Technological Adaptation,2075,AI / ADVANCED COMPUTE / AUTOMATION,ADVANCED ENERGY,adaptive energy operations and planning support,"compute, energy continuity, data exchange, human operators, and defensive cyber practices","interconnection, dispatch authority, model validity, storage duration, and maintenance",SYS-ENERGY;SYS-DATA;SYS-GOVERNANCE,Phase 15A technology capability/interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; EXT-DOE-ENERGY-STORAGE]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about interconnection, dispatch authority, model validity, storage duration, and maintenance and the second-order effects of coupling.","A recommendation may improve timing while increasing energy/compute dependence and coupling. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"AI + grid + storage: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-03,A2075,Coordinated Technological Adaptation,2075,AI / ADVANCED COMPUTE / AUTOMATION,ADVANCED MATERIALS / MANUFACTURING,"changed industrial workflows, inspection, and workforce needs","qualified processes, skilled workforce, equipment, energy, materials, and safety review","qualification, workforce transition, supply chains, liability, and uneven facility adoption",SYS-MATERIALS;SYS-FREIGHT;SYS-ENERGY;SYS-POPULATION,Phase 15A technology capability/interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; EXT-NIST-MANUFACTURING]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about qualification, workforce transition, supply chains, liability, and uneven facility adoption and the second-order effects of coupling.","Productivity or continuity gains may be accompanied by maintenance, training, and access differences. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"automation + advanced manufacturing: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-04,A2075,Coordinated Technological Adaptation,2075,BIOTECHNOLOGY / GENETIC ENGINEERING,ADVANCED SENSING / AUTONOMOUS SYSTEMS,faster detection opportunity across environmental and public-health interfaces,"sampling, laboratory capacity, quality systems, data stewardship, and interpretation","attribution uncertainty, sampling bias, turnaround, privacy, and communication",SYS-WATER;SYS-ECOLOGY;SYS-VECTOR-ECOLOGY;SYS-INFECTIOUS-DISEASE,Phase 15A technology capability/interface evidence ([EXT-CDC-AMD; EXT-NOAA-IOOS]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about attribution uncertainty, sampling bias, turnaround, privacy, and communication and the second-order effects of coupling.","More detection can produce more observations without establishing incidence, attribution, or health outcomes. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-CDC-AMD,scenario,scenario,scenario_assumption,"genomic diagnostics + sensing: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-05,A2075,Coordinated Technological Adaptation,2075,CYBERSECURITY / DIGITAL RESILIENCE,QUANTUM TECHNOLOGIES,changing authentication and cryptographic migration requirements,"asset inventory, standards, procurement, lifecycle planning, and interoperability","legacy systems, vendor support, migration sequencing, cost, and uneven implementation",SYS-DATA;SYS-GOVERNANCE;SYS-ENERGY;SYS-WATER,Phase 15A technology capability/interface evidence ([EXT-NIST-PQC; EXT-CISA-CPG]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about legacy systems, vendor support, migration sequencing, cost, and uneven implementation and the second-order effects of coupling.","Security transition can create temporary compatibility and maintenance burdens without assuming a quantum attack. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-CISA-CPG,scenario,scenario,scenario_assumption,"post-quantum transition + digital infrastructure: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-06,A2075,Coordinated Technological Adaptation,2075,ADVANCED ENERGY,AI / ADVANCED COMPUTE / AUTOMATION,changed local infrastructure dependencies and continuity options,"interconnection, controls, storage, compute, communications, ownership, and maintenance","islanding is not inferred; feeder topology, duration, dispatch, and service territory remain unknown",SYS-ENERGY;SYS-DATA;SYS-WATER;SYS-FREIGHT,Phase 15A technology capability/interface evidence ([EXT-DOE-ENERGY-STORAGE; EXT-DOE-AI-RECOMMENDATIONS]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about islanding is not inferred; feeder topology, duration, dispatch, and service territory remain unknown and the second-order effects of coupling.","Local capability may substitute for some centralized dependencies while creating new digital and maintenance dependencies. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-DOE-ENERGY-STORAGE,scenario,scenario,scenario_assumption,"distributed energy + storage + compute: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-07,A2075,Coordinated Technological Adaptation,2075,ADVANCED SENSING / AUTONOMOUS SYSTEMS,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,changing legitimacy and data-use constraints around observation,"provenance, access rules, consent, purpose limitation, and public communication","surveillance concerns, legal authority, retention, unequal access, and non-comparable methods",SYS-DATA;SYS-GOVERNANCE;SYS-POPULATION;SYS-EXPOSURE,Phase 15A technology capability/interface evidence ([EXT-NOAA-IOOS; EXT-NIST-PRIVACY]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about surveillance concerns, legal authority, retention, unequal access, and non-comparable methods and the second-order effects of coupling.","Observability can increase without increasing control, permission, or public legitimacy. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-NOAA-IOOS,scenario,scenario,scenario_assumption,"sensing + privacy/data governance: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-08,A2075,Coordinated Technological Adaptation,2075,CYBERSECURITY / DIGITAL RESILIENCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"cross-system continuity, recovery, and trusted data exchange","asset and dependency inventories, authentication, recovery practice, communications, and roles","legacy interfaces, staffing, vendor dependence, fragmented standards, and recovery uncertainty",SYS-WATER;SYS-ENERGY;SYS-DATA;SYS-FREIGHT;SYS-GOVERNANCE;SYS-INFECTIOUS-DISEASE,Phase 15A technology capability/interface evidence ([EXT-CISA-CPG; EXT-NIST-PRIVACY]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about legacy interfaces, staffing, vendor dependence, fragmented standards, and recovery uncertainty and the second-order effects of coupling.","Defensive capability can improve continuity while increasing coupling to inventories, identity, communications, and skilled maintenance. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-CISA-CPG,scenario,scenario,scenario_assumption,"defensive cyber + all digitally dependent systems: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-09,A2075,Coordinated Technological Adaptation,2075,BIOTECHNOLOGY / GENETIC ENGINEERING,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"higher detection and stewardship capacity at food, agricultural, and environmental interfaces","One Health coordination, laboratory/diagnostic capacity, public communication, privacy, and supply-chain continuity","attribution uncertainty, dual-use oversight, uneven laboratory access, and communication failure",SYS-BIOGEOCHEMISTRY;SYS-ECOLOGY;SYS-FREIGHT;SYS-INFECTIOUS-DISEASE;SYS-GOVERNANCE,Phase 15A technology capability/interface evidence ([EXT-CDC-ONEHEALTH; EXT-CDC-AMD]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about attribution uncertainty, dual-use oversight, uneven laboratory access, and communication failure and the second-order effects of coupling.","Improved detection does not establish contamination, exposure, illness, or a biological threat; governance determines use and legitimacy. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-CDC-AMD,scenario,scenario,scenario_assumption,"biotechnology + food/agriculture + governance: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-A2075-10,A2075,Coordinated Technological Adaptation,2075,QUANTUM TECHNOLOGIES,ADVANCED SENSING / AUTONOMOUS SYSTEMS,possible niche measurement and timing interfaces,"robust field integration, calibration, data exchange, compute, and institutional demand","research-stage maturity, useful signal, cost, specialized workforce, and adoption uncertainty",SYS-DATA;SYS-ENERGY;SYS-WATER,Phase 15A technology capability/interface evidence ([EXT-NIST-QIS; REG-PHASE4A-DATA]); affected-system interpretation is qualitative and inferred.,"More likely where interoperability, maintenance, workforce investment, trust, and human review keep pace with capability.","Requires accountable stewardship, transparent decision boundaries, defensive security, and institution-specific authority; optimization remains advisory.","Moderate uncertainty about research-stage maturity, useful signal, cost, specialized workforce, and adoption uncertainty and the second-order effects of coupling.","A niche technical capability may add measurement options while increasing calibration and infrastructure dependencies; no basin deployment is inferred. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-A2075-04,EXT-NIST-QIS,scenario,scenario,scenario_assumption,"quantum sensing + data/energy: interaction is not automatically beneficial and is not a basin deployment claim. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TCR-B2050-01,B2050,Uneven Networked Modernization,2050,AI / ADVANCED COMPUTE / AUTOMATION,ADVANCED SENSING / AUTONOMOUS SYSTEMS,faster environmental interpretation and decision support,"quality-controlled observations, communications, compute, trained reviewers","coverage gaps, calibration error, model error, data permission, and operator trust",SYS-WATER;SYS-DATA;SYS-ECOLOGY;SYS-CLIMATE,Phase 15A technology capability/interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; EXT-NOAA-IOOS]); affected-system interpretation is qualitative and inferred.,"Develops unevenly through strong nodes, negotiated standards, and partial bridges; surrounding systems may not share the same capability.",Requires negotiated interfaces and local accountability; benefits and burdens are distributed unevenly and standards may conflict.,"High uncertainty about coverage gaps, calibration error, model error, data permission, and operator trust and the second-order effects of coupling.","Measurement can become more observable without becoming more authoritative or controlled. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-B2050-04,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"AI + sensing: interaction is not automatically beneficial and is not a basin deployment claim. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TCR-B2050-02,B2050,Uneven Networked Modernization,2050,AI / ADVANCED COMPUTE / AUTOMATION,ADVANCED ENERGY,adaptive energy operations and planning support,"compute, energy continuity, data exchange, human operators, and defensive cyber practices","interconnection, dispatch authority, model validity, storage duration, and maintenance",SYS-ENERGY;SYS-DATA;SYS-GOVERNANCE,Phase 15A technology capability/interface evidence ([EXT-DOE-AI-RECOMMENDATIONS; EXT-DOE-ENERGY-STORAGE]); affected-system interpretation is qualitative and inferred.,"Develops unevenly through strong nodes, negotiated standards, and partial bridges; surrounding systems may not share the same capability.",Requires negotiated interfaces and local accountability; benefits and burdens are distributed unevenly and standards may conflict.,"High uncertainty about interconnection, dispatch authority, model validity, storage duration, and maintenance and the second-order effects of coupling.","A recommendation may improve timing while increasing energy/compute dependence and coupling. In this scenario, the interaction may also redistribute maintenance, workforce, data, energy, or legitimacy burdens.",TFA-B2050-04,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"AI + grid + storage: interaction is not automatically beneficial and is not a basin deployment claim. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
