scenario_id,scenario_year,edge_id,from_object_id,to_object_id,interface_type,change_type,reality_status,relationship_basis,assumption_id,source_id,notes
A2075,2075,BGS-E-A2075-06,SCN-A2075-06,SCN-A2075-07,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-06,bge_epa_lake_erie,No exact future transport or effect size.
A2075,2075,BGS-E-A2075-07,SCN-A2075-07,SCN-A2075-08,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-01,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-01,SCN-B2050-01,SCN-B2050-02,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-01,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-02,SCN-B2050-02,SCN-B2050-03,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-02,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-03,SCN-B2050-03,SCN-B2050-04,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-03,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-04,SCN-B2050-04,SCN-B2050-05,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-04,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-05,SCN-B2050-05,SCN-B2050-06,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-05,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-06,SCN-B2050-06,SCN-B2050-07,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-06,bge_epa_lake_erie,No exact future transport or effect size.
B2050,2050,BGS-E-B2050-07,SCN-B2050-07,SCN-B2050-08,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2050-01,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-01,SCN-B2075-01,SCN-B2075-02,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-01,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-02,SCN-B2075-02,SCN-B2075-03,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-02,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-03,SCN-B2075-03,SCN-B2075-04,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-03,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-04,SCN-B2075-04,SCN-B2075-05,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-04,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-05,SCN-B2075-05,SCN-B2075-06,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-05,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-06,SCN-B2075-06,SCN-B2075-07,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-06,bge_epa_lake_erie,No exact future transport or effect size.
B2075,2075,BGS-E-B2075-07,SCN-B2075-07,SCN-B2075-08,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-B2075-01,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-01,SCN-C2050-01,SCN-C2050-02,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-01,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-02,SCN-C2050-02,SCN-C2050-03,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-02,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-03,SCN-C2050-03,SCN-C2050-04,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-03,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-04,SCN-C2050-04,SCN-C2050-05,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-04,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-05,SCN-C2050-05,SCN-C2050-06,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-05,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-06,SCN-C2050-06,SCN-C2050-07,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-06,bge_epa_lake_erie,No exact future transport or effect size.
C2050,2050,BGS-E-C2050-07,SCN-C2050-07,SCN-C2050-08,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2050-01,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-01,SCN-C2075-01,SCN-C2075-02,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-01,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-02,SCN-C2075-02,SCN-C2075-03,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-02,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-03,SCN-C2075-03,SCN-C2075-04,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-03,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-04,SCN-C2075-04,SCN-C2075-05,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-04,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-05,SCN-C2075-05,SCN-C2075-06,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-05,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-06,SCN-C2075-06,SCN-C2075-07,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-06,bge_epa_lake_erie,No exact future transport or effect size.
C2075,2075,BGS-E-C2075-07,SCN-C2075-07,SCN-C2075-08,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-C2075-01,bge_epa_lake_erie,No exact future transport or effect size.
