scenario_id,scenario_year,pathway_family,baseline_object_id,change_type,state,reality_status,relationship_basis,assumption_id,plausibility,uncertainty,source_or_basis,notes
B,2075,Soil / Groundwater / Legacy Contamination,P-03,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-04-03,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2075,Food / Fish / Recreational Water,P-04,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-04-04,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2075,Heat,P-05,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-04-05,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2050,Drinking Water / HAB,P-01,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-05-01,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2050,Ambient Air,P-02,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-05-02,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2050,Soil / Groundwater / Legacy Contamination,P-03,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-05-03,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2050,Food / Fish / Recreational Water,P-04,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-05-04,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2050,Heat,P-05,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-05-05,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2075,Drinking Water / HAB,P-01,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-06-01,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2075,Ambient Air,P-02,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-06-02,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2075,Soil / Groundwater / Legacy Contamination,P-03,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-06-03,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2075,Food / Fish / Recreational Water,P-04,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-06-04,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
C,2075,Heat,P-05,monitoring_reduced,control dependence and evidence gaps increase,fictional,scenario delta over validated 2026 baseline,EA-06-05,exploratory,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
