state_id,scenario_id,scenario,horizon,archetype,baseline_dependency_id,dependency_domain,object_a,object_b,relationship_type,spatial_scale,current_fact,scenario_assumption,scenario_consequence,dependency_state,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
IDFD-A2075-IDB-026,A2075,Coordinated Prevention & Detection,2075,zoonotic,IDB-026,population/contact interface,EXT-ANIMAL-HOSTS,DID-010,frames_animal_human_opportunity,wildlife/domestic animal/exposure investigation,CURRENT FACT (2026 baseline): EXT-ANIMAL-HOSTS -> DID-010 is a frames_animal_human_opportunity interface at wildlife/domestic animal/exposure investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and institutionalized in selected interfaces; episodic opportunities remain possible. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: Selected zoonotic environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_routinized,IDFA-A2075-01,s13_cdc_rabies,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2075-IDB-033,A2075,Coordinated Prevention & Detection,2075,healthcare/AMR,IDB-033,infrastructure dependency,EXT-INFRASTRUCTURE,EXT-HEALTHCARE,supports_service_continuity,regional/generalized infrastructure,CURRENT FACT (2026 baseline): EXT-INFRASTRUCTURE -> EXT-HEALTHCARE is a supports_service_continuity interface at regional/generalized infrastructure; evidence is inferred.,"SCENARIO ASSUMPTION: Treatment resilience, cold-chain/storage continuity, laboratory capacity, energy, communications, and selected facility interfaces are adapted in a institutionalized in selected interfaces pattern without assuming universal performance. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: Selected healthcare/AMR environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_routinized,IDFA-A2075-05,phase3_energy_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2050-IDB-004,B2050,Networked but Uneven Adaptation,2050,vector-borne,IDB-004,ecological mediator,EXT-VECTOR-ECOLOGY,DID-001,frames_transmission_opportunity,county/habitat/program,CURRENT FACT (2026 baseline): EXT-VECTOR-ECOLOGY -> DID-001 is a frames_transmission_opportunity interface at county/habitat/program; evidence is inferred.,"SCENARIO ASSUMPTION: Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is emerging and selective in some nodes and limited in others. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: vector-borne dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",node_specific_dependency_mosaic,IDFA-B2050-01,phase12_vector_dependency_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2050-IDB-010,B2050,Networked but Uneven Adaptation,2050,waterborne/environmental,IDB-010,population/contact interface,ENV-001,DID-004,frames_exposure_opportunity,source/recreational-water/investigation,CURRENT FACT (2026 baseline): ENV-001 -> DID-004 is a frames_exposure_opportunity interface at source/recreational-water/investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is emerging and selective in some nodes and limited in others. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: waterborne/environmental dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",node_specific_dependency_mosaic,IDFA-B2050-01,s13_cdc_water_surv,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2050-IDB-013,B2050,Networked but Uneven Adaptation,2050,foodborne/enteric,IDB-013,food/freight interface,EXT-FOOD-PRODUCTION,EXT-FOOD-PROCESSING,connects_food_system,regional/agricultural/bulk generalized,CURRENT FACT (2026 baseline): EXT-FOOD-PRODUCTION -> EXT-FOOD-PROCESSING is a connects_food_system interface at regional/agricultural/bulk generalized; evidence is inferred.,"SCENARIO ASSUMPTION: Distributed mobility, freight, workplace, and settlement networks produce different interface pressures and investigation pathways; connectivity is emerging and selective but not uniform or equivalent to transmission. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: foodborne/enteric dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",node_specific_dependency_mosaic,IDFA-B2050-02,phase5_freight_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2050-IDB-020,B2050,Networked but Uneven Adaptation,2050,respiratory,IDB-020,mobility interface,EXT-MOBILITY,EXT-CONTACT-STRUCTURE,connects_contact_opportunity,county/place/generalized mobility,CURRENT FACT (2026 baseline): EXT-MOBILITY -> EXT-CONTACT-STRUCTURE is a connects_contact_opportunity interface at county/place/generalized mobility; evidence is inferred.,"SCENARIO ASSUMPTION: Distributed mobility, freight, workplace, and settlement networks produce different interface pressures and investigation pathways; connectivity is emerging and selective but not uniform or equivalent to transmission. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: respiratory dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",node_specific_dependency_mosaic,IDFA-B2050-02,phase11_mobility_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2050-IDB-026,B2050,Networked but Uneven Adaptation,2050,zoonotic,IDB-026,population/contact interface,EXT-ANIMAL-HOSTS,DID-010,frames_animal_human_opportunity,wildlife/domestic animal/exposure investigation,CURRENT FACT (2026 baseline): EXT-ANIMAL-HOSTS -> DID-010 is a frames_animal_human_opportunity interface at wildlife/domestic animal/exposure investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is emerging and selective in some nodes and limited in others. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: zoonotic dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",node_specific_dependency_mosaic,IDFA-B2050-01,s13_cdc_rabies,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2050-IDB-033,B2050,Networked but Uneven Adaptation,2050,healthcare/AMR,IDB-033,infrastructure dependency,EXT-INFRASTRUCTURE,EXT-HEALTHCARE,supports_service_continuity,regional/generalized infrastructure,CURRENT FACT (2026 baseline): EXT-INFRASTRUCTURE -> EXT-HEALTHCARE is a supports_service_continuity interface at regional/generalized infrastructure; evidence is inferred.,"SCENARIO ASSUMPTION: Treatment, cold chain, laboratory, energy, communications, and facility dependencies are buffered unevenly; local fallback capacity and maintenance practices remain emerging and selective. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: healthcare/AMR dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",node_specific_dependency_mosaic,IDFA-B2050-05,phase3_energy_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2075-IDB-004,B2075,Networked but Uneven Adaptation,2075,vector-borne,IDB-004,ecological mediator,EXT-VECTOR-ECOLOGY,DID-001,frames_transmission_opportunity,county/habitat/program,CURRENT FACT (2026 baseline): EXT-VECTOR-ECOLOGY -> DID-001 is a frames_transmission_opportunity interface at county/habitat/program; evidence is inferred.,"SCENARIO ASSUMPTION: Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is institutionalized in selected interfaces in some nodes and limited in others. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: vector-borne dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",durable_uneven_dependency_network,IDFA-B2075-01,phase12_vector_dependency_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2075-IDB-010,B2075,Networked but Uneven Adaptation,2075,waterborne/environmental,IDB-010,population/contact interface,ENV-001,DID-004,frames_exposure_opportunity,source/recreational-water/investigation,CURRENT FACT (2026 baseline): ENV-001 -> DID-004 is a frames_exposure_opportunity interface at source/recreational-water/investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is institutionalized in selected interfaces in some nodes and limited in others. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: waterborne/environmental dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",durable_uneven_dependency_network,IDFA-B2075-01,s13_cdc_water_surv,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2075-IDB-013,B2075,Networked but Uneven Adaptation,2075,foodborne/enteric,IDB-013,food/freight interface,EXT-FOOD-PRODUCTION,EXT-FOOD-PROCESSING,connects_food_system,regional/agricultural/bulk generalized,CURRENT FACT (2026 baseline): EXT-FOOD-PRODUCTION -> EXT-FOOD-PROCESSING is a connects_food_system interface at regional/agricultural/bulk generalized; evidence is inferred.,"SCENARIO ASSUMPTION: Distributed mobility, freight, workplace, and settlement networks produce different interface pressures and investigation pathways; connectivity is institutionalized in selected interfaces but not uniform or equivalent to transmission. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: foodborne/enteric dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",durable_uneven_dependency_network,IDFA-B2075-02,phase5_freight_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2075-IDB-020,B2075,Networked but Uneven Adaptation,2075,respiratory,IDB-020,mobility interface,EXT-MOBILITY,EXT-CONTACT-STRUCTURE,connects_contact_opportunity,county/place/generalized mobility,CURRENT FACT (2026 baseline): EXT-MOBILITY -> EXT-CONTACT-STRUCTURE is a connects_contact_opportunity interface at county/place/generalized mobility; evidence is inferred.,"SCENARIO ASSUMPTION: Distributed mobility, freight, workplace, and settlement networks produce different interface pressures and investigation pathways; connectivity is institutionalized in selected interfaces but not uniform or equivalent to transmission. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: respiratory dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",durable_uneven_dependency_network,IDFA-B2075-02,phase11_mobility_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2075-IDB-026,B2075,Networked but Uneven Adaptation,2075,zoonotic,IDB-026,population/contact interface,EXT-ANIMAL-HOSTS,DID-010,frames_animal_human_opportunity,wildlife/domestic animal/exposure investigation,CURRENT FACT (2026 baseline): EXT-ANIMAL-HOSTS -> DID-010 is a frames_animal_human_opportunity interface at wildlife/domestic animal/exposure investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is institutionalized in selected interfaces in some nodes and limited in others. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: zoonotic dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",durable_uneven_dependency_network,IDFA-B2075-01,s13_cdc_rabies,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-B2075-IDB-033,B2075,Networked but Uneven Adaptation,2075,healthcare/AMR,IDB-033,infrastructure dependency,EXT-INFRASTRUCTURE,EXT-HEALTHCARE,supports_service_continuity,regional/generalized infrastructure,CURRENT FACT (2026 baseline): EXT-INFRASTRUCTURE -> EXT-HEALTHCARE is a supports_service_continuity interface at regional/generalized infrastructure; evidence is inferred.,"SCENARIO ASSUMPTION: Treatment, cold chain, laboratory, energy, communications, and facility dependencies are buffered unevenly; local fallback capacity and maintenance practices remain institutionalized in selected interfaces. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: healthcare/AMR dependencies are handled differently by node and institution; fallback paths coexist with coverage differences, reporting variation, and negotiation friction. Dependency change is not a disease outcome, and no local or individual inference is made.",durable_uneven_dependency_network,IDFA-B2075-05,phase3_energy_context,high,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-C2050-IDB-004,C2050,Higher Transmission Opportunity / Response Strain,2050,vector-borne,IDB-004,ecological mediator,EXT-VECTOR-ECOLOGY,DID-001,frames_transmission_opportunity,county/habitat/program,CURRENT FACT (2026 baseline): EXT-VECTOR-ECOLOGY -> DID-001 is a frames_transmission_opportunity interface at county/habitat/program; evidence is inferred.,"SCENARIO ASSUMPTION: Warmer and more variable conditions, flooding/runoff contrasts, water-system interruptions, host interfaces, and developed-edge maintenance gaps create more permissive opportunity in selected systems; this pressure is emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","SCENARIO CONSEQUENCE: Selected vector-borne dependencies become harder to coordinate under environmental, mobility, or infrastructure pressure, while capable local interfaces persist. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_strained,IDFA-C2050-01,phase12_vector_dependency_context,exploratory,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-C2050-IDB-010,C2050,Higher Transmission Opportunity / Response Strain,2050,waterborne/environmental,IDB-010,population/contact interface,ENV-001,DID-004,frames_exposure_opportunity,source/recreational-water/investigation,CURRENT FACT (2026 baseline): ENV-001 -> DID-004 is a frames_exposure_opportunity interface at source/recreational-water/investigation; evidence is documented.,"SCENARIO ASSUMPTION: Warmer and more variable conditions, flooding/runoff contrasts, water-system interruptions, host interfaces, and developed-edge maintenance gaps create more permissive opportunity in selected systems; this pressure is emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","SCENARIO CONSEQUENCE: Selected waterborne/environmental dependencies become harder to coordinate under environmental, mobility, or infrastructure pressure, while capable local interfaces persist. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_strained,IDFA-C2050-01,s13_cdc_water_surv,exploratory,high,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
