assumption_id,scenario_id,scenario,horizon,domain,assumption,evidence_basis,source_id,uncertainty,reality_status,canon_status,classification,notes
GSA-A2075-03,A2075,Integrated Basin Governance,2075,adaptive_management,"Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-014,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-04,A2075,Integrated Basin Governance,2075,binational_and_tribal,"Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-012,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-05,A2075,Integrated Basin Governance,2075,funding,"Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-008,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-06,A2075,Integrated Basin Governance,2075,public_private,"Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-07,A2075,Integrated Basin Governance,2075,ecological_infrastructure,"Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-009,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-08,A2075,Integrated Basin Governance,2075,technology_and_learning,"Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-004,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-01,B2050,Federated / Networked Governance,2050,standards_and_agreements,"Issue-specific agreements, common standards, and shared-data practices expand without a single regional data owner or government. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-018,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-02,B2050,Federated / Networked Governance,2050,distributed_stewardship,"Observation, reporting, and analysis remain distributed among agencies, municipalities, tribes, and operators, with uneven interoperability. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-005,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-03,B2050,Federated / Networked Governance,2050,domain_networks,"Water, nutrients, ecology, energy, freight, health, and hazards coordinate through overlapping networks whose coverage differs by domain. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-017,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-04,B2050,Federated / Networked Governance,2050,binational_and_tribal,"Selective cross-border and nation-specific participation expands through agreements and consultation, while sovereign authority remains distinct. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-015,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-05,B2050,Federated / Networked Governance,2050,mixed_mechanisms,"Voluntary programs, mandatory requirements, market structures, and operator practices coexist with domain-specific handoffs. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-06,B2050,Federated / Networked Governance,2050,operator_continuity,"Public and private operators improve continuity information and fallback arrangements without collapsing regulation, operation, or ownership. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-07,B2050,Federated / Networked Governance,2050,redundancy_and_friction,"Institutional redundancy provides alternative paths but also creates duplication, negotiation costs, structural friction, and incompatible interpretations. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-018,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2050-08,B2050,Federated / Networked Governance,2050,adaptive_review,"Adaptive review is durable in some domains and episodic in others because capacity, funding, and local priorities remain uneven. This is the B scenario's intermediate 2050 trajectory, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-009,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-01,B2075,Federated / Networked Governance,2075,standards_and_agreements,"Issue-specific agreements, common standards, and shared-data practices expand without a single regional data owner or government. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-018,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-02,B2075,Federated / Networked Governance,2075,distributed_stewardship,"Observation, reporting, and analysis remain distributed among agencies, municipalities, tribes, and operators, with uneven interoperability. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-005,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-03,B2075,Federated / Networked Governance,2075,domain_networks,"Water, nutrients, ecology, energy, freight, health, and hazards coordinate through overlapping networks whose coverage differs by domain. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-017,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-04,B2075,Federated / Networked Governance,2075,binational_and_tribal,"Selective cross-border and nation-specific participation expands through agreements and consultation, while sovereign authority remains distinct. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-015,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-05,B2075,Federated / Networked Governance,2075,mixed_mechanisms,"Voluntary programs, mandatory requirements, market structures, and operator practices coexist with domain-specific handoffs. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-06,B2075,Federated / Networked Governance,2075,operator_continuity,"Public and private operators improve continuity information and fallback arrangements without collapsing regulation, operation, or ownership. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-07,B2075,Federated / Networked Governance,2075,redundancy_and_friction,"Institutional redundancy provides alternative paths but also creates duplication, negotiation costs, structural friction, and incompatible interpretations. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-018,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-B2075-08,B2075,Federated / Networked Governance,2075,adaptive_review,"Adaptive review is durable in some domains and episodic in others because capacity, funding, and local priorities remain uneven. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","polycentric governance literature, Great Lakes coordination precedent, and explicit scenario construction",GFS-009,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-01,C2050,Fragmented / Contested Governance,2050,seams,"Environmental, infrastructure, and climate pressures make jurisdictional seams more consequential while governments and capable institutions continue to operate. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-017,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-02,C2050,Fragmented / Contested Governance,2050,data_divergence,"Data standards, access rules, and model lineages diverge across selected jurisdictions and operators. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-005,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-03,C2050,Fragmented / Contested Governance,2050,funding,"Funding and maintenance for cross-system adaptation become uneven, with durable projects in some places and deferred interfaces in others. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-008,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-04,C2050,Fragmented / Contested Governance,2050,public_private,"Public/private coordination becomes harder where reporting, liability, continuity, or maintenance expectations do not align. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-05,C2050,Fragmented / Contested Governance,2050,binational_and_tribal,"Cross-border decisions and some consultation pathways slow or become selective; no treaty amendment, sovereignty change, or new jurisdiction is assumed. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-013,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-06,C2050,Fragmented / Contested Governance,2050,monitoring_to_action,"Monitoring remains strong in selected institutions but is less consistently connected to shared decisions, funding, or enforcement. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-006,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-07,C2050,Fragmented / Contested Governance,2050,compound_stress,"Compound environmental and infrastructure stresses increase decision latency and responsibility misalignment at institutional seams. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-009,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2050-08,C2050,Fragmented / Contested Governance,2050,institutional_continuity,"Highly capable individual institutions and local programs persist even as basin-wide coordination becomes less coherent; collapse is not assumed. This is the C scenario's intermediate 2050 trajectory, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-010,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-01,C2075,Fragmented / Contested Governance,2075,seams,"Environmental, infrastructure, and climate pressures make jurisdictional seams more consequential while governments and capable institutions continue to operate. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-017,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-02,C2075,Fragmented / Contested Governance,2075,data_divergence,"Data standards, access rules, and model lineages diverge across selected jurisdictions and operators. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-005,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-03,C2075,Fragmented / Contested Governance,2075,funding,"Funding and maintenance for cross-system adaptation become uneven, with durable projects in some places and deferred interfaces in others. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-008,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-04,C2075,Fragmented / Contested Governance,2075,public_private,"Public/private coordination becomes harder where reporting, liability, continuity, or maintenance expectations do not align. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-05,C2075,Fragmented / Contested Governance,2075,binational_and_tribal,"Cross-border decisions and some consultation pathways slow or become selective; no treaty amendment, sovereignty change, or new jurisdiction is assumed. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-013,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-06,C2075,Fragmented / Contested Governance,2075,monitoring_to_action,"Monitoring remains strong in selected institutions but is less consistently connected to shared decisions, funding, or enforcement. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-006,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-07,C2075,Fragmented / Contested Governance,2075,compound_stress,"Compound environmental and infrastructure stresses increase decision latency and responsibility misalignment at institutional seams. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-009,high,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-C2075-08,C2075,Fragmented / Contested Governance,2075,institutional_continuity,"Highly capable individual institutions and local programs persist even as basin-wide coordination becomes less coherent; collapse is not assumed. By 2075, this condition is treated as a entrenched scenario state, not a legal forecast.","institutional-stress logic, adaptive-capacity literature, and explicit scenario construction",GFS-010,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
