state_id,scenario_id,scenario,horizon,baseline_uncertainty_id,category,subject_id,current_fact,scenario_assumption,uncertainty_state,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
VECUNCSTATE-A2075-008,A2075,Managed Ecological Adaptation,2075,VUNC-008,pathogen_health_boundary,VEC-019,"CURRENT FACT (2026 baseline): A positive mosquito pool or tick pathogen record is not a human case, infection, clinical disease, or local transmission proof.","SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-01,VFS-023,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-009,A2075,Managed Ecological Adaptation,2075,VUNC-009,case_geography,VEC-020,CURRENT FACT (2026 baseline): Human case county-of-residence data are not necessarily exposure or infection location.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-01,VFS-024,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-010,A2075,Managed Ecological Adaptation,2075,VUNC-010,held_geometry,VEC-008,CURRENT FACT (2026 baseline): Great Black Swamp remains C — HOLD / noncanonical and is not used as a vector habitat polygon.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; Great Black Swamp remains C — HOLD / noncanonical; no future vector habitat polygon is derived from the held geometry.",VEFA-A2075-03,VFS-015,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-001,B2050,Heterogeneous Adaptive Basin,2050,VUNC-001,presence_vs_abundance,VEC-001,CURRENT FACT (2026 baseline): Ohio presence and habitat documentation do not quantify local abundance.,"SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-01,VFS-001,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-002,B2050,Heterogeneous Adaptive Basin,2050,VUNC-002,study_generalization,VEC-004,CURRENT FACT (2026 baseline): Wooster and Michigan study findings are not a Western Basin-wide range or abundance estimate.,"SCENARIO ASSUMPTION: Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-03,VFS-003,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-003,B2050,Heterogeneous Adaptive Basin,2050,VUNC-003,tick_no_records,VEC-006,CURRENT FACT (2026 baseline): CDC no-record county status is not evidence of tick absence.,"SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-01,VFS-022,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-004,B2050,Heterogeneous Adaptive Basin,2050,VUNC-004,county_scale,VEC-006,CURRENT FACT (2026 baseline): CDC county status does not resolve precise local distribution within a county.,"SCENARIO ASSUMPTION: Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-03,VFS-022,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-005,B2050,Heterogeneous Adaptive Basin,2050,VUNC-005,mosquito_effort,VEC-015,CURRENT FACT (2026 baseline): Ohio pooled counts do not provide comparable county-level trap effort or species composition.,"SCENARIO ASSUMPTION: Surveillance remains functional but uneven across programs, habitats, methods, and jurisdictions; detections can expand in some places without establishing a comparable abundance measure. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-04,VFS-021,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-006,B2050,Heterogeneous Adaptive Basin,2050,VUNC-006,program_coverage,VEC-016,"CURRENT FACT (2026 baseline): Michigan surveillance totals reflect participating jurisdictions and program methods, not uniform statewide coverage.","SCENARIO ASSUMPTION: Surveillance remains functional but uneven across programs, habitats, methods, and jurisdictions; detections can expand in some places without establishing a comparable abundance measure. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-04,VFS-025,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-007,B2050,Heterogeneous Adaptive Basin,2050,VUNC-007,state_effort,VEC-017,CURRENT FACT (2026 baseline): Indiana 2026 positive-county summary does not report comparable sampling effort or species-level counts.,"SCENARIO ASSUMPTION: Surveillance remains functional but uneven across programs, habitats, methods, and jurisdictions; detections can expand in some places without establishing a comparable abundance measure. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-04,VFS-026,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-008,B2050,Heterogeneous Adaptive Basin,2050,VUNC-008,pathogen_health_boundary,VEC-019,"CURRENT FACT (2026 baseline): A positive mosquito pool or tick pathogen record is not a human case, infection, clinical disease, or local transmission proof.","SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-01,VFS-023,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-009,B2050,Heterogeneous Adaptive Basin,2050,VUNC-009,case_geography,VEC-020,CURRENT FACT (2026 baseline): Human case county-of-residence data are not necessarily exposure or infection location.,"SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged,VEFA-B2050-01,VFS-024,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2050-010,B2050,Heterogeneous Adaptive Basin,2050,VUNC-010,held_geometry,VEC-008,CURRENT FACT (2026 baseline): Great Black Swamp remains C — HOLD / noncanonical and is not used as a vector habitat polygon.,"SCENARIO ASSUMPTION: Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast. local differences are emerging; Great Black Swamp remains C — HOLD / noncanonical; no future vector habitat polygon is derived from the held geometry.,VEFA-B2050-03,VFS-015,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-B2075-001,B2075,Heterogeneous Adaptive Basin,2075,VUNC-001,presence_vs_abundance,VEC-001,CURRENT FACT (2026 baseline): Ohio presence and habitat documentation do not quantify local abundance.,"SCENARIO ASSUMPTION: Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast. local differences are durable; uncertainty remains spatially and programmatically heterogeneous; local differences are preserved rather than averaged",VEFA-B2075-01,VFS-001,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
