state_id,scenario_id,scenario_family,horizon,technology_family,baseline_2026_status,baseline_2026_relevance,capability_state,maturity_state,adoption_state,infrastructure_state,interoperability_state,governance_state,trust_legitimacy_state,cybersecurity_state,workforce_state,energy_compute_material_state,privacy_surveillance_state,uncertainty,evidence_basis,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TFS-A2075-03,A2075,Coordinated Technological Adaptation,2075,CYBERSECURITY / DIGITAL RESILIENCE,commercially emerging; established,current; emerging,"defensive continuity, authentication, recovery, and incident communication is available in selected high-value interfaces, with human and institutional review retained.",mature capability in selected interoperable interfaces,broad but still selective adoption with residual gaps,maintained and redundant infrastructure in selected connected systems,mature interoperability where institutions sustain common rules,"Auditable governance, role clarity, and maintenance requirements broadly keep pace in selected interfaces.",legitimacy is maintained through auditable use and visible recourse,defensive transition and continuity practices are mature in selected systems,workforce and supply-chain institutions support sustained maintenance with friction,Energy/compute/material requirements remain explicit: workforce and supply-chain institutions support sustained maintenance with friction,"Privacy and surveillance boundaries are explicit; trusted use remains conditional on consent, purpose, and recourse.","Residual uncertainty remains around asset inventories, legacy interfaces, workforce, coordination, and maintenance; 2075 uncertainty is wider even where maturity is higher.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-A2075-01,EXT-CISA-CPG,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-A2075-04,A2075,Coordinated Technological Adaptation,2075,ADVANCED ENERGY,commercially emerging; demonstration / pilot; research-stage,emerging; speculative,"storage, distributed energy, advanced nuclear, hydrogen, and long-horizon options is available in selected high-value interfaces, with human and institutional review retained.",mature capability in selected interoperable interfaces,broad but still selective adoption with residual gaps,maintained and redundant infrastructure in selected connected systems,mature interoperability where institutions sustain common rules,"Auditable governance, role clarity, and maintenance requirements broadly keep pace in selected interfaces.",legitimacy is maintained through auditable use and visible recourse,defensive transition and continuity practices are mature in selected systems,workforce and supply-chain institutions support sustained maintenance with friction,Energy/compute/material requirements remain explicit: workforce and supply-chain institutions support sustained maintenance with friction,"Privacy and surveillance boundaries are explicit; trusted use remains conditional on consent, purpose, and recourse.","Residual uncertainty remains around siting, regulation, materials, water, interconnection, economics, and public legitimacy; 2075 uncertainty is wider even where maturity is higher.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-A2075-01,EXT-DOE-ENERGY-STORAGE,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-A2075-05,A2075,Coordinated Technological Adaptation,2075,ADVANCED MATERIALS / MANUFACTURING,commercially emerging; established,emerging,"advanced process control, materials qualification, circularity, and industrial automation is available in selected high-value interfaces, with human and institutional review retained.",mature capability in selected interoperable interfaces,broad but still selective adoption with residual gaps,maintained and redundant infrastructure in selected connected systems,mature interoperability where institutions sustain common rules,"Auditable governance, role clarity, and maintenance requirements broadly keep pace in selected interfaces.",legitimacy is maintained through auditable use and visible recourse,defensive transition and continuity practices are mature in selected systems,workforce and supply-chain institutions support sustained maintenance with friction,Energy/compute/material requirements remain explicit: workforce and supply-chain institutions support sustained maintenance with friction,"Privacy and surveillance boundaries are explicit; trusted use remains conditional on consent, purpose, and recourse.","Residual uncertainty remains around feedstock, equipment, workforce, energy, quality, markets, and supply chains; 2075 uncertainty is wider even where maturity is higher.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-A2075-01,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-A2075-06,A2075,Coordinated Technological Adaptation,2075,QUANTUM TECHNOLOGIES,research-stage,speculative,"bounded sensing, timing, cryptographic transition, and niche compute possibilities is available in selected high-value interfaces, with human and institutional review retained.",mature capability in selected interoperable interfaces,broad but still selective adoption with residual gaps,maintained and redundant infrastructure in selected connected systems,mature interoperability where institutions sustain common rules,"Auditable governance, role clarity, and maintenance requirements broadly keep pace in selected interfaces.",legitimacy is maintained through auditable use and visible recourse,defensive transition and continuity practices are mature in selected systems,workforce and supply-chain institutions support sustained maintenance with friction,Energy/compute/material requirements remain explicit: workforce and supply-chain institutions support sustained maintenance with friction,"Privacy and surveillance boundaries are explicit; trusted use remains conditional on consent, purpose, and recourse.","Residual uncertainty remains around error correction, calibration, useful advantage, cost, access, workforce, and integration; 2075 uncertainty is wider even where maturity is higher.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-A2075-01,EXT-NIST-QIS,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-A2075-07,A2075,Coordinated Technological Adaptation,2075,BIOTECHNOLOGY / GENETIC ENGINEERING,commercially emerging,emerging; speculative,"diagnostics, molecular monitoring, biomanufacturing, and One Health interfaces is available in selected high-value interfaces, with human and institutional review retained.",mature capability in selected interoperable interfaces,broad but still selective adoption with residual gaps,maintained and redundant infrastructure in selected connected systems,mature interoperability where institutions sustain common rules,"Auditable governance, role clarity, and maintenance requirements broadly keep pace in selected interfaces.",legitimacy is maintained through auditable use and visible recourse,defensive transition and continuity practices are mature in selected systems,workforce and supply-chain institutions support sustained maintenance with friction,Energy/compute/material requirements remain explicit: workforce and supply-chain institutions support sustained maintenance with friction,"Privacy and surveillance boundaries are explicit; trusted use remains conditional on consent, purpose, and recourse.","Residual uncertainty remains around sampling, laboratory capacity, attribution, governance, privacy, energy, water, and communication; 2075 uncertainty is wider even where maturity is higher.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-A2075-01,EXT-CDC-AMD,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-A2075-08,A2075,Coordinated Technological Adaptation,2075,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,established,current,"data stewardship, privacy, provenance, accountable access, and retention is available in selected high-value interfaces, with human and institutional review retained.",mature capability in selected interoperable interfaces,broad but still selective adoption with residual gaps,maintained and redundant infrastructure in selected connected systems,mature interoperability where institutions sustain common rules,"Auditable governance, role clarity, and maintenance requirements broadly keep pace in selected interfaces.",legitimacy is maintained through auditable use and visible recourse,defensive transition and continuity practices are mature in selected systems,workforce and supply-chain institutions support sustained maintenance with friction,Energy/compute/material requirements remain explicit: workforce and supply-chain institutions support sustained maintenance with friction,"Privacy and surveillance boundaries are explicit; trusted use remains conditional on consent, purpose, and recourse.","Residual uncertainty remains around legal basis, consent, interoperability, public trust, and institutional authority; 2075 uncertainty is wider even where maturity is higher.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-A2075-01,EXT-NIST-PRIVACY,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-01,B2050,Uneven Networked Modernization,2050,AI / ADVANCED COMPUTE / AUTOMATION,commercially emerging,emerging,"decision support, optimization, and bounded automation is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and human review, data quality, compute, energy, and operator trust.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-02,B2050,Uneven Networked Modernization,2050,ADVANCED SENSING / AUTONOMOUS SYSTEMS,established,current; emerging,"networked measurement, inspection, and autonomous observation is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and calibration, coverage, energy, communications, retrieval, and interpretation.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-NOAA-IOOS,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-03,B2050,Uneven Networked Modernization,2050,CYBERSECURITY / DIGITAL RESILIENCE,commercially emerging; established,current; emerging,"defensive continuity, authentication, recovery, and incident communication is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and asset inventories, legacy interfaces, workforce, coordination, and maintenance.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-CISA-CPG,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-04,B2050,Uneven Networked Modernization,2050,ADVANCED ENERGY,commercially emerging; demonstration / pilot; research-stage,emerging; speculative,"storage, distributed energy, advanced nuclear, hydrogen, and long-horizon options is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and siting, regulation, materials, water, interconnection, economics, and public legitimacy.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-DOE-ENERGY-STORAGE,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-05,B2050,Uneven Networked Modernization,2050,ADVANCED MATERIALS / MANUFACTURING,commercially emerging; established,emerging,"advanced process control, materials qualification, circularity, and industrial automation is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and feedstock, equipment, workforce, energy, quality, markets, and supply chains.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-06,B2050,Uneven Networked Modernization,2050,QUANTUM TECHNOLOGIES,research-stage,speculative,"bounded sensing, timing, cryptographic transition, and niche compute possibilities is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and error correction, calibration, useful advantage, cost, access, workforce, and integration.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-NIST-QIS,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-07,B2050,Uneven Networked Modernization,2050,BIOTECHNOLOGY / GENETIC ENGINEERING,commercially emerging,emerging; speculative,"diagnostics, molecular monitoring, biomanufacturing, and One Health interfaces is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and sampling, laboratory capacity, attribution, governance, privacy, energy, water, and communication.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-CDC-AMD,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
TFS-B2050-08,B2050,Uneven Networked Modernization,2050,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,established,current,"data stewardship, privacy, provenance, accountable access, and retention is available in strong nodes but translation, adoption, and maintenance differ across the network.",advanced capability is available but maturity varies by node and family,"adoption is patchy across municipalities, industry, and institutions",infrastructure is adequate in strong nodes and mismatched elsewhere,mixed standards and bridges connect but do not unify systems,Governance is negotiated by domain; standards and oversight are inconsistent across nodes and operators.,public trust is mixed and use-specific,defensive resilience is inconsistent across connected organizations,workforce and supply-chain capability is uneven,Energy/compute/material requirements remain explicit: workforce and supply-chain capability is uneven,"Privacy and surveillance practices vary by institution, purpose, and public trust; interoperability is partial.","Uncertainty is high around uneven access, node-to-node transfer, and legal basis, consent, interoperability, public trust, and institutional authority.","Phase 15A accepted/frozen baseline plus explicit scenario construction; this is a scenario state, not a forecast.",TFA-B2050-01,EXT-NIST-PRIVACY,scenario,scenario,scenario_assumption,Capability is not deployment; deployment is not adoption; adoption is not benefit. No basin-specific deployment is inferred from national or general evidence.
