state_id,scenario_id,scenario,horizon,archetype,baseline_surveillance_ids,surveillance_capacity_state,detection_latency_state,coverage_and_method_state,observation_interface,reported_observation_boundary,current_fact,scenario_assumption,scenario_consequence,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
IDFS-A2075-zoonotic,A2075,Coordinated Prevention & Detection,2075,zoonotic,SUR-010,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency is routinely shorter in selected priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for zoonotic retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for zoonotic; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2075-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2075-healthcareAMR,A2075,Coordinated Prevention & Detection,2075,healthcare/AMR,SUR-011;SUR-012,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency is routinely shorter in selected priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for healthcare/AMR retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for healthcare/AMR; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2075-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-B2050-vectorborne,B2050,Networked but Uneven Adaptation,2050,vector-borne,SUR-001;SUR-002;SUR-003,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency varies by node and method,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for vector-borne retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for vector-borne; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2050-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2050-waterborneenvironmental,B2050,Networked but Uneven Adaptation,2050,waterborne/environmental,SUR-004;SUR-005,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency varies by node and method,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for waterborne/environmental retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for waterborne/environmental; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2050-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2050-foodborneenteric,B2050,Networked but Uneven Adaptation,2050,foodborne/enteric,SUR-006;SUR-007,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency varies by node and method,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for foodborne/enteric retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for foodborne/enteric; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2050-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2050-respiratory,B2050,Networked but Uneven Adaptation,2050,respiratory,SUR-008;SUR-009,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency varies by node and method,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for respiratory retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for respiratory; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2050-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2050-zoonotic,B2050,Networked but Uneven Adaptation,2050,zoonotic,SUR-010,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency varies by node and method,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for zoonotic retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for zoonotic; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2050-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2050-healthcareAMR,B2050,Networked but Uneven Adaptation,2050,healthcare/AMR,SUR-011;SUR-012,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency varies by node and method,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for healthcare/AMR retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for healthcare/AMR; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2050-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2075-vectorborne,B2075,Networked but Uneven Adaptation,2075,vector-borne,SUR-001;SUR-002;SUR-003,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency remains persistently uneven across the network,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for vector-borne retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for vector-borne; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and institutionalized in selected interfaces across nodes. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2075-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2075-waterborneenvironmental,B2075,Networked but Uneven Adaptation,2075,waterborne/environmental,SUR-004;SUR-005,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency remains persistently uneven across the network,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for waterborne/environmental retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for waterborne/environmental; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and institutionalized in selected interfaces across nodes. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2075-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
IDFS-B2075-foodborneenteric,B2075,Networked but Uneven Adaptation,2075,foodborne/enteric,SUR-006;SUR-007,"surveillance coverage is heterogeneous across jurisdictions, habitats, laboratories, wastewater programs, veterinary systems, and healthcare settings",detection latency remains persistently uneven across the network,"multiple methods and denominators remain non-comparable, with strong coverage in some nodes and gaps in others","Observation interfaces for foodborne/enteric retain native program, laboratory, sewershed, facility, animal, county, and regional scales.","reported observations differ with effort, participation, testing, and reporting practice rather than tracking one underlying disease state",CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for foodborne/enteric; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and institutionalized in selected interfaces across nodes. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","SCENARIO CONSEQUENCE: 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence.",IDFA-B2075-03,s13_nndss_about,high,high,fictional,scenario,scenario_assumption,Surveillance sensitivity is not disease intensity; uneven coverage is not evidence of absence or prevalence. More detection can produce more reported observations without implying more underlying disease.
