assumption_id,scenario_id,scenario_family,horizon,axis,assumption,evidence_basis,source_or_basis,uncertainty,reality_status,canon_status,classification,numeric_future_value_adopted,notes
TFA-B2050-01,B2050,Uneven Networked Modernization,2050,technology_maturity,advanced capability is available but maturity varies by node and family,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",EXT-NIST-QIS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-02,B2050,Uneven Networked Modernization,2050,regional_adoption,"adoption is patchy across municipalities, industry, and institutions","Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-03,B2050,Uneven Networked Modernization,2050,infrastructure_adequacy,infrastructure is adequate in strong nodes and mismatched elsewhere,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",REG-PHASE3B-ENERGY-DEPENDENCIES,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-04,B2050,Uneven Networked Modernization,2050,interoperability,mixed standards and bridges connect but do not unify systems,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-05,B2050,Uneven Networked Modernization,2050,governance_capacity,governance is fragmented by domain and institution,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",REG-PHASE10A-GOVERNANCE,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-06,B2050,Uneven Networked Modernization,2050,trust_legitimacy,public trust is mixed and use-specific,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",EXT-NIST-PRIVACY,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-07,B2050,Uneven Networked Modernization,2050,cyber_digital_resilience,defensive resilience is inconsistent across connected organizations,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",EXT-CISA-CPG,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2050-08,B2050,Uneven Networked Modernization,2050,workforce_energy_material_capacity,workforce and supply-chain capability is uneven,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity.",EXT-NIST-MANUFACTURING,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-01,B2075,Uneven Networked Modernization,2075,technology_maturity,mature pockets coexist with uneven capability and standards,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,EXT-NIST-QIS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-02,B2075,Uneven Networked Modernization,2075,regional_adoption,strong nodes remain connected through weaker surrounding systems,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-03,B2075,Uneven Networked Modernization,2075,infrastructure_adequacy,maintenance and fallback capacity remain uneven across networks,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,REG-PHASE3B-ENERGY-DEPENDENCIES,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-04,B2075,Uneven Networked Modernization,2075,interoperability,interoperability persists through negotiated adapters and partial translation,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-05,B2075,Uneven Networked Modernization,2075,governance_capacity,capacity is durable in some nodes and negotiated across others,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,REG-PHASE10A-GOVERNANCE,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-06,B2075,Uneven Networked Modernization,2075,trust_legitimacy,"legitimacy varies with performance, access, and local stewardship",Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,EXT-NIST-PRIVACY,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-07,B2075,Uneven Networked Modernization,2075,cyber_digital_resilience,strong defensive nodes coexist with weaker legacy interfaces,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,EXT-CISA-CPG,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-B2075-08,B2075,Uneven Networked Modernization,2075,workforce_energy_material_capacity,maintenance and access remain differentiated by node and sector,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.,EXT-NIST-MANUFACTURING,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-01,C2050,High Capability / High Friction Basin,2050,technology_maturity,high capability is present in selected systems while governance lags,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",EXT-NIST-QIS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-02,C2050,High Capability / High Friction Basin,2050,regional_adoption,"adoption is selective, unequal, and sometimes accelerated without integration","Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-03,C2050,High Capability / High Friction Basin,2050,infrastructure_adequacy,infrastructure mismatch creates brittle interfaces without assumed collapse,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",REG-PHASE3B-ENERGY-DEPENDENCIES,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-04,C2050,High Capability / High Friction Basin,2050,interoperability,weak interoperability and incompatible data lineages increase friction,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-05,C2050,High Capability / High Friction Basin,2050,governance_capacity,oversight is delayed or fragmented relative to capability,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",REG-PHASE10A-GOVERNANCE,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-06,C2050,High Capability / High Friction Basin,2050,trust_legitimacy,institutional mistrust and contested data use limit legitimacy,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",EXT-NIST-PRIVACY,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-07,C2050,High Capability / High Friction Basin,2050,cyber_digital_resilience,cyber stress and uneven defensive continuity expose coupled dependencies,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",EXT-CISA-CPG,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2050-08,C2050,High Capability / High Friction Basin,2050,workforce_energy_material_capacity,"workforce, energy, compute, and materials bottlenecks are unevenly managed","Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a bounded high-capability trajectory with substantial technical options but high friction, cyber stress, and delayed governance at selected seams.",EXT-NIST-MANUFACTURING,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-01,C2075,High Capability / High Friction Basin,2075,technology_maturity,powerful technical capability persists amid wider structural uncertainty,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",EXT-NIST-QIS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-02,C2075,High Capability / High Friction Basin,2075,regional_adoption,access remains unequal and concentrated in capable nodes,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-03,C2075,High Capability / High Friction Basin,2075,infrastructure_adequacy,"technical capacity is constrained by legacy, maintenance, and access mismatches","Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",REG-PHASE3B-ENERGY-DEPENDENCIES,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-04,C2075,High Capability / High Friction Basin,2075,interoperability,fragmented standards remain a structural coupling constraint,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",REG-PHASE14B-ATLAS,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-05,C2075,High Capability / High Friction Basin,2075,governance_capacity,governance catches up unevenly and authority remains contested,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",REG-PHASE10A-GOVERNANCE,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-06,C2075,High Capability / High Friction Basin,2075,trust_legitimacy,legitimacy is episodic and dependent on local accountability,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",EXT-NIST-PRIVACY,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-07,C2075,High Capability / High Friction Basin,2075,cyber_digital_resilience,defensive capability is substantial but brittle across seams,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",EXT-CISA-CPG,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-C2075-08,C2075,High Capability / High Friction Basin,2075,workforce_energy_material_capacity,maintenance and supply-chain mismatch remain persistent constraints,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty state in which powerful technologies coexist with brittle dependencies, contested legitimacy, and fragmented oversight without assumed collapse.",EXT-NIST-MANUFACTURING,high,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
