state_id,scenario_id,scenario,horizon,actor_id,actor_name,actor_type,current_fact,scenario_assumption,scenario_consequence,future_role,change_type,authority_boundary,assumption_id,current_fact_source_id,source_id,reality_status,canon_status,notes
GAS-A2050-011,A2050,Integrated Basin Governance,2050,GA-019,International Joint Commission,binational_body,"CURRENT FACT (2026 baseline): Binational reference, advisory, investigative, and coordination functions under the Boundary Waters Treaty framework.","SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the International Joint Commission institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-03,s16_ijc,GFS-014,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-012,A2050,Integrated Basin Governance,2050,GA-020,U.S.–Canada Great Lakes Water Quality Agreement parties,binational_body,"CURRENT FACT (2026 baseline): Agreement framework for binational objectives, annex coordination, reporting, and implementation by responsible governments.","SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the U.S.–Canada Great Lakes Water Quality Agreement parties institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-04,s15_glwqa,GFS-012,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-013,A2050,Integrated Basin Governance,2050,GA-021,Great Lakes Indian Fish & Wildlife Commission,intertribal_body,"CURRENT FACT (2026 baseline): Intertribal natural-resource management, treaty-rights support, conservation enforcement support, legal/policy analysis, and public information.","SCENARIO ASSUMPTION: Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Great Lakes Indian Fish & Wildlife Commission institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",GLIFWC remains an intertribal participant; stronger or weaker consultation and data visibility are explored without assigning it sovereign status or new Western Basin jurisdiction.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-05,s17_glifwc,GFS-008,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-014,A2050,Integrated Basin Governance,2050,GA-022,Pokagon Band of Potawatomi Indians,tribal_sovereign,CURRENT FACT (2026 baseline): Federally recognized tribal government and potential consultation/resource-interest interface.,"SCENARIO ASSUMPTION: Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Pokagon Band of Potawatomi Indians institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.","The nation remains a distinct sovereign actor; consultation, participation, or data partnership may vary by scenario without inventing territory, permit authority, or enforcement authority.",coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-06,s19_pokagon,GFS-007,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-015,A2050,Integrated Basin Governance,2050,GA-023,Little Traverse Bay Bands of Odawa Indians,tribal_sovereign,CURRENT FACT (2026 baseline): Nation-specific sovereign and treaty/resource-interest interface for consultation review.,"SCENARIO ASSUMPTION: Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Little Traverse Bay Bands of Odawa Indians institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.","The nation remains a distinct sovereign actor; consultation, participation, or data partnership may vary by scenario without inventing territory, permit authority, or enforcement authority.",coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-07,s20_ltbb,GFS-009,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-016,A2050,Integrated Basin Governance,2050,GA-024,Federal Energy Regulatory Commission,federal_agency,"CURRENT FACT (2026 baseline): Regulates interstate transmission and wholesale electricity, enforces requirements, oversees markets, and approves/oversees defined energy facilities.","SCENARIO ASSUMPTION: Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Federal Energy Regulatory Commission institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-08,s21_ferc,GFS-004,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-017,A2050,Integrated Basin Governance,2050,GA-026,PJM Interconnection,system_operator,"CURRENT FACT (2026 baseline): Operates the wholesale electricity market, manages high-voltage grid operations, coordinates movement of wholesale electricity, and plans regionally.","SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the PJM Interconnection institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-01,s24_pjm,GFS-006,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-018,A2050,Integrated Basin Governance,2050,GA-030,FirstEnergy / Toledo Edison,private_operator,CURRENT FACT (2026 baseline): Investor-owned electric utility ownership and operation context for generation/transmission/distribution subsidiaries.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the FirstEnergy / Toledo Edison institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.","The actor retains its current ownership/operation boundary while its reporting, continuity, and coordination interface changes under the scenario.",coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-02,s28_firstenergy,GFS-011,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-019,A2050,Integrated Basin Governance,2050,GA-035,Toledo-Lucas County Port Authority,regional_authority,"CURRENT FACT (2026 baseline): Public port-authority ownership, control, financing, development, and regional economic/transportation functions for authority facilities.","SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Toledo-Lucas County Port Authority institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-03,s32_port,GFS-014,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-020,A2050,Integrated Basin Governance,2050,GA-038,Lucas County,county_government,"CURRENT FACT (2026 baseline): County planning, coordination, public-service, and mitigation-partner context; precise delegated authority varies by program.","SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Lucas County institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-04,s35_fema_mitigation,GFS-012,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2075-001,A2075,Integrated Basin Governance,2075,GA-001,U.S. Environmental Protection Agency,federal_agency,"CURRENT FACT (2026 baseline): Federal environmental standards, program oversight, permitting/enforcement authorities in defined programs, monitoring, and funding/coordination roles.","SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","SCENARIO CONSEQUENCE: matured or diverged institutional state: the U.S. Environmental Protection Agency institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened_matured,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2075-01,s01_epa_sdwa,GFS-006,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2075-002,A2075,Integrated Basin Governance,2075,GA-002,Ohio Environmental Protection Agency,state_agency,"CURRENT FACT (2026 baseline): Ohio water, air, public-water, NPDES, and related environmental regulatory and monitoring programs.","SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","SCENARIO CONSEQUENCE: matured or diverged institutional state: the Ohio Environmental Protection Agency institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened_matured,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2075-02,s02_ohio_pws,GFS-011,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2075-003,A2075,Integrated Basin Governance,2075,GA-003,City of Toledo,municipal_government,"CURRENT FACT (2026 baseline): Municipal owner/authority for city services, including the public water system through its utility division.","SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","SCENARIO CONSEQUENCE: matured or diverged institutional state: the City of Toledo institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened_matured,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2075-03,s03_toledo_treatment,GFS-014,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2075-004,A2075,Integrated Basin Governance,2075,GA-004,City of Toledo Public Utilities — Water Treatment Division,public_utility,CURRENT FACT (2026 baseline): Operates and maintains the municipal surface-water treatment and distribution system and performs water-quality monitoring/reporting.,"SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","SCENARIO CONSEQUENCE: matured or diverged institutional state: the City of Toledo Public Utilities — Water Treatment Division institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.","The actor retains its current ownership/operation boundary while its reporting, continuity, and coordination interface changes under the scenario.",coordination_interface_strengthened_matured,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2075-04,s03_toledo_treatment,GFS-012,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
