state_id,scenario_id,scenario_family,horizon,system_id,technology_family,convergence_mechanism,state_direction,dependency_change,governance_effect,uncertainty,evidence_basis,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TSS-A2050-11,A2050,Coordinated Technological Adaptation,2050,SYS-POPULATION,AI / ADVANCED COMPUTE / AUTOMATION;PRIVACY / SURVEILLANCE / DATA GOVERNANCE;ADVANCED MATERIALS / MANUFACTURING,automation + data governance,redistributed,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Population / Settlement / Mobility; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-12,A2050,Coordinated Technological Adaptation,2050,SYS-VECTOR-ECOLOGY,ADVANCED SENSING / AUTONOMOUS SYSTEMS;BIOTECHNOLOGY / GENETIC ENGINEERING;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,sensing + genomic diagnostics,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Vector Ecology; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-13,A2050,Coordinated Technological Adaptation,2050,SYS-INFECTIOUS-DISEASE,BIOTECHNOLOGY / GENETIC ENGINEERING;ADVANCED SENSING / AUTONOMOUS SYSTEMS;CYBERSECURITY / DIGITAL RESILIENCE;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,genomic diagnostics + sensing + cyber + privacy,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Infectious Disease Systems; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2075-01,A2075,Coordinated Technological Adaptation,2075,SYS-WATER,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;CYBERSECURITY / DIGITAL RESILIENCE,AI + sensing + defensive cyber,more adaptive,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Water / Hydrology; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-02,A2075,Coordinated Technological Adaptation,2075,SYS-MATERIALS,ADVANCED MATERIALS / MANUFACTURING;AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED ENERGY,automation + advanced manufacturing + energy,strengthened,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Geology / Minerals / Strategic Materials; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-03,A2075,Coordinated Technological Adaptation,2075,SYS-ENERGY,ADVANCED ENERGY;AI / ADVANCED COMPUTE / AUTOMATION;CYBERSECURITY / DIGITAL RESILIENCE,AI + grid/storage + cyber,more adaptive,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Energy / Grid / Compute; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-04,A2075,Coordinated Technological Adaptation,2075,SYS-DATA,AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED SENSING / AUTONOMOUS SYSTEMS;PRIVACY / SURVEILLANCE / DATA GOVERNANCE;CYBERSECURITY / DIGITAL RESILIENCE,AI + sensing + privacy/data governance + PQC,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Data / Sensors / Observation & Decision Infrastructure; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-05,A2075,Coordinated Technological Adaptation,2075,SYS-FREIGHT,AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED MATERIALS / MANUFACTURING;CYBERSECURITY / DIGITAL RESILIENCE,automation + manufacturing + cyber,more automated,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Freight / Industry / Material Flows; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-06,A2075,Coordinated Technological Adaptation,2075,SYS-ECOLOGY,ADVANCED SENSING / AUTONOMOUS SYSTEMS;BIOTECHNOLOGY / GENETIC ENGINEERING;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,sensing + genomic diagnostics + data governance,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Ecology / Biodiversity; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-07,A2075,Coordinated Technological Adaptation,2075,SYS-EXPOSURE,ADVANCED SENSING / AUTONOMOUS SYSTEMS;BIOTECHNOLOGY / GENETIC ENGINEERING;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,sensing + genomic diagnostics + privacy,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Exposure / Environmental Health; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-08,A2075,Coordinated Technological Adaptation,2075,SYS-BIOGEOCHEMISTRY,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;BIOTECHNOLOGY / GENETIC ENGINEERING,AI + sensing + biotechnology,more adaptive,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Nutrients / Biogeochemistry; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-09,A2075,Coordinated Technological Adaptation,2075,SYS-CLIMATE,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED ENERGY,AI + sensing + advanced energy,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Climate / Natural Hazards; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-10,A2075,Coordinated Technological Adaptation,2075,SYS-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE;CYBERSECURITY / DIGITAL RESILIENCE;AI / ADVANCED COMPUTE / AUTOMATION,privacy/data governance + cyber + human-supervised AI,strengthened,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Governance / Jurisdiction; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-11,A2075,Coordinated Technological Adaptation,2075,SYS-POPULATION,AI / ADVANCED COMPUTE / AUTOMATION;PRIVACY / SURVEILLANCE / DATA GOVERNANCE;ADVANCED MATERIALS / MANUFACTURING,automation + data governance,redistributed,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Population / Settlement / Mobility; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-12,A2075,Coordinated Technological Adaptation,2075,SYS-VECTOR-ECOLOGY,ADVANCED SENSING / AUTONOMOUS SYSTEMS;BIOTECHNOLOGY / GENETIC ENGINEERING;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,sensing + genomic diagnostics,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Vector Ecology; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-A2075-13,A2075,Coordinated Technological Adaptation,2075,SYS-INFECTIOUS-DISEASE,BIOTECHNOLOGY / GENETIC ENGINEERING;ADVANCED SENSING / AUTONOMOUS SYSTEMS;CYBERSECURITY / DIGITAL RESILIENCE;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,genomic diagnostics + sensing + cyber + privacy,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2075 carries wider structural uncertainty; divergence is broader and no added precision is implied.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2075-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Infectious Disease Systems; state direction is not a score, forecast, causal estimate, or geographic deployment. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TSS-B2050-01,B2050,Uneven Networked Modernization,2050,SYS-WATER,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;CYBERSECURITY / DIGITAL RESILIENCE,AI + sensing + defensive cyber,redistributed,"Dependencies move across strong nodes, weaker surrounding systems, and negotiated interfaces; fallback paths coexist with duplication and friction.","Institutional and public trust varies by node; standards, authority, privacy, and communication remain domain-specific and nonuniform.",High uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-B2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Water / Hydrology; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TSS-B2050-02,B2050,Uneven Networked Modernization,2050,SYS-MATERIALS,ADVANCED MATERIALS / MANUFACTURING;AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED ENERGY,automation + advanced manufacturing + energy,redistributed,"Dependencies move across strong nodes, weaker surrounding systems, and negotiated interfaces; fallback paths coexist with duplication and friction.","Institutional and public trust varies by node; standards, authority, privacy, and communication remain domain-specific and nonuniform.",High uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-B2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Geology / Minerals / Strategic Materials; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TSS-B2050-03,B2050,Uneven Networked Modernization,2050,SYS-ENERGY,ADVANCED ENERGY;AI / ADVANCED COMPUTE / AUTOMATION;CYBERSECURITY / DIGITAL RESILIENCE,AI + grid/storage + cyber,redistributed,"Dependencies move across strong nodes, weaker surrounding systems, and negotiated interfaces; fallback paths coexist with duplication and friction.","Institutional and public trust varies by node; standards, authority, privacy, and communication remain domain-specific and nonuniform.",High uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-B2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Energy / Grid / Compute; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TSS-B2050-04,B2050,Uneven Networked Modernization,2050,SYS-DATA,AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED SENSING / AUTONOMOUS SYSTEMS;PRIVACY / SURVEILLANCE / DATA GOVERNANCE;CYBERSECURITY / DIGITAL RESILIENCE,AI + sensing + privacy/data governance + PQC,more fragmented,"Dependencies move across strong nodes, weaker surrounding systems, and negotiated interfaces; fallback paths coexist with duplication and friction.","Institutional and public trust varies by node; standards, authority, privacy, and communication remain domain-specific and nonuniform.",High uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-B2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Data / Sensors / Observation & Decision Infrastructure; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TSS-B2050-05,B2050,Uneven Networked Modernization,2050,SYS-FREIGHT,AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED MATERIALS / MANUFACTURING;CYBERSECURITY / DIGITAL RESILIENCE,automation + manufacturing + cyber,redistributed,"Dependencies move across strong nodes, weaker surrounding systems, and negotiated interfaces; fallback paths coexist with duplication and friction.","Institutional and public trust varies by node; standards, authority, privacy, and communication remain domain-specific and nonuniform.",High uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-B2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Freight / Industry / Material Flows; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
