state_id,scenario_id,scenario,horizon,baseline_object_id,baseline_association_id,habitat_relationship,vector_group,current_fact,future_suitability_state,habitat_opportunity_state,spatial_pattern,change_type,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
HABSTATE-003-A2075,A2075,Managed Ecological Adaptation,2075,VEC-008,HAB-011,wetland_standing_water,mosquito/tick interface,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: environmental opportunity is tracked through recurring adaptive review; this is potential opportunity, not observed future suitability.",longer-term monitoring routines document variability without creating a habitat surface,institutionalized but generalized basin interfaces,adaptive_review_routinized,VEFA-A2075-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-004-A2075,A2075,Managed Ecological Adaptation,2075,VEC-011,HAB-011,ditch_floodplain_water,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is constrained by routine maintenance in selected priority interfaces; this is potential opportunity, not observed future suitability.",recurring drainage and container maintenance limits persistent opportunity while episodic habitat remains possible,routine selected maintenance and adaptive review,managed_opportunity_routinized,VEFA-A2075-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-005-A2075,A2075,Managed Ecological Adaptation,2075,VEC-010,HAB-007,forest_edge_humidity,tick/mosquito,CURRENT FACT (2026 baseline): CDC describes questing and broad eastern distribution.,"SCENARIO SUITABILITY: selected humid-edge opportunity is incorporated into routine stewardship; this is potential opportunity, not observed future suitability.",mature edge review constrains some unmanaged conditions while ecological uncertainty remains,routine forest/edge stewardship interfaces,edge_stewardship_routinized,VEFA-A2075-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-006-A2075,A2075,Managed Ecological Adaptation,2075,VEC-012,HAB-012,host_ecology,mosquito/tick,CURRENT FACT (2026 baseline): Host-seeking and life-stage context are retained from CDC tick ecology sources.,"SCENARIO SUITABILITY: environmental opportunity is tracked through recurring adaptive review; this is potential opportunity, not observed future suitability.",longer-term monitoring routines document variability without creating a habitat surface,institutionalized but generalized basin interfaces,adaptive_review_routinized,VEFA-A2075-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-007-A2075,A2075,Managed Ecological Adaptation,2075,VEC-013,HAB-015,temperature_seasonality,mosquito/tick,CURRENT FACT (2026 baseline): OSU describes temperature-linked larval duration and overwintering/emergence context.,"SCENARIO SUITABILITY: environmental opportunity is tracked through recurring adaptive review; this is potential opportunity, not observed future suitability.",longer-term monitoring routines document variability without creating a habitat surface,institutionalized but generalized basin interfaces,adaptive_review_routinized,VEFA-A2075-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-008-A2075,A2075,Managed Ecological Adaptation,2075,VEC-014,HAB-011,precipitation_hydrology,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: environmental opportunity is tracked through recurring adaptive review; this is potential opportunity, not observed future suitability.",longer-term monitoring routines document variability without creating a habitat surface,institutionalized but generalized basin interfaces,adaptive_review_routinized,VEFA-A2075-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-001-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-009,HAB-003,urban_container_habitat,mosquito,CURRENT FACT (2026 baseline): Ohio and Indiana sources identify artificial/natural container habitats.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-02,VFS-005,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-002-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-001,HAB-001,catch_basin_stagnant_water,mosquito,CURRENT FACT (2026 baseline): Ohio source documents widespread presence and these breeding contexts.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-003-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-008,HAB-011,wetland_standing_water,mosquito/tick interface,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-01,VFS-014,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-004-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-011,HAB-011,ditch_floodplain_water,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-01,VFS-014,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-005-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-010,HAB-007,forest_edge_humidity,tick/mosquito,CURRENT FACT (2026 baseline): CDC describes questing and broad eastern distribution.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-03,VFS-008,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-006-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-012,HAB-012,host_ecology,mosquito/tick,CURRENT FACT (2026 baseline): Host-seeking and life-stage context are retained from CDC tick ecology sources.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-03,VFS-008,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-007-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-013,HAB-015,temperature_seasonality,mosquito/tick,CURRENT FACT (2026 baseline): OSU describes temperature-linked larval duration and overwintering/emergence context.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-008-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-014,HAB-011,precipitation_hydrology,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is habitat-specific and locally divergent; this is potential opportunity, not observed future suitability.","constrained, permissive, and episodic settings coexist","urban, wetland, agricultural, forest-edge, and suburban mosaic",local_mosaic_divergence,VEFA-B2050-01,VFS-014,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-001-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-009,HAB-003,urban_container_habitat,mosquito,CURRENT FACT (2026 baseline): Ohio and Indiana sources identify artificial/natural container habitats.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-02,VFS-005,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-002-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-001,HAB-001,catch_basin_stagnant_water,mosquito,CURRENT FACT (2026 baseline): Ohio source documents widespread presence and these breeding contexts.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-003-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-008,HAB-011,wetland_standing_water,mosquito/tick interface,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-01,VFS-014,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-004-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-011,HAB-011,ditch_floodplain_water,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-01,VFS-014,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-005-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-010,HAB-007,forest_edge_humidity,tick/mosquito,CURRENT FACT (2026 baseline): CDC describes questing and broad eastern distribution.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-03,VFS-008,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-006-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-012,HAB-012,host_ecology,mosquito/tick,CURRENT FACT (2026 baseline): Host-seeking and life-stage context are retained from CDC tick ecology sources.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-03,VFS-008,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-007-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-013,HAB-015,temperature_seasonality,mosquito/tick,CURRENT FACT (2026 baseline): OSU describes temperature-linked larval duration and overwintering/emergence context.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-01,VFS-002,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-008-B2075,B2075,Heterogeneous Adaptive Basin,2075,VEC-014,HAB-011,precipitation_hydrology,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity remains a durable local mosaic; this is potential opportunity, not observed future suitability.","land-cover, maintenance, moisture, and settlement differences persist by setting",persistent heterogeneous basin mosaic,heterogeneity_entrenched,VEFA-B2075-01,VFS-014,high,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-001-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-009,HAB-003,urban_container_habitat,mosquito,CURRENT FACT (2026 baseline): Ohio and Indiana sources identify artificial/natural container habitats.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-02,VFS-005,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-002-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-001,HAB-001,catch_basin_stagnant_water,mosquito,CURRENT FACT (2026 baseline): Ohio source documents widespread presence and these breeding contexts.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-01,VFS-002,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-003-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-008,HAB-011,wetland_standing_water,mosquito/tick interface,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-01,VFS-014,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-004-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-011,HAB-011,ditch_floodplain_water,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-01,VFS-014,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-005-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-010,HAB-007,forest_edge_humidity,tick/mosquito,CURRENT FACT (2026 baseline): CDC describes questing and broad eastern distribution.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-03,VFS-008,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-006-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-012,HAB-012,host_ecology,mosquito/tick,CURRENT FACT (2026 baseline): Host-seeking and life-stage context are retained from CDC tick ecology sources.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-03,VFS-008,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-007-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-013,HAB-015,temperature_seasonality,mosquito/tick,CURRENT FACT (2026 baseline): OSU describes temperature-linked larval duration and overwintering/emergence context.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-01,VFS-002,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-008-C2050,C2050,Warmer / More Variable Vector Landscape,2050,VEC-014,HAB-011,precipitation_hydrology,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity may increase episodically in selected settings while other settings dry or remain constrained; this is potential opportunity, not observed future suitability.",drought/heavy-rain contrasts and infrastructure create patchy conditions,selected stressed interfaces with capable refugia elsewhere,episodic_opportunity_and_interruptions,VEFA-C2050-01,VFS-014,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-001-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-009,HAB-003,urban_container_habitat,mosquito,CURRENT FACT (2026 baseline): Ohio and Indiana sources identify artificial/natural container habitats.,"SCENARIO SUITABILITY: potential opportunity is longer or more variable in selected settings but remains unmeasured; this is potential opportunity, not observed future suitability.","warm-season, dry/wet, and infrastructure conditions diverge strongly",patchy selected opportunities and interruptions,warmer_variable_patchiness,VEFA-C2075-02,VFS-005,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-002-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-001,HAB-001,catch_basin_stagnant_water,mosquito,CURRENT FACT (2026 baseline): Ohio source documents widespread presence and these breeding contexts.,"SCENARIO SUITABILITY: potential opportunity is longer or more variable in selected settings but remains unmeasured; this is potential opportunity, not observed future suitability.","warm-season, dry/wet, and infrastructure conditions diverge strongly",patchy selected opportunities and interruptions,warmer_variable_patchiness,VEFA-C2075-01,VFS-002,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-003-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-008,HAB-011,wetland_standing_water,mosquito/tick interface,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is longer or more variable in selected settings but remains unmeasured; this is potential opportunity, not observed future suitability.","warm-season, dry/wet, and infrastructure conditions diverge strongly",patchy selected opportunities and interruptions,warmer_variable_patchiness,VEFA-C2075-01,VFS-014,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-004-C2075,C2075,Warmer / More Variable Vector Landscape,2075,VEC-011,HAB-011,ditch_floodplain_water,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is longer or more variable in selected settings but remains unmeasured; this is potential opportunity, not observed future suitability.","warm-season, dry/wet, and infrastructure conditions diverge strongly",patchy selected opportunities and interruptions,warmer_variable_patchiness,VEFA-C2075-01,VFS-014,exploratory,high,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
