assumption_id,scenario_id,scenario_year,scope,assumption,basis,value_type,source_id,plausibility,uncertainty,reality_status,notes
CSA-B2075-06,B,2075,climate_hazard_system,Monitoring and infrastructure controls improve incrementally but redundancy is uneven.,projection envelope plus scenario adaptation premise,qualitative,c9_nca_midwest,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2050-01,C,2050,climate_hazard_system,The upper or more disruptive part of the regional climate envelope interacts with lagging adaptation.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_summary,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2050-02,C,2050,climate_hazard_system,"Heat, cooling demand, and seasonal stress intensify the compound management burden.",projection envelope plus scenario adaptation premise,qualitative,c9_glisa_trends,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2050-03,C,2050,climate_hazard_system,Heavy precipitation and runoff create more frequent or severe nutrient/stormwater management episodes as a scenario premise.,projection envelope plus scenario adaptation premise,qualitative,c9_basile_precip,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2050-04,C,2050,climate_hazard_system,Drought variability and water stress interact with agriculture and ecological systems while adaptation lags.,projection envelope plus scenario adaptation premise,qualitative,c9_epa_great_lakes,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2050-05,C,2050,climate_hazard_system,"High background lake levels, wind setup/seiche, waves, and access burdens interact episodically.",projection envelope plus scenario adaptation premise,qualitative,c9_notaro_levels,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2050-06,C,2050,climate_hazard_system,"Warning, monitoring, grid, freight, and infrastructure controls face greater compound-event load and uncertainty.",projection envelope plus scenario adaptation premise,qualitative,c9_nca_midwest,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2075-01,C,2075,climate_hazard_system,The upper or more disruptive part of the regional climate envelope interacts with lagging adaptation.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_summary,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2075-02,C,2075,climate_hazard_system,"Heat, cooling demand, and seasonal stress intensify the compound management burden.",projection envelope plus scenario adaptation premise,qualitative,c9_glisa_trends,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2075-03,C,2075,climate_hazard_system,Heavy precipitation and runoff create more frequent or severe nutrient/stormwater management episodes as a scenario premise.,projection envelope plus scenario adaptation premise,qualitative,c9_basile_precip,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2075-04,C,2075,climate_hazard_system,Drought variability and water stress interact with agriculture and ecological systems while adaptation lags.,projection envelope plus scenario adaptation premise,qualitative,c9_epa_great_lakes,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2075-05,C,2075,climate_hazard_system,"High background lake levels, wind setup/seiche, waves, and access burdens interact episodically.",projection envelope plus scenario adaptation premise,qualitative,c9_notaro_levels,limited,high,fictional,No probability or deterministic future hazard value is assigned.
CSA-C2075-06,C,2075,climate_hazard_system,"Warning, monitoring, grid, freight, and infrastructure controls face greater compound-event load and uncertainty.",projection envelope plus scenario adaptation premise,qualitative,c9_nca_midwest,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
