uncertainty_id,scenario_id,scenario,horizon,category,subject,current_fact,scenario_assumption,uncertainty_state,source_or_basis,assumption_id,reality_status,canon_status,notes
PFU-A2075-05,A2075,Connected Reconcentration,2075,employment_worker_job_relationship,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2075 horizon without promoting it to fact.,"future jobs, workers, workplaces, and commuter interfaces are not forecast or converted into population",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2075-05,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2075-06,A2075,Connected Reconcentration,2075,service_territory_and_capacity,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2075 horizon without promoting it to fact.,"exact utility service territories, capacity, and population served are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2075-06,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2050-01,B2050,Polycentric Adaptive Basin,2050,projection_coverage,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2050 horizon without promoting it to fact.,official projection context exists at national scale; comparable selected-county 2050 adoption remains unresolved,S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2050-01,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2050-02,B2050,Polycentric Adaptive Basin,2050,subcounty_distribution,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2050 horizon without promoting it to fact.,"future block, tract, neighborhood, and parcel redistribution is unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2050-02,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2050-03,B2050,Polycentric Adaptive Basin,2050,climate_migration,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2050 horizon without promoting it to fact.,"high-uncertainty scenario mechanism; not a population-growth assumption, count, or causal claim",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2050-03,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2050-04,B2050,Polycentric Adaptive Basin,2050,household_housing_conversion,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2050 horizon without promoting it to fact.,"future household size, vacancy, tenure, and housing-unit conversion are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2050-04,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2050-05,B2050,Polycentric Adaptive Basin,2050,employment_worker_job_relationship,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2050 horizon without promoting it to fact.,"future jobs, workers, workplaces, and commuter interfaces are not forecast or converted into population",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2050-05,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2050-06,B2050,Polycentric Adaptive Basin,2050,service_territory_and_capacity,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2050 horizon without promoting it to fact.,"exact utility service territories, capacity, and population served are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2050-06,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2075-01,B2075,Polycentric Adaptive Basin,2075,projection_coverage,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2075 horizon without promoting it to fact.,official projection context exists at national scale; comparable selected-county 2050 adoption remains unresolved,S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2075-01,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2075-02,B2075,Polycentric Adaptive Basin,2075,subcounty_distribution,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2075 horizon without promoting it to fact.,"future block, tract, neighborhood, and parcel redistribution is unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2075-02,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2075-03,B2075,Polycentric Adaptive Basin,2075,climate_migration,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2075 horizon without promoting it to fact.,"high-uncertainty scenario mechanism; not a population-growth assumption, count, or causal claim",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2075-03,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2075-04,B2075,Polycentric Adaptive Basin,2075,household_housing_conversion,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2075 horizon without promoting it to fact.,"future household size, vacancy, tenure, and housing-unit conversion are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2075-04,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2075-05,B2075,Polycentric Adaptive Basin,2075,employment_worker_job_relationship,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2075 horizon without promoting it to fact.,"future jobs, workers, workplaces, and commuter interfaces are not forecast or converted into population",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2075-05,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-B2075-06,B2075,Polycentric Adaptive Basin,2075,service_territory_and_capacity,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Polycentric Adaptive Basin explores this uncertainty at the 2075 horizon without promoting it to fact.,"exact utility service territories, capacity, and population served are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-B2075-06,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2050-01,C2050,Uneven Change / Infrastructure Strain,2050,projection_coverage,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2050 horizon without promoting it to fact.,official projection context exists at national scale; comparable selected-county 2050 adoption remains unresolved,S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2050-01,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2050-02,C2050,Uneven Change / Infrastructure Strain,2050,subcounty_distribution,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2050 horizon without promoting it to fact.,"future block, tract, neighborhood, and parcel redistribution is unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2050-02,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2050-03,C2050,Uneven Change / Infrastructure Strain,2050,climate_migration,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2050 horizon without promoting it to fact.,"high-uncertainty scenario mechanism; not a population-growth assumption, count, or causal claim",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2050-03,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2050-04,C2050,Uneven Change / Infrastructure Strain,2050,household_housing_conversion,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2050 horizon without promoting it to fact.,"future household size, vacancy, tenure, and housing-unit conversion are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2050-04,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2050-05,C2050,Uneven Change / Infrastructure Strain,2050,employment_worker_job_relationship,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2050 horizon without promoting it to fact.,"future jobs, workers, workplaces, and commuter interfaces are not forecast or converted into population",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2050-05,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2050-06,C2050,Uneven Change / Infrastructure Strain,2050,service_territory_and_capacity,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2050 horizon without promoting it to fact.,"exact utility service territories, capacity, and population served are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2050-06,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2075-01,C2075,Uneven Change / Infrastructure Strain,2075,projection_coverage,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2075 horizon without promoting it to fact.,official projection context exists at national scale; comparable selected-county 2050 adoption remains unresolved,S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2075-01,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2075-02,C2075,Uneven Change / Infrastructure Strain,2075,subcounty_distribution,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2075 horizon without promoting it to fact.,"future block, tract, neighborhood, and parcel redistribution is unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2075-02,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2075-03,C2075,Uneven Change / Infrastructure Strain,2075,climate_migration,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2075 horizon without promoting it to fact.,"high-uncertainty scenario mechanism; not a population-growth assumption, count, or causal claim",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2075-03,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2075-04,C2075,Uneven Change / Infrastructure Strain,2075,household_housing_conversion,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2075 horizon without promoting it to fact.,"future household size, vacancy, tenure, and housing-unit conversion are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2075-04,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2075-05,C2075,Uneven Change / Infrastructure Strain,2075,employment_worker_job_relationship,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2075 horizon without promoting it to fact.,"future jobs, workers, workplaces, and commuter interfaces are not forecast or converted into population",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2075-05,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-C2075-06,C2075,Uneven Change / Infrastructure Strain,2075,service_territory_and_capacity,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Uneven Change / Infrastructure Strain explores this uncertainty at the 2075 horizon without promoting it to fact.,"exact utility service territories, capacity, and population served are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-C2075-06,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
