governance_state_id,scenario_id,scenario_family,horizon,governance_domain,technology_family,governance_state,oversight_capacity,trust_legitimacy_state,privacy_surveillance_balance,public_communication_state,workforce_maintenance_state,human_authority_boundary,uncertainty,evidence_basis,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TGS-A2075-03,A2075,Coordinated Technological Adaptation,2075,defensive_cyber_coordination,CYBERSECURITY / DIGITAL RESILIENCE,auditable_institutionalized_selected_oversight,"Oversight capacity broadly keeps pace in selected interfaces, with cost, implementation friction, and residual inequality retained.","Legitimacy is supported by transparent data stewardship, human review, communication, and recourse, not assumed universally.","privacy-protective use with explicit purpose, access, retention, and accountability boundaries",public communication is more coordinated but remains interpretive and institution-specific,workforce development and maintenance are funded selectively; scarcity and turnover remain possible,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",moderate,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-A2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TGS-A2075-04,A2075,Coordinated Technological Adaptation,2075,energy_compute_stewardship,ADVANCED ENERGY,auditable_institutionalized_selected_oversight,"Oversight capacity broadly keeps pace in selected interfaces, with cost, implementation friction, and residual inequality retained.","Legitimacy is supported by transparent data stewardship, human review, communication, and recourse, not assumed universally.","privacy-protective use with explicit purpose, access, retention, and accountability boundaries",public communication is more coordinated but remains interpretive and institution-specific,workforce development and maintenance are funded selectively; scarcity and turnover remain possible,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",moderate,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-A2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TGS-A2075-05,A2075,Coordinated Technological Adaptation,2075,manufacturing_workforce_oversight,ADVANCED MATERIALS / MANUFACTURING,auditable_institutionalized_selected_oversight,"Oversight capacity broadly keeps pace in selected interfaces, with cost, implementation friction, and residual inequality retained.","Legitimacy is supported by transparent data stewardship, human review, communication, and recourse, not assumed universally.","privacy-protective use with explicit purpose, access, retention, and accountability boundaries",public communication is more coordinated but remains interpretive and institution-specific,workforce development and maintenance are funded selectively; scarcity and turnover remain possible,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",moderate,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-A2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TGS-A2075-06,A2075,Coordinated Technological Adaptation,2075,biosecurity_and_public_health,BIOTECHNOLOGY / GENETIC ENGINEERING,auditable_institutionalized_selected_oversight,"Oversight capacity broadly keeps pace in selected interfaces, with cost, implementation friction, and residual inequality retained.","Legitimacy is supported by transparent data stewardship, human review, communication, and recourse, not assumed universally.","privacy-protective use with explicit purpose, access, retention, and accountability boundaries",public communication is more coordinated but remains interpretive and institution-specific,workforce development and maintenance are funded selectively; scarcity and turnover remain possible,"Detection, attribution, communication, and response coordination remain distinct; no harmful biological operational detail is modeled.",moderate,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-A2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TGS-A2075-07,A2075,Coordinated Technological Adaptation,2075,privacy_surveillance_balance,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,auditable_institutionalized_selected_oversight,"Oversight capacity broadly keeps pace in selected interfaces, with cost, implementation friction, and residual inequality retained.","Legitimacy is supported by transparent data stewardship, human review, communication, and recourse, not assumed universally.","privacy-protective use with explicit purpose, access, retention, and accountability boundaries",public communication is more coordinated but remains interpretive and institution-specific,workforce development and maintenance are funded selectively; scarcity and turnover remain possible,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",moderate,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-A2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TGS-A2075-08,A2075,Coordinated Technological Adaptation,2075,cross_system_interoperability,AI / ADVANCED COMPUTE / AUTOMATION,auditable_institutionalized_selected_oversight,"Oversight capacity broadly keeps pace in selected interfaces, with cost, implementation friction, and residual inequality retained.","Legitimacy is supported by transparent data stewardship, human review, communication, and recourse, not assumed universally.","privacy-protective use with explicit purpose, access, retention, and accountability boundaries",public communication is more coordinated but remains interpretive and institution-specific,workforce development and maintenance are funded selectively; scarcity and turnover remain possible,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",moderate,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-A2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality."
TGS-B2050-01,B2050,Uneven Networked Modernization,2050,human_authority_and_AI,AI / ADVANCED COMPUTE / AUTOMATION,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"AI recommendation remains advisory; automation does not remove human, legal, or institutional authority.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-02,B2050,Uneven Networked Modernization,2050,sensing_data_legitimacy,ADVANCED SENSING / AUTONOMOUS SYSTEMS,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Measurement and observability do not create enforcement, permission, or decision authority.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-03,B2050,Uneven Networked Modernization,2050,defensive_cyber_coordination,CYBERSECURITY / DIGITAL RESILIENCE,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-04,B2050,Uneven Networked Modernization,2050,energy_compute_stewardship,ADVANCED ENERGY,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-05,B2050,Uneven Networked Modernization,2050,manufacturing_workforce_oversight,ADVANCED MATERIALS / MANUFACTURING,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-06,B2050,Uneven Networked Modernization,2050,biosecurity_and_public_health,BIOTECHNOLOGY / GENETIC ENGINEERING,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Detection, attribution, communication, and response coordination remain distinct; no harmful biological operational detail is modeled.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-07,B2050,Uneven Networked Modernization,2050,privacy_surveillance_balance,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2050-08,B2050,Uneven Networked Modernization,2050,cross_system_interoperability,AI / ADVANCED COMPUTE / AUTOMATION,negotiated_uneven_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2050-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,"Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2050 is a plausible uneven trajectory in which strong nodes connect through weaker infrastructure, standards, and workforce capacity."
TGS-B2075-01,B2075,Uneven Networked Modernization,2075,human_authority_and_AI,AI / ADVANCED COMPUTE / AUTOMATION,durable_but_nonuniform_networked_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"AI recommendation remains advisory; automation does not remove human, legal, or institutional authority.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.
TGS-B2075-02,B2075,Uneven Networked Modernization,2075,sensing_data_legitimacy,ADVANCED SENSING / AUTONOMOUS SYSTEMS,durable_but_nonuniform_networked_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Measurement and observability do not create enforcement, permission, or decision authority.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.
TGS-B2075-03,B2075,Uneven Networked Modernization,2075,defensive_cyber_coordination,CYBERSECURITY / DIGITAL RESILIENCE,durable_but_nonuniform_networked_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.
TGS-B2075-04,B2075,Uneven Networked Modernization,2075,energy_compute_stewardship,ADVANCED ENERGY,durable_but_nonuniform_networked_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.
TGS-B2075-05,B2075,Uneven Networked Modernization,2075,manufacturing_workforce_oversight,ADVANCED MATERIALS / MANUFACTURING,durable_but_nonuniform_networked_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Technical capability, governance capacity, and legitimacy remain distinct; no composite score is created.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.
TGS-B2075-06,B2075,Uneven Networked Modernization,2075,biosecurity_and_public_health,BIOTECHNOLOGY / GENETIC ENGINEERING,durable_but_nonuniform_networked_oversight,"Oversight is strong in some nodes, negotiated in others, and inconsistent across standards, vendors, and jurisdictions.","Legitimacy varies with local performance, access, and whether data use is understood and contestable.",mixed privacy and surveillance practices with partial standards and local variation,public communication is uneven and may not translate across institutions or methods,workforce and maintenance capacity are stronger in connected nodes and weaker at surrounding interfaces,"Detection, attribution, communication, and response coordination remain distinct; no harmful biological operational detail is modeled.",high,"Phase 15A governance boundaries, Phase 14 system/authority distinctions, and explicit qualitative scenario construction.",TFA-B2075-05,REG-PHASE10A-GOVERNANCE,scenario,scenario,scenario_assumption,Governance effects are qualitative and scenario-dependent; optimization is not legitimacy and prediction is not certainty. 2075 is a wider-uncertainty mosaic in which strong and weak nodes remain coupled through negotiated standards and uneven access.
