state_id,scenario_id,scenario,horizon,archetype,baseline_uncertainty_id,category,subject_id,current_fact,scenario_assumption,uncertainty_state,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
IDFU-A2075-IDBU-010,A2075,Coordinated Prevention & Detection,2075,zoonotic,IDBU-010,zoonotic_host,IDB-026,"CURRENT FACT (2026 baseline): Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.","SCENARIO ASSUMPTION: Distinct agencies, operators, healthcare systems, laboratories, and public-health programs use more regular cross-system review and mutual-aid coordination that is institutionalized in selected interfaces; authority is not merged. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Uncertainty is made more visible through coordinated review and targeted observation but is not resolved by the scenario. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-A2075-06,s13_cdc_rabies,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-A2075-IDBU-013,A2075,Coordinated Prevention & Detection,2075,healthcare/AMR,IDBU-013,infrastructure_continuity,IDB-033,"CURRENT FACT (2026 baseline): Energy and communications dependencies may affect continuity of healthcare or surveillance functions, but no outage probability or health outcome is modeled.","SCENARIO ASSUMPTION: Distinct agencies, operators, healthcare systems, laboratories, and public-health programs use more regular cross-system review and mutual-aid coordination that is institutionalized in selected interfaces; authority is not merged. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Uncertainty is made more visible through coordinated review and targeted observation but is not resolved by the scenario. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-A2075-06,phase3_energy_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2050-IDBU-003,B2050,Networked but Uneven Adaptation,2050,vector-borne,IDBU-003,vector_human,IDB-004,"CURRENT FACT (2026 baseline): Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and emerging and selective differences in responsibility and reporting. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2050-06,phase12_vector_dependency_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2050-IDBU-004,B2050,Networked but Uneven Adaptation,2050,waterborne/environmental,IDBU-004,water_chain,IDB-010,"CURRENT FACT (2026 baseline): Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and emerging and selective differences in responsibility and reporting. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2050-06,s13_cdc_water_surv,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2050-IDBU-006,B2050,Networked but Uneven Adaptation,2050,foodborne/enteric,IDBU-006,food_freight,IDB-013,"CURRENT FACT (2026 baseline): Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and emerging and selective differences in responsibility and reporting. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2050-06,phase5_freight_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2050-IDBU-008,B2050,Networked but Uneven Adaptation,2050,respiratory,IDBU-008,mobility,IDB-020,"CURRENT FACT (2026 baseline): Aggregate mobility can indicate possible connectivity, but commuting and movement are not transmission observations.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and emerging and selective differences in responsibility and reporting. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2050-06,phase11_mobility_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2050-IDBU-010,B2050,Networked but Uneven Adaptation,2050,zoonotic,IDBU-010,zoonotic_host,IDB-026,"CURRENT FACT (2026 baseline): Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and emerging and selective differences in responsibility and reporting. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2050-06,s13_cdc_rabies,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2050-IDBU-013,B2050,Networked but Uneven Adaptation,2050,healthcare/AMR,IDBU-013,infrastructure_continuity,IDB-033,"CURRENT FACT (2026 baseline): Energy and communications dependencies may affect continuity of healthcare or surveillance functions, but no outage probability or health outcome is modeled.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and emerging and selective differences in responsibility and reporting. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2050-06,phase3_energy_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2075-IDBU-003,B2075,Networked but Uneven Adaptation,2075,vector-borne,IDBU-003,vector_human,IDB-004,"CURRENT FACT (2026 baseline): Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and institutionalized in selected interfaces differences in responsibility and reporting. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2075-06,phase12_vector_dependency_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2075-IDBU-004,B2075,Networked but Uneven Adaptation,2075,waterborne/environmental,IDBU-004,water_chain,IDB-010,"CURRENT FACT (2026 baseline): Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and institutionalized in selected interfaces differences in responsibility and reporting. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2075-06,s13_cdc_water_surv,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2075-IDBU-006,B2075,Networked but Uneven Adaptation,2075,foodborne/enteric,IDBU-006,food_freight,IDB-013,"CURRENT FACT (2026 baseline): Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and institutionalized in selected interfaces differences in responsibility and reporting. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2075-06,phase5_freight_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2075-IDBU-008,B2075,Networked but Uneven Adaptation,2075,respiratory,IDBU-008,mobility,IDB-020,"CURRENT FACT (2026 baseline): Aggregate mobility can indicate possible connectivity, but commuting and movement are not transmission observations.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and institutionalized in selected interfaces differences in responsibility and reporting. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2075-06,phase11_mobility_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2075-IDBU-010,B2075,Networked but Uneven Adaptation,2075,zoonotic,IDBU-010,zoonotic_host,IDB-026,"CURRENT FACT (2026 baseline): Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and institutionalized in selected interfaces differences in responsibility and reporting. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2075-06,s13_cdc_rabies,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-B2075-IDBU-013,B2075,Networked but Uneven Adaptation,2075,healthcare/AMR,IDBU-013,infrastructure_continuity,IDB-033,"CURRENT FACT (2026 baseline): Energy and communications dependencies may affect continuity of healthcare or surveillance functions, but no outage probability or health outcome is modeled.","SCENARIO ASSUMPTION: Cross-jurisdiction coordination develops through issue-specific agreements and overlapping networks, with redundancy, negotiation friction, and institutionalized in selected interfaces differences in responsibility and reporting. 2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences.","2075 is a matured mosaic in which strong and weak nodes remain connected through overlapping networks, local friction, and reporting differences. Uncertainty remains heterogeneous across programs, methods, jurisdictions, and settings; it is preserved rather than averaged. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-B2075-06,phase3_energy_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-C2050-IDBU-003,C2050,Higher Transmission Opportunity / Response Strain,2050,vector-borne,IDBU-003,vector_human,IDB-004,"CURRENT FACT (2026 baseline): Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.","SCENARIO ASSUMPTION: Coordination remains functional in capable institutions but becomes slower and less coherent across selected jurisdictions, operators, and programs as responsibility seams become emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear. Uncertainty may become more consequential at selected seams under variability and response lag, but unknown is not converted into absence, risk, or failure. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-C2050-06,phase12_vector_dependency_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-C2050-IDBU-004,C2050,Higher Transmission Opportunity / Response Strain,2050,waterborne/environmental,IDBU-004,water_chain,IDB-010,"CURRENT FACT (2026 baseline): Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.","SCENARIO ASSUMPTION: Coordination remains functional in capable institutions but becomes slower and less coherent across selected jurisdictions, operators, and programs as responsibility seams become emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear. Uncertainty may become more consequential at selected seams under variability and response lag, but unknown is not converted into absence, risk, or failure. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-C2050-06,s13_cdc_water_surv,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-C2050-IDBU-006,C2050,Higher Transmission Opportunity / Response Strain,2050,foodborne/enteric,IDBU-006,food_freight,IDB-013,"CURRENT FACT (2026 baseline): Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.","SCENARIO ASSUMPTION: Coordination remains functional in capable institutions but becomes slower and less coherent across selected jurisdictions, operators, and programs as responsibility seams become emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear. Uncertainty may become more consequential at selected seams under variability and response lag, but unknown is not converted into absence, risk, or failure. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-C2050-06,phase5_freight_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-C2050-IDBU-008,C2050,Higher Transmission Opportunity / Response Strain,2050,respiratory,IDBU-008,mobility,IDB-020,"CURRENT FACT (2026 baseline): Aggregate mobility can indicate possible connectivity, but commuting and movement are not transmission observations.","SCENARIO ASSUMPTION: Coordination remains functional in capable institutions but becomes slower and less coherent across selected jurisdictions, operators, and programs as responsibility seams become emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear. Uncertainty may become more consequential at selected seams under variability and response lag, but unknown is not converted into absence, risk, or failure. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-C2050-06,phase11_mobility_context,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
IDFU-C2050-IDBU-010,C2050,Higher Transmission Opportunity / Response Strain,2050,zoonotic,IDBU-010,zoonotic_host,IDB-026,"CURRENT FACT (2026 baseline): Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.","SCENARIO ASSUMPTION: Coordination remains functional in capable institutions but becomes slower and less coherent across selected jurisdictions, operators, and programs as responsibility seams become emerging and selective. 2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear.","2050 is an intermediate trajectory in which selected environmental and infrastructure pressures widen opportunity seams while response strain begins to appear. Uncertainty may become more consequential at selected seams under variability and response lag, but unknown is not converted into absence, risk, or failure. Great Black Swamp remains C — HOLD / noncanonical; Toledo intake-coordinate discrepancy remains UNRESOLVED.",IDFA-C2050-06,s13_cdc_rabies,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, and method limitations; no probability, case total, disease burden, individual risk, or local downscaling is created."
