assumption_id,scenario_id,scenario_year,scope,assumption,basis,value_type,source_id,plausibility,uncertainty,status,notes
BGSA-A2075-05,A,2075,cross_system,Monitoring and adaptive governance change the ability to observe and manage fluxes.,governance trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2075-06,A,2075,cross_system,"Ecological consequences remain condition interfaces, not deterministic HAB outcomes.",scientific boundary,qualitative,bge_epa_lake_erie,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-B2050-01,B,2050,cross_system,Landscape retention and soil-function investment changes material mobilization.,qualitative scenario driver,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2050-02,B,2050,cross_system,Hydrologic variability changes the timing and connectivity of transport.,external climate/landscape driver,qualitative,bge_noaa_climate,moderate,high,scenario,No probability or exact future flux is assigned.
BGSA-B2050-03,B,2050,cross_system,"Wetland, riparian, and drainage controls change retention and transformation interfaces.",management trajectory,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2050-04,B,2050,cross_system,Wastewater and urban controls change point-source and stormwater interfaces.,infrastructure trajectory,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2050-05,B,2050,cross_system,Monitoring and adaptive governance change the ability to observe and manage fluxes.,governance trajectory,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2050-06,B,2050,cross_system,"Ecological consequences remain condition interfaces, not deterministic HAB outcomes.",scientific boundary,qualitative,bge_epa_lake_erie,moderate,high,scenario,No probability or exact future flux is assigned.
BGSA-B2075-01,B,2075,cross_system,Landscape retention and soil-function investment changes material mobilization.,qualitative scenario driver,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2075-02,B,2075,cross_system,Hydrologic variability changes the timing and connectivity of transport.,external climate/landscape driver,qualitative,bge_noaa_climate,moderate,high,scenario,No probability or exact future flux is assigned.
BGSA-B2075-03,B,2075,cross_system,"Wetland, riparian, and drainage controls change retention and transformation interfaces.",management trajectory,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2075-04,B,2075,cross_system,Wastewater and urban controls change point-source and stormwater interfaces.,infrastructure trajectory,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2075-05,B,2075,cross_system,Monitoring and adaptive governance change the ability to observe and manage fluxes.,governance trajectory,qualitative,bge_epa_lake_erie,moderate,moderate,scenario,No probability or exact future flux is assigned.
BGSA-B2075-06,B,2075,cross_system,"Ecological consequences remain condition interfaces, not deterministic HAB outcomes.",scientific boundary,qualitative,bge_epa_lake_erie,moderate,high,scenario,No probability or exact future flux is assigned.
BGSA-C2050-01,C,2050,cross_system,Landscape retention and soil-function investment changes material mobilization.,qualitative scenario driver,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2050-02,C,2050,cross_system,Hydrologic variability changes the timing and connectivity of transport.,external climate/landscape driver,qualitative,bge_noaa_climate,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-C2050-03,C,2050,cross_system,"Wetland, riparian, and drainage controls change retention and transformation interfaces.",management trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2050-04,C,2050,cross_system,Wastewater and urban controls change point-source and stormwater interfaces.,infrastructure trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2050-05,C,2050,cross_system,Monitoring and adaptive governance change the ability to observe and manage fluxes.,governance trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2050-06,C,2050,cross_system,"Ecological consequences remain condition interfaces, not deterministic HAB outcomes.",scientific boundary,qualitative,bge_epa_lake_erie,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-C2075-01,C,2075,cross_system,Landscape retention and soil-function investment changes material mobilization.,qualitative scenario driver,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2075-02,C,2075,cross_system,Hydrologic variability changes the timing and connectivity of transport.,external climate/landscape driver,qualitative,bge_noaa_climate,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-C2075-03,C,2075,cross_system,"Wetland, riparian, and drainage controls change retention and transformation interfaces.",management trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2075-04,C,2075,cross_system,Wastewater and urban controls change point-source and stormwater interfaces.,infrastructure trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2075-05,C,2075,cross_system,Monitoring and adaptive governance change the ability to observe and manage fluxes.,governance trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-C2075-06,C,2075,cross_system,"Ecological consequences remain condition interfaces, not deterministic HAB outcomes.",scientific boundary,qualitative,bge_epa_lake_erie,limited,high,scenario,No probability or exact future flux is assigned.
