authority_id,actor_id,domain_system,authority_or_role,authority_type,binding_or_nonbinding,legal_or_operational_basis,geographic_scope,jurisdictional_scale,source_id,evidence_strength,reality_status,canon_status,notes
AUTH-052,GA-019,Water,coordinate,coordination,nonbinding,"Binational studies, boards, and coordination context",United States–Canada boundary waters,binational,s16_ijc,limited,real,inferred,The role is intentionally limited because the primary page was not fully retrieved.
AUTH-053,GA-020,Water,coordinate,coordination,nonbinding,Great Lakes Water Quality Agreement implementation framework,Great Lakes basin,binational,s15_glwqa,moderate,real,verified,Agreement objectives are not represented as individual permits.
AUTH-054,GA-020,Ecology / Biodiversity,provide_data,scientific_information,not_applicable,"Binational indicators, reporting, and annex information context",Great Lakes basin,binational,s15_glwqa,limited,real,inferred,Information is distinct from domestic legal decision authority.
AUTH-055,GA-021,Ecology / Biodiversity,advise,advisory,nonbinding,Intertribal natural-resource management and treaty-rights policy support,Treaty-ceded territories served by member tribes,tribal,s17_glifwc,high,real,verified,No current Western Basin jurisdiction is inferred.
AUTH-056,GA-021,Ecology / Biodiversity,monitor,monitoring,not_applicable,Intertribal resource-management information and conservation services,Treaty-ceded territories served by member tribes,tribal,s17_glifwc,high,real,verified,Monitoring does not equal state/federal regulation.
AUTH-057,GA-022,Ecology / Biodiversity,advise,advisory,unknown,Potential nation-specific consultation/resource-interest relationship; project-specific authority not established,Nation-specific / Western Great Lakes review context,tribal,s18_epa_tribal,limited,real,inferred,Sovereignty and historical connection do not establish a current project jurisdiction.
AUTH-058,GA-023,Ecology / Biodiversity,advise,advisory,unknown,Potential nation-specific consultation/resource-interest relationship; project-specific authority not established,Nation-specific / Great Lakes review context,tribal,s18_epa_tribal,limited,real,inferred,No current Western Basin polygon or permit authority is created.
AUTH-059,GA-024,Energy / Grid / Compute,regulate,regulatory_authority,binding,FERC interstate transmission and wholesale-electricity jurisdiction,United States interstate energy,federal,s21_ferc,high,real,verified,FERC does not operate local distribution facilities.
AUTH-060,GA-024,Energy / Grid / Compute,enforce,enforcement,binding,FERC enforcement and civil-penalty authority for covered requirements,United States interstate energy,federal,s21_ferc,high,real,verified,Enforcement is not physical operation or ownership.
AUTH-061,GA-024,Energy / Grid / Compute,set_standard,standard_setting,binding,FERC-approved mandatory reliability framework,North American bulk power system,federal,s21_ferc,high,real,verified,Standard setting is distinct from dispatch.
AUTH-062,GA-025,Energy / Grid / Compute,set_standard,standard_setting,mixed,NERC reliability-standard development and FERC approval framework,North American bulk power system,interstate,s23_nerc,high,real,verified,NERC is not utility owner or local distribution operator.
AUTH-063,GA-025,Energy / Grid / Compute,monitor,monitoring,mixed,Bulk-power reliability compliance and standards framework,North American bulk power system,interstate,s23_nerc,moderate,real,verified,Compliance monitoring does not equal asset operation.
AUTH-064,GA-025,Energy / Grid / Compute,coordinate,coordination,mixed,Industry-driven standards process and reliability coordination,North American bulk power system,interstate,s23_nerc,high,real,verified,Coordination does not transfer ownership.
AUTH-065,GA-026,Energy / Grid / Compute,operate,operational_control,not_applicable,PJM wholesale market and high-voltage grid operations,PJM footprint,system operator,s24_pjm,high,real,verified,PJM operation is not utility ownership or local retail distribution.
AUTH-066,GA-026,Energy / Grid / Compute,coordinate,coordination,mixed,Regional transmission organization coordination of wholesale electricity,PJM footprint,system operator,s24_pjm,high,real,verified,Wholesale coordination is distinct from state economic regulation.
AUTH-067,GA-026,Energy / Grid / Compute,plan,planning,mixed,PJM long-term regional transmission planning,PJM footprint,system operator,s24_pjm,high,real,verified,Planning does not itself construct or own every asset.
AUTH-068,GA-026,Data / Sensors / Security,provide_data,scientific_information,not_applicable,Public PJM operating-information and market-data interfaces,PJM footprint,system operator,s24_pjm,moderate,real,verified,Public data are not SCADA or private telemetry.
AUTH-069,GA-027,Energy / Grid / Compute,regulate,regulatory_authority,binding,PUCO regulation of electric and other utility services,Ohio,state,s25_puco,high,real,verified,Economic regulation does not equal physical operation.
AUTH-070,GA-027,Freight / Industry,regulate,regulatory_authority,binding,PUCO regulation of specified rail and trucking services,Ohio,state,s25_puco,high,real,verified,Regulation is distinct from carrier operation.
AUTH-071,GA-028,Energy / Grid / Compute,regulate,regulatory_authority,binding,"NRC licensing, inspection, and enforcement of civilian nuclear materials/facilities",United States,federal,s26_nrc,high,real,verified,NRC is not PJM or a utility owner.
AUTH-072,GA-028,Environmental Health / Exposure,enforce,enforcement,binding,NRC enforcement of nuclear safety requirements,United States,federal,s26_nrc,high,real,verified,No exposure or health outcome is inferred.
AUTH-073,GA-029,Energy / Grid / Compute,fund,funding,mixed,DOE grid modernization and smart-grid program support,United States,federal,s27_doe,moderate,real,verified,Funding and coordination do not confer dispatch authority.
AUTH-074,GA-029,Energy / Grid / Compute,research,research,not_applicable,DOE grid-modernization research and coordination role,United States,federal,s27_doe,moderate,real,verified,Research is not operation.
AUTH-075,GA-030,Energy / Grid / Compute,own,ownership,not_applicable,Investor-owned electric-company structure described by FirstEnergy,FirstEnergy service context,private,s28_firstenergy,high,real,verified,Ownership is private and does not equal public control.
AUTH-076,GA-030,Energy / Grid / Compute,operate,operational_control,not_applicable,Utility operation and transmission/distribution infrastructure context,FirstEnergy service context,private,s28_firstenergy,high,real,verified,No facility-specific Toledo assignment is inferred.
AUTH-077,GA-031,Freight / Industry,own,ownership,not_applicable,State public-road infrastructure context,Ohio public transportation system,state,s39_odot,moderate,real,verified,Public-road ownership does not equal private rail/marine operation.
AUTH-078,GA-031,Freight / Industry,operate,operational_control,not_applicable,State highway maintenance/operation context,Ohio public transportation system,state,s39_odot,moderate,real,verified,No route-specific operation claim is made.
AUTH-079,GA-031,Freight / Industry,plan,planning,nonbinding,State transportation planning context,Ohio,state,s39_odot,moderate,real,verified,Planning is not carrier operation.
AUTH-080,GA-032,Freight / Industry,fund,funding,mixed,Federal freight and highway discretionary funding programs,United States,federal,s29_fhwa,high,real,verified,Funding does not make FHWA the operator of funded assets.
AUTH-081,GA-032,Freight / Industry,plan,planning,nonbinding,"Federal freight planning, data, and program guidance",United States,federal,s29_fhwa,high,real,verified,Planning is not a route-level dispatch role.
AUTH-082,GA-033,Freight / Industry,regulate,regulatory_authority,binding,FRA rail-safety regulation,United States rail network,federal,s30_fra,high,real,verified,Safety regulation is not railroad operation.
AUTH-083,GA-033,Freight / Industry,enforce,enforcement,binding,FRA implementation and enforcement of rail-safety requirements,United States rail network,federal,s30_fra,high,real,verified,Enforcement is not ownership.
AUTH-084,GA-033,Freight / Industry,fund,funding,mixed,Selective rail-network investment,United States rail network,federal,s30_fra,high,real,verified,Investment is not operation.
AUTH-085,GA-034,Freight / Industry,fund,funding,mixed,Federal maritime assistance and policy context,United States maritime system,federal,s31_marad,moderate,real,verified,No Port of Toledo project is assigned from this source alone.
AUTH-086,GA-034,Freight / Industry,plan,planning,nonbinding,Maritime policy and planning context,United States maritime system,federal,s31_marad,moderate,real,verified,Planning is not port operation.
AUTH-087,GA-035,Freight / Industry,own,ownership,not_applicable,Ohio port-authority facility ownership/control/financing framework,Port-authority facilities,regional authority,s33_ohio_port_statute,high,real,verified,Only authority facilities are implicated; private carriers remain private.
AUTH-088,GA-035,Freight / Industry,operate,operational_control,not_applicable,Port-authority operation/control of authority facilities and properties,Northwest Ohio authority facilities,regional authority,s32_port,moderate,real,verified,"Not operation of every vessel, railroad, terminal tenant, or industrial facility."
AUTH-089,GA-035,Freight / Industry,fund,funding,mixed,Port-authority financing and loan/bond programs,Northwest Ohio,regional authority,s32_port,high,real,verified,Funding is not regulatory authority.
AUTH-090,GA-036,Freight / Industry,own,ownership,not_applicable,Private railroad company operating context,Private rail network,private,s41_norfolk_southern,moderate,real,verified,No public ownership is inferred.
AUTH-091,GA-036,Freight / Industry,operate,operational_control,not_applicable,Private railroad operation context,Private rail network,private,s41_norfolk_southern,moderate,real,verified,Regulation and operation remain distinct.
AUTH-092,GA-037,Freight / Industry,own,ownership,not_applicable,Private railroad company operating context,Private rail network,private,s42_csx,moderate,real,verified,No public ownership is inferred.
AUTH-093,GA-037,Freight / Industry,operate,operational_control,not_applicable,Private railroad operation context,Private rail network,private,s42_csx,moderate,real,verified,Regulation and operation remain distinct.
AUTH-094,GA-038,Climate / Natural Hazards,plan,planning,mixed,County mitigation/planning partner context,Lucas County,county,s35_fema_mitigation,moderate,real,inferred,Exact delegated floodplain or asset authority varies by local program and is not assumed.
AUTH-095,GA-038,Climate / Natural Hazards,coordinate,coordination,mixed,County participation in state/federal/local mitigation coordination,Lucas County,county,s35_fema_mitigation,moderate,real,inferred,Coordination does not imply ownership of all infrastructure.
AUTH-096,GA-039,Environmental Health / Exposure,monitor,monitoring,not_applicable,Local public-health monitoring interface,Toledo/Lucas County,special district,s40_lucas_health,limited,real,verified,No specific environmental permit or medical outcome claim.
AUTH-097,GA-039,Environmental Health / Exposure,warn,warning,not_applicable,Local public-health communication interface,Toledo/Lucas County,special district,s40_lucas_health,limited,real,verified,Warning is not environmental regulation or water-plant operation.
AUTH-098,GA-039,Environmental Health / Exposure,respond,response,not_applicable,Local public-health response interface,Toledo/Lucas County,special district,s40_lucas_health,limited,real,verified,Bounded response role; no comprehensive emergency-management command or operations model is asserted.
AUTH-099,GA-040,Water,regulate,regulatory_authority,binding,Ohio private-water regulatory/health program context,Ohio,state,s38_odh,limited,real,verified,Does not replace Ohio EPA municipal public-water regulation or City operation.
AUTH-100,GA-040,Environmental Health / Exposure,monitor,monitoring,not_applicable,State private-water and public-health monitoring context,Ohio,state,s38_odh,limited,real,verified,Medical/public-health monitoring is not environmental system operation.
