source_id,title,url,source_type,publication_or_period,retrieval_date,geographic_scale,method_or_product,evidence_use,use_limitations,retrieval_url,retrieval_provenance,scenario_relevance
s13_cdc_flu_methods,CDC U.S. Influenza Surveillance Purpose and Methods,https://www.cdc.gov/fluview/overview/index.html,federal_surveillance,current methods page; accessed 2026-09-09,2026-09-09,"United States / laboratory, outpatient, hospital, mortality streams","ICLS, NREVSS, ILINet and other surveillance components","laboratory denominators, sentinel outpatient, hospitalization, and mortality stream distinctions",Testing practices and stream denominators differ; hospitalizations and tests do not equal community incidence.,https://www.cdc.gov/fluview/overview/index.html,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_cdc_wastewater,CDC About Wastewater Data,https://www.cdc.gov/wastewater/about-data,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,community / sewershed / state / regional / national,wastewater viral monitoring,community-level respiratory-virus surveillance and early-warning context,Wastewater cannot currently determine the number of infections; sewershed coverage can over-represent connected populations.,https://www.cdc.gov/wastewater/about-data/,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_cdc_rabies,CDC About Rabies,https://www.cdc.gov/rabies/about/index.html,federal_public_health,current page; accessed 2026-09-09,2026-09-09,United States / animal-human interface,"animal reservoir, exposure, and post-exposure prophylaxis reference",animal-contact pathway and response interface,"Animal cases, potential exposures, PEP, and human disease are separate records.",https://www.cdc.gov/rabies/about/index.html,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_cdc_nhsn,CDC National Healthcare Safety Network,https://www.cdc.gov/nhsn/about-nhsn/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,healthcare facilities / state / regional / national,facility reporting and HAI tracking system,"general HAI surveillance, facility participation, reporting, and benchmarking interface",Facility participation and HAI measures do not describe community incidence or rank local facilities in this phase.,https://www.cdc.gov/nhsn/about-nhsn/index.html,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_cdc_ar,CDC Antibiotic Resistance Threats Report,https://www.cdc.gov/antimicrobial-resistance/data-research/threats/index.html,federal_surveillance,2019 report page; accessed 2026-09-09,2026-09-09,United States / national estimates and threat categories,AR burden estimates and threat categories,generalized antimicrobial-resistance surveillance/response context,National estimates are not Western Basin observations and are not used as a regional burden estimate.,https://www.cdc.gov/antimicrobial-resistance/data-research/threats/index.html,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_ind_reportable,Indiana Communicable Disease Reporting,https://www.in.gov/health/idepd/communicable-disease-reporting,state_surveillance,current reportable-disease reporting page; accessed 2026-09-09,2026-09-09,Indiana / healthcare-provider and hospital reporting,reportable-condition list and NBS/forms,state reporting pathway and reportable-condition interface,Reporting requirements do not supply a comparable incidence denominator for every listed condition.,https://www.in.gov/health/idepd/communicable-disease-reporting,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_ohio_vector,Ohio Vector-borne Disease Surveillance Update,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/news/vectorborne-disease-update,state_surveillance,2025 annual summary used in accepted Phase 12 context,2026-09-09,Ohio / agency and county,pooled mosquito surveillance and human-case reporting,Ohio WNV and other vector-surveillance observations,Counts retain program denominators and are not comparable to human case counts or other states without harmonization.,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/news/vectorborne-disease-update,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
s13_mi_vector,Michigan EZID Annual Surveillance Summary,https://www.michigan.gov/emergingdiseases/-/media/Project/Websites/emergingdiseases/EZID_Annual_Surveillance_Summary.pdf,state_surveillance,2023 annual summary,2026-09-09,Michigan / participating local health departments,"mosquito pooling, identification, and laboratory testing",Michigan WNV/arbovirus surveillance context,Participating jurisdictions and methods vary; positive pools are not human cases or incidence.,https://www.michigan.gov/emergingdiseases/-/media/Project/Websites/emergingdiseases/EZID_Annual_Surveillance_Summary.pdf,web_extract/source-page verification on 2026-09-09,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase7_exposure,Accepted Phase 7A exposure/environmental-health layer,reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 layer,2026-09-09,Western Basin / pathway and monitoring context,accepted exposure pathways and monitoring boundaries,"source-water, recreational-water, HAB, and exposure-evidence separation","Reused context only; no infectious disease, dose, illness, or individual exposure is imported.",reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase9_climate,Accepted Phase 9 climate/natural-hazard layer,reports/phase9a_climate_natural_hazards_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 physical and scenario layer,2026-09-09,"Western Basin / station, county, watershed, shoreline",accepted climate/hazard observations and interfaces,"temperature, precipitation, flooding, drought, lake/coastal, and seasonal context",Reused context only; no disease suitability or incidence relationship is inferred.,reports/phase9a_climate_natural_hazards_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase11_population,Accepted Phase 11 population/settlement layer,reports/phase11a_population_settlement_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 population/mobility layer,2026-09-09,"Western Basin / county, place, generalized employment",accepted population and settlement tables,"population, settlement, workplace, and mobility context","Population presence is not contact, exposure, infection, disease, or local risk.",reports/phase11a_population_settlement_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase12_vector,Accepted Phase 12 vector-ecology layer,reports/phase12a_vector_ecology_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 vector ecology/dependency/futures layers,2026-09-09,"Western Basin / county, habitat, program, and generalized ecology",accepted vector surveillance and ecology artifacts,"vector presence, pathogen-in-vector, habitat, method, and surveillance boundaries",Vector ecology is reused; vector detection is not human infection and county status is not local disease burden.,reports/phase12a_vector_ecology_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase4_information,Accepted Phase 4 observation/information layer,reports/phase4b_information_freeze_manifest.json,repository_accepted_layer,accepted/frozen observation and information layers,2026-09-09,"Western Basin / station, program, agency, and information chain",accepted public observation-to-decision artifacts,"observation, data, uncertainty, and decision-interface context",Monitoring and information availability are not complete surveillance or control effectiveness.,reports/phase4b_information_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase10_governance,Accepted Phase 10 governance/jurisdiction layer,reports/phase10a_governance_jurisdiction_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 institutional layer,2026-09-09,Western Basin / institutional and program scales,"accepted actor, authority, and coordination artifacts","institutional role, reporting, response, and governance distinctions","Monitoring, funding, advice, ownership, and information are not automatically legal authority or operational control.",reports/phase10a_governance_jurisdiction_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase1_water_context,Validated Phase 1 water-system and hydrography context,reports/water_system_manifest.json,repository_validated_layer,validated current-development baseline,2026-09-09,"Western Basin / watershed, wetland, hydrography",validated water-system manifest and accepted context,"hydrology, standing-water, wetland, source-water, and water-infrastructure interface context","Context is not a disease observation, exposure measurement, contamination result, or illness finding.",reports/water_system_manifest.json,repository manifest reference; validated in the Phase 13B package; not rebuilt or modified,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase3_energy_context,Accepted Phase 3B energy dependency and reliability context,reports/phase3b_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 layer,2026-09-09,"regional grid, generalized energy dependencies",accepted energy dependency and reliability artifacts,generalized infrastructure continuity interface for healthcare and surveillance systems,"No facility outage, service territory, or disease outcome is inferred.",reports/phase3b_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase5_freight_context,Accepted Phase 5C freight dependency and critical-interface context,reports/phase5c_freight_dependency_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 layer,2026-09-09,"regional freight, gateway, interchange, and generalized market interfaces",accepted freight dependency register and interface layer,food/freight connectivity and distribution-interface context,"No commodity volume, shipment route, carrier operation, outbreak, or facility-specific food claim is inferred.",reports/phase5c_freight_dependency_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase6_ecology_context,Accepted Phase 6A ecology and biodiversity context,reports/phase6a_ecology_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 layer,2026-09-09,"Western Basin / wetland, riparian, terrestrial, host-ecology context",accepted ecological system skeleton,"generalized host, habitat, wetland, and landscape interfaces","No sensitive species location, abundance, contact rate, infection, or disease burden is inferred.",reports/phase6a_ecology_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase9_hazard_dependency_context,Accepted Phase 9B climate/hazard dependency context,reports/phase9b_climate_hazard_dependencies_resilience_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 qualitative dependency layer,2026-09-09,"station, county, watershed, shoreline, and regional context",accepted climate/hazard dependencies and resilience interfaces,"flooding, precipitation, seasonality, and infrastructure-interface context","No disease incidence, exposure probability, hazard probability, or deterministic climate-to-disease claim is inferred.",reports/phase9b_climate_hazard_dependencies_resilience_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase11_mobility_context,"Accepted Phase 11B population, mobility, and system-dependency context",reports/phase11b_population_mobility_dependencies_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 layer,2026-09-09,"county, place, generalized employment, and aggregate mobility interfaces",accepted mobility observations and qualitative dependencies,population/contact structure and generalized mobility-connectivity context,"Commuting is not transmission; no individual trajectory, contact network, or local disease inference is created.",reports/phase11b_population_mobility_dependencies_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase12_vector_dependency_context,Accepted Phase 12B vector/environment/human dependency context,reports/phase12b_vector_environment_human_dependencies_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 qualitative dependency layer,2026-09-09,"county, habitat, program, watershed, and generalized regional context",accepted vector/environment/human dependency register and map,"vector ecology, habitat, surveillance, and potential-interface context","Vector ecology and potential contact are not human exposure, infection, disease, or incidence.",reports/phase12b_vector_environment_human_dependencies_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
phase10_coordination_context,Accepted Phase 10B governance dependency and coordination context,reports/phase10b_governance_dependencies_coordination_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 qualitative governance layer,2026-09-09,"agency, program, jurisdictional, interstate, binational, and public/private interfaces","accepted authority, dependency, and coordination artifacts","monitoring, reporting, decision-support, intervention, and coordination interfaces",Monitoring is not control; coordination capacity is not proof of response effectiveness or disease burden.,reports/phase10b_governance_dependencies_coordination_freeze_manifest.json,accepted/frozen repository artifact reference; hash-checked by Phase 13B validator,Reused accepted infectious-disease or cross-system context for qualitative scenario construction; not evidence of a future disease outcome.
