actor_id,name,actor_type,jurisdictional_scale,geographic_scope,systems,operational_or_authority_summary,source_id,evidence_strength,reality_status,canon_status,notes
GA-011,USDA Natural Resources Conservation Service,federal_agency,federal,United States / Ohio agricultural programs,Biogeochemical / Nutrient Flux;Water;Ecology / Biodiversity;Climate / Natural Hazards,Technical and financial assistance for voluntary conservation planning and practices.,s11_nrcs_ohio,high,real,verified,EQIP/CSP assistance is not a general regulatory mandate or direct control over farm operations.
GA-012,Ohio Department of Agriculture,state_agency,state,Ohio / agricultural programs,Biogeochemical / Nutrient Flux;Water;Ecology / Biodiversity,"State agriculture program, coordination, and agriculture-specific regulatory/assistance context.",s44_ohio_oda,moderate,real,verified,This baseline does not infer a universal individual nutrient obligation from program participation or targets.
GA-013,Lucas Soil and Water Conservation District,special_district,special district,Lucas County / conservation service area,Biogeochemical / Nutrient Flux;Water;Ecology / Biodiversity,"Local technical assistance, planning, coordination, and participation in voluntary conservation programs.",s10_h2ohio,moderate,real,verified,District assistance is not the same as state or federal regulatory authority.
GA-014,Ohio Department of Natural Resources,state_agency,state,Ohio,Geology / Strategic Materials;Ecology / Biodiversity;Water;Climate / Natural Hazards,"State natural-resource management, monitoring, planning, restoration, and selected permitting/regulatory functions.",s45_odnr,limited,real,inferred,The package does not infer authority for a particular site or wetland without a specific legal/program source.
GA-015,"Michigan Department of Environment, Great Lakes, and Energy",state_agency,state,Michigan / Great Lakes waters,Water;Ecology / Biodiversity;Climate / Natural Hazards;Biogeochemical / Nutrient Flux,"Michigan water-quality standards, assessment, monitoring, permitting, compliance, shoreline, and related environmental programs.",s37_michigan_egle,high,real,verified,"Michigan authority is represented as a neighboring state interface, not a Western Basin-wide jurisdiction."
GA-016,Indiana Department of Environmental Management,state_agency,state,Indiana,Water;Biogeochemical / Nutrient Flux;Ecology / Biodiversity,Neighboring-state environmental regulatory and coordination interface where watershed or Great Lakes matters cross state boundaries.,s46_indiana_idem,limited,real,inferred,Specific Western Basin permit or facility authority is not mapped without a source-specific determination.
GA-017,Great Lakes Commission,interstate_body,interstate,Eight Great Lakes states and Canadian observers,Water;Ecology / Biodiversity;Biogeochemical / Nutrient Flux,"Compact-created regional policy, coordination, and advisory institution.",s13_glc,high,real,verified,The Commission recommends policies and brings actors together; it is not treated as a general environmental regulator.
GA-018,Great Lakes–St. Lawrence Governors & Premiers,binational_body,binational,Eight Great Lakes states and two provinces,Water;Ecology / Biodiversity;Freight / Industry,Executive-level regional coordination and policy framework for water management and restoration.,s14_gsgp,high,real,verified,"The framework is not substituted for state permits, federal regulation, or local operations."
GA-019,International Joint Commission,binational_body,binational,United States–Canada boundary waters,Water;Ecology / Biodiversity;Data / Sensors / Security,"Binational reference, advisory, investigative, and coordination functions under the Boundary Waters Treaty framework.",s16_ijc,limited,real,inferred,The available page was not fully retrievable in this run; no direct domestic permit or enforcement power is asserted.
GA-020,U.S.–Canada Great Lakes Water Quality Agreement parties,binational_body,binational,Great Lakes basin,Water;Ecology / Biodiversity;Biogeochemical / Nutrient Flux,"Agreement framework for binational objectives, annex coordination, reporting, and implementation by responsible governments.",s15_glwqa,moderate,real,verified,The agreement framework is not treated as a stand-alone domestic regulator or individual permit.
GA-021,Great Lakes Indian Fish & Wildlife Commission,intertribal_body,tribal,Treaty-ceded territories served by member Ojibwe tribes,Ecology / Biodiversity;Water;Data / Sensors / Security,"Intertribal natural-resource management, treaty-rights support, conservation enforcement support, legal/policy analysis, and public information.",s17_glifwc,high,real,verified,"GLIFWC is an intertribal resource body, not a single sovereign nation; it is not assigned current Western Basin jurisdiction without nation- and treaty-specific evidence."
GA-022,Pokagon Band of Potawatomi Indians,tribal_sovereign,tribal,Nation-specific government and citizens,Water;Ecology / Biodiversity;Environmental Health / Exposure,Federally recognized tribal government and potential consultation/resource-interest interface.,s19_pokagon,moderate,real,verified,"No current Western Basin territorial or permitting authority is inferred from sovereignty, history, or regional interest alone."
GA-023,Little Traverse Bay Bands of Odawa Indians,tribal_sovereign,tribal,Nation-specific government and Great Lakes treaty/resource context,Water;Ecology / Biodiversity;Environmental Health / Exposure,Nation-specific sovereign and treaty/resource-interest interface for consultation review.,s20_ltbb,limited,real,verified,Current project-specific authority in the Western Basin remains unresolved and is not represented as a polygon.
GA-024,Federal Energy Regulatory Commission,federal_agency,federal,Interstate electricity and wholesale energy jurisdiction,Energy / Grid / Compute,"Regulates interstate transmission and wholesale electricity, enforces requirements, oversees markets, and approves/oversees defined energy facilities.",s21_ferc,high,real,verified,"FERC is not local distribution operation, retail regulation, or utility ownership."
GA-025,North American Electric Reliability Corporation,interstate_body,interstate,North American bulk power system,Energy / Grid / Compute,Develops and administers reliability standards and compliance functions within the FERC-approved reliability framework.,s23_nerc,high,real,verified,NERC standards are distinct from asset ownership and physical control of local facilities.
GA-026,PJM Interconnection,system_operator,interstate,PJM footprint including Ohio and Michigan interfaces,Energy / Grid / Compute;Data / Sensors / Security,"Operates the wholesale electricity market, manages high-voltage grid operations, coordinates movement of wholesale electricity, and plans regionally.",s24_pjm,high,real,verified,PJM is not a utility owner and is not the local distribution operator for every customer.
GA-027,Public Utilities Commission of Ohio,state_agency,state,Ohio utility and transportation services,Energy / Grid / Compute;Water;Freight / Industry,State economic and service regulation of specified utility and transportation providers.,s25_puco,high,real,verified,"PUCO regulation is distinct from physical generation, transmission, distribution, water-treatment, or freight operation."
GA-028,U.S. Nuclear Regulatory Commission,federal_agency,federal,United States civilian nuclear materials and facilities,Energy / Grid / Compute;Environmental Health / Exposure,"Licensing, inspection, enforcement, and regulation of commercial nuclear power and other civilian nuclear materials.",s26_nrc,high,real,verified,NRC nuclear regulation is distinct from grid-market operation and utility asset ownership.
GA-029,U.S. Department of Energy,federal_agency,federal,United States,Energy / Grid / Compute;Data / Sensors / Security,"Federal research, coordination, technical assistance, and funding context for grid modernization.",s27_doe,moderate,real,verified,DOE support and coordination do not equal local grid dispatch or ownership.
GA-030,FirstEnergy / Toledo Edison,private_operator,private,FirstEnergy Ohio electric service context,Energy / Grid / Compute,Investor-owned electric utility ownership and operation context for generation/transmission/distribution subsidiaries.,s28_firstenergy,high,real,verified,The source does not establish a facility-specific Toledo service assignment; no exact local asset map is created.
GA-031,Ohio Department of Transportation,state_agency,state,Ohio public transportation system,Freight / Industry;Climate / Natural Hazards,"State transportation planning, public-road ownership/operation context, and funding coordination.",s39_odot,moderate,real,verified,"Public highway responsibility is not operation of private rail, marine, or industrial networks."
GA-032,Federal Highway Administration,federal_agency,federal,United States / National Highway Freight Network,Freight / Industry,"Federal freight planning, data, program guidance, and discretionary infrastructure funding.",s29_fhwa,high,real,verified,FHWA funding/planning does not mean FHWA operates local roads or private freight carriers.
GA-033,Federal Railroad Administration,federal_agency,federal,United States rail network,Freight / Industry;Climate / Natural Hazards,"Issues, implements, and enforces rail-safety regulations; selectively invests and conducts research/planning.",s30_fra,high,real,verified,FRA regulation and funding are distinct from private railroad ownership and train operation.
GA-034,Maritime Administration,federal_agency,federal,United States maritime system,Freight / Industry,"Federal maritime policy, assistance, and planning context for ports and marine transportation.",s31_marad,moderate,real,verified,"MARAD is not the operator of every port, terminal, vessel, or cargo movement."
GA-035,Toledo-Lucas County Port Authority,regional_authority,regional authority,Port-authority facilities and regional development programs,Freight / Industry;Energy / Grid / Compute,"Public port-authority ownership, control, financing, development, and regional economic/transportation functions for authority facilities.",s32_port,high,real,verified,"Port-authority facilities and financing do not convert private rail, vessel, or industrial operations into public operation."
GA-036,Norfolk Southern Railway,private_operator,private,Private rail network / served facilities,Freight / Industry,Private railroad ownership and operation context.,s41_norfolk_southern,moderate,real,verified,Public rail safety regulation and infrastructure funding do not establish public operation or ownership.
GA-037,CSX Transportation,private_operator,private,Private rail network / served facilities,Freight / Industry,Private railroad ownership and operation context.,s42_csx,moderate,real,verified,Specific local route or facility authority is not inferred from the company identity.
GA-038,Lucas County,county_government,county,Lucas County,Climate / Natural Hazards;Water;Environmental Health / Exposure;Freight / Industry,"County planning, coordination, public-service, and mitigation-partner context; precise delegated authority varies by program.",s35_fema_mitigation,moderate,real,inferred,"The package does not assume county ownership or control of all floodplains, utilities, roads, or private assets."
GA-039,Toledo-Lucas County Health Department,special_district,special district,Toledo and Lucas County health district,Environmental Health / Exposure;Water;Climate / Natural Hazards,"Local public-health monitoring, advice, warning, and response interface.",s40_lucas_health,limited,real,verified,Environmental monitoring or public-health advice is not automatically medical treatment authority over environmental systems or utility operation.
GA-040,Ohio Department of Health,state_agency,state,Ohio,Environmental Health / Exposure;Water,State public-health and private-water regulatory/monitoring context.,s38_odh,moderate,real,verified,Medical/public-health authority is distinct from environmental permitting and municipal water operation.
