source_id,title,url,source_type,publication_or_period,retrieval_date,geographic_scale,method_or_product,evidence_use,use_limitations,retrieval_url,retrieval_provenance
v12_cdc_tick_sets,CDC — Tick Surveillance Data Sets,https://www.cdc.gov/ticks/data-research/facts-stats/tick-surveillance-data-sets.html,federal_surveillance,2023/2025 data definitions; accessed 2026-09-08,2026-09-08,United States / county,ArboNET tick-module status definitions,Established/reported/no-record status definitions and non-absence caveat,County status is cumulative and sampling/reporting is heterogeneous; no-records is not absence.,,
v12_cdc_ixodes,CDC — Blacklegged Tick Surveillance,https://www.cdc.gov/ticks/data-research/facts-stats/blacklegged-tick-surveillance.html,federal_surveillance,2025 map and current page; accessed 2026-09-08,2026-09-08,United States / county and modeled suitability context,ArboNET county status and map,Ixodes scapularis established-status definition and seasonality,"Six-or-more threshold is a status rule, not an abundance index; current workbook used here is the 2023 summary.",https://restoredcdc.org/www.cdc.gov/ticks/media/files/2024/04/Public_Use_Ixodes_County_Table_2024_summary.xlsx,Actual workbook bytes retrieved from restoredcdc.org mirror; mirror is not CDC-hosted; direct CDC binary URL returned HTTP 403.
v12_cdc_dvariabilis,CDC — American Dog Tick Surveillance,https://www.cdc.gov/ticks/data-research/facts-stats/american-dog-tick-surveillance.html,federal_surveillance,2025 map and current page; accessed 2026-09-08,2026-09-08,United States / county and broad distribution,ArboNET/locality-record map,Dermacentor variabilis broad regional relevance and surveillance caveat,No current core-county D. variabilis workbook was ingested; no local abundance claim is made.,,
v12_cdc_lyme,CDC — Lyme Disease Surveillance and Data,https://www.cdc.gov/lyme/data-research/facts-stats/index.html,federal_surveillance,2023 case-surveillance context; accessed 2026-09-08,2026-09-08,United States / county of residence,NNDSS surveillance guidance,Context for the distinction between human case records and exposure/transmission location,"Human cases are not vector records, local transmission proof, or exposure locations.",,
phase1_hydrology_context,Accepted Phase 1 hydrology and wetlands context,reports/water_system_manifest.json,repository_accepted_layer,accepted current-development layer,2026-09-08,Western Basin / watershed and wetland,accepted water-system and hydrography artifacts,"Generalized standing-water, wetland, tributary, and floodplain interface",Reused context only; does not create vector detections or a hydrologic risk surface.,,
phase6_ecology_context,Accepted Phase 6 ecology and biodiversity context,reports/phase6a_ecology_freeze_manifest.json,repository_accepted_layer,accepted/frozen ecological layer,2026-09-08,Western Basin / ecological systems,accepted ecology nodes and relationships,"Generalized wetland, riparian, terrestrial, and host-ecology interface",Reused context only; Great Black Swamp remains held and noncanonical.,,
phase7_health_context,Accepted Phase 7 environmental-health context,reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository_accepted_layer,accepted/frozen exposure-context layer,2026-09-08,Western Basin / pathway context,accepted exposure pathway and monitoring artifacts,Potential vector-related environmental-health interface without exposure or dose,"No individual exposure, dose, illness, or disease attribution is added.",,
phase9_climate_context,Accepted Phase 9 climate and natural-hazard context,reports/phase9a_climate_natural_hazards_freeze_manifest.json,repository_accepted_layer,accepted/frozen climate layer,2026-09-08,"Western Basin / station, county, watershed, shoreline",accepted climate observations and qualitative dependencies,"Temperature, precipitation, drought, and flooding context",Reused context only; no future range or hazard surface is generated.,,
phase10_governance_context,Accepted Phase 10 governance/surveillance context,reports/phase10b_governance_dependencies_coordination_freeze_manifest.json,repository_accepted_layer,accepted/frozen governance layer,2026-09-08,Western Basin / institutional and program scales,"accepted governance actors, roles, and coordination artifacts","Surveillance, monitoring, warning, data, and decision interfaces",Monitoring is not control and program participation is not proof of complete coverage.,,
phase11_population_context,Accepted Phase 11 population/settlement context,reports/phase11b_population_mobility_dependencies_freeze_manifest.json,repository_accepted_layer,accepted/frozen population/mobility layer,2026-09-08,"Western Basin / county, place, generalized employment",accepted population and mobility artifacts,Population concentration and settlement/workplace interface,"Population presence is not contact, exposure, infection, or disease risk.",,
phase4_data_context,Accepted Phase 4 observation/data context,reports/observation_system_manifest.json,repository_accepted_layer,accepted/frozen observation layer,2026-09-08,Western Basin / station and information chain,accepted observation-to-decision artifacts,"Detection, data availability, uncertainty, and decision-interface context",Observation coverage is heterogeneous and is not treated as complete surveillance.,,
