source_id,title,url,source_type,evidence_role,publication_or_update,retrieval_date,geographic_scope,use_limitations,retrieval_status
s12_nrcs_eqip,Environmental Quality Incentives Program,https://www.nrcs.usda.gov/programs-initiatives/environmental-quality-incentives-program,federal_assistance_program,conservation funding and technical assistance,current page,2026-09-04,United States / Ohio,Financial assistance is not a general mandatory nutrient rule.,retrieved
s13_glc,Great Lakes Commission — About,https://www.glc.org/about/,interstate_compact_agency,regional policy and advisory coordination,updated 2016-09-07 page,2026-09-04,Great Lakes states and Canadian observers,Recommendations and coordination are not generalized environmental regulation.,retrieved
s14_gsgp,Great Lakes–St. Lawrence Governors & Premiers Water Management,https://www.cglg.org/projects/water-management/,interstate_binational_framework,compact/agreement implementation coordination,current page,2026-09-04,Eight states and two provinces,Framework and coordination are not substituted for permits or operations.,retrieved
s15_glwqa,Great Lakes Water Quality Agreement,https://www.epa.gov/glwqa,binational_agreement,binational agreement framework,current landing page,2026-09-04,Great Lakes basin,Landing-page extraction was sparse; no domestic legal power is inferred from the agreement alone.,retrieved_limited
s16_ijc,International Joint Commission — What We Do,https://ijc.org/en/who-we-are/what-we-do,binational_treaty_body,binational advisory and coordination context,current page target,2026-09-04,United States–Canada boundary waters,Page was not fully retrievable in this run; roles are intentionally bounded and marked limited.,reference_only
s17_glifwc,Great Lakes Indian Fish & Wildlife Commission,https://www.glifwc.org/,tribal_intergovernmental_body,tribal treaty-rights resource management and information,current page,2026-09-04,Treaty-ceded territories served by member tribes,Does not establish current Western Basin jurisdiction for every member nation.,retrieved
s18_epa_tribal,Environmental Protection in Indian Country,https://www.epa.gov/tribalportal,federal_tribal_policy,tribal-government involvement and environmental programs,current page,2026-09-04,United States Indian Country,General federal-tribal context; not a nation-specific Western Basin jurisdiction determination.,retrieved
s19_pokagon,Pokagon Band of Potawatomi,https://pokagonband-nsn.gov/,tribal_primary_source,nation-specific sovereign-government identity,current page,2026-09-04,Nation-specific,Supports sovereign identity only; no current Western Basin authority is inferred.,retrieved_limited
s20_ltbb,Little Traverse Bay Bands of Odawa Indians,https://www.ltbodawa-nsn.gov/,tribal_primary_source,nation-specific sovereign/treaty-resource context,current page target,2026-09-04,Nation-specific / Great Lakes,No current Western Basin project jurisdiction is inferred; site access was limited.,reference_only
s21_ferc,What FERC Does,https://ferc.gov/what-ferc-does,federal_regulator,interstate energy regulation and enforcement,current page,2026-09-04,United States interstate energy,"FERC expressly excludes local distribution, retail, and nuclear regulation from many responsibilities.",retrieved
s22_ferc_pjm,PJM — FERC Electric Power Markets,https://www.ferc.gov/industries-data/electric/electric-power-markets/pjm,federal_regulatory_context,PJM federal market/regulatory context,updated 2026-06-18 page,2026-09-04,PJM footprint,FERC page describes PJM market/grid roles; it does not establish local asset ownership.,retrieved
s23_nerc,NERC Reliability Standards,https://www.nerc.com/pa/Stand/Pages/Default.aspx,reliability_standard_body,bulk-power reliability standards,current page,2026-09-04,North American bulk power system,Standards and compliance framework are distinct from physical asset ownership and local distribution operation.,retrieved
s24_pjm,PJM — Who We Are,https://www.pjm.com/about-pjm/who-we-are,regional_transmission_operator,wholesale market and high-voltage system operation,current page,2026-09-04,PJM footprint,PJM operation is not utility ownership or retail distribution control.,retrieved
s25_puco,Ohio Public Utilities Commission — About Us,https://puco.ohio.gov/about-us,state_regulator,utility and transportation economic/service regulation,current page,2026-09-04,Ohio,Regulatory role does not establish physical operation.,retrieved
s26_nrc,About NRC,https://www.nrc.gov/about-nrc.html,federal_regulator,"nuclear licensing, inspection, and enforcement",updated 2026-08-27 page,2026-09-04,United States,Nuclear regulator is not grid market operator or utility owner.,retrieved
s27_doe,Grid Modernization and the Smart Grid,https://www.energy.gov/oe/activities/technology-development/grid-modernization-and-smart-grid,federal_program,grid modernization research and coordination,current page,2026-09-04,United States,Coordination and research do not establish dispatch or ownership.,retrieved
s28_firstenergy,FirstEnergy — About Us,https://www.firstenergycorp.com/about.html,private_utility_source,private utility ownership and operation context,current page,2026-09-04,Midwest and Mid-Atlantic service context,Corporate service-area description is not a facility-specific Toledo assignment.,retrieved
s29_fhwa,FHWA Freight Management and Operations,https://ops.fhwa.dot.gov/freight/,federal_program,"freight planning, data, and funding",current page,2026-09-04,United States,Planning and funding do not equal carrier operation.,retrieved
s30_fra,FRA Rail Network Development,https://railroads.dot.gov/rail-network-development,federal_regulator_program,"rail safety regulation, enforcement, investment, and planning",updated 2024-12-27 page,2026-09-04,United States,FRA is not a private railroad operator.,retrieved
s31_marad,Maritime Administration,https://www.maritime.dot.gov/,federal_maritime_program,maritime policy and assistance,current page target,2026-09-04,United States,No port-specific operating authority is inferred.,reference_only
s32_port,Toledo-Lucas County Port Authority,https://toledoport.org/,regional_authority_source,public port-authority facilities and financing,current page,2026-09-04,Northwest Ohio,Homepage supports authority programs and facilities; it is not a private-carrier operating record.,retrieved
s33_ohio_port_statute,Ohio Revised Code Chapter 4582,https://codes.ohio.gov/ohio-revised-code/chapter-4582,state_statute,port-authority legal structure,current code page,2026-09-04,Ohio,Chapter-level context; a facility-specific legal conclusion requires the applicable section and facts.,retrieved
s34_fema_nfhl,Flood Data Viewers and Geospatial Data,https://www.fema.gov/flood-maps/national-flood-hazard-layer,federal_mapping_program,effective flood-hazard data and NFIP support,updated 2025-04-03 page,2026-09-04,United States / mapped communities,Mapping data are not the same as observed flood footprints or local ownership.,retrieved
s35_fema_mitigation,Hazard Mitigation Planning,https://www.fema.gov/emergency-managers/risk-management/hazard-mitigation-planning,federal_planning_program,mitigation planning and assistance context,updated 2025-03-24 page,2026-09-04,"State, tribal, and local governments",Planning and assistance conditions do not make FEMA the local operator.,retrieved
s36_nws,About the National Weather Service,https://www.weather.gov/about,federal_warning_service,weather/water/climate forecasts and warnings,current page,2026-09-04,United States,Warning and decision support do not equal emergency command or infrastructure operation.,retrieved
s37_michigan_egle,Michigan EGLE Water Resources Division,https://www.michigan.gov/egle/about/organization/water-resources,state_regulatory_program,"water standards, permits, compliance, monitoring, and shoreline programs",current page,2026-09-04,Michigan / Great Lakes,Neighboring-state program context; not a Western Basin-wide jurisdiction.,retrieved
s38_odh,Ohio Department of Health Private Water Systems Program,https://odh.ohio.gov/know-our-programs/private-water-systems-program,state_health_program,private-water health/regulatory context,current page target,2026-09-04,Ohio,Page path was unavailable in this run; role is bounded and not extended to municipal operations.,reference_only
s39_odot,Ohio Department of Transportation,https://www.transportation.ohio.gov/,state_transportation_agency,state transportation planning and public infrastructure context,current site,2026-09-04,Ohio,No route-specific or private-carrier operating claim is made.,retrieved_limited
s40_lucas_health,Toledo-Lucas County Health Department,https://lucascountyhealth.com/,local_health_district,local public-health interface,current site,2026-09-04,Toledo/Lucas County,Homepage-level source; no specific environmental-health legal interpretation is made.,retrieved_limited
s41_norfolk_southern,Norfolk Southern — About Us,https://www.norfolksouthern.com/about-us,private_operator_source,private rail operation context,current site,2026-09-04,United States rail network,Operator identity does not establish public authority or a local route claim.,reference_only
s42_csx,CSX — About Us,https://www.csx.com/index.cfm/about-us/,private_operator_source,private rail operation context,current site,2026-09-04,United States rail network,Operator identity does not establish public authority or a local route claim.,reference_only
s43_eia,EIA Electricity Data,https://www.eia.gov/electricity/data.php,federal_statistical_source,public electricity ownership/asset context,current page,2026-09-04,United States,Statistics are not real-time dispatch or ownership determinations for every local asset.,reference_only
s44_ohio_oda,Ohio Department of Agriculture,https://agri.ohio.gov/,state_agency_source,agriculture agency identity and program context,current site,2026-09-04,Ohio,No broad nutrient mandate is inferred from agency identity alone.,retrieved_limited
s45_odnr,Ohio Department of Natural Resources,https://ohiodnr.gov/,state_agency_source,natural-resource agency context,current site,2026-09-04,Ohio,No site-specific permit or jurisdiction conclusion is inferred.,retrieved_limited
s46_indiana_idem,Indiana Department of Environmental Management,https://www.in.gov/idem/,state_agency_source,neighboring-state environmental program context,current site,2026-09-04,Indiana,No specific Western Basin facility or permit determination is made.,retrieved_limited
