record_id,year,vector_group,species_or_vector,pathogen,surveillance_program,surveillance_method,geographic_area,geographic_scale,sampling_effort,detection_status,observed_value,units,source_id,evidence_status,confidence,uncertainty_notes,notes
VS-TICK-18003,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Allen County, IN",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,established,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-18033,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"DeKalb County, IN",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,established,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-18151,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Steuben County, IN",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,established,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-26091,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Lenawee County, MI",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,established,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-26115,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Monroe County, MI",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39039,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Defiance County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39051,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Fulton County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39063,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Hancock County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39069,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Henry County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39095,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Lucas County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,established,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39123,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Ottawa County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,reported,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39125,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Paulding County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,reported,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39137,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Putnam County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39143,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Sandusky County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39147,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Seneca County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39161,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Van Wert County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,no records (not absence),,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39171,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Williams County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,reported,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
VS-TICK-39173,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Wood County, OH",county,County-specific collection effort not reported; established threshold is six or more ticks of one life stage or more than one life stage within 12 months,reported,,county status,v12_cdc_ixodes,documented_surveillance,high,The CDC table states that no records should not be interpreted as absence and that county status is cumulative.,"Established/reported/no-record status is a surveillance classification, not abundance or precise local distribution."
