object_id,object_type,object_name,settlement_concentration,mobility_dependency,employment_access,housing_constraint,water_dependency,wastewater_dependency,energy_dependency,transport_dependency,climate_hazard_interface,environmental_health_interface,governance_dependency,service_access,data_certainty,notes
MUNI-1852992,municipality,New Haven city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2600440,municipality,Adrian city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2623380,municipality,Dundee village,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2645420,municipality,Lambertville CDP,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2653920,municipality,Milan city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2655020,municipality,Monroe city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2675140,municipality,South Monroe CDP,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2679120,municipality,Tecumseh city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-2679240,municipality,Temperance CDP,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3907972,municipality,Bowling Green city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3909792,municipality,Bryan city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3916308,municipality,Clyde city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3921308,municipality,Defiance city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3927048,municipality,Findlay city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3928014,municipality,Fostoria city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3928826,municipality,Fremont city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3948342,municipality,Maumee city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3953550,municipality,Napoleon city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3957190,municipality,Northwood city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3958730,municipality,Oregon city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3962148,municipality,Perrysburg city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3964150,municipality,Port Clinton city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3968686,municipality,Rossford city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3976022,municipality,Sylvania city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3976778,municipality,Tiffin city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3977000,municipality,Toledo city,strong,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_s03_toledo_treatment;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr;phase10_governance_context; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3979562,municipality,Van Wert city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3981858,municipality,Waterville city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-3981928,municipality,Wauseon city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
