source_id,title,url,source_type,publication_or_period,retrieval_date,geographic_scale,method_or_product,evidence_use,use_limitations,retrieval_url,retrieval_provenance
s13_cdc_nhsn,CDC National Healthcare Safety Network,https://www.cdc.gov/nhsn/about-nhsn/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,healthcare facilities / state / regional / national,facility reporting and HAI tracking system,"general HAI surveillance, facility participation, reporting, and benchmarking interface",Facility participation and HAI measures do not describe community incidence or rank local facilities in this phase.,https://www.cdc.gov/nhsn/about-nhsn/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_ar,CDC Antibiotic Resistance Threats Report,https://www.cdc.gov/antimicrobial-resistance/data-research/threats/index.html,federal_surveillance,2019 report page; accessed 2026-09-09,2026-09-09,United States / national estimates and threat categories,AR burden estimates and threat categories,generalized antimicrobial-resistance surveillance/response context,National estimates are not Western Basin observations and are not used as a regional burden estimate.,https://www.cdc.gov/antimicrobial-resistance/data-research/threats/index.html,web_extract/source-page verification on 2026-09-09
s13_ind_reportable,Indiana Communicable Disease Reporting,https://www.in.gov/health/idepd/communicable-disease-reporting,state_surveillance,current reportable-disease reporting page; accessed 2026-09-09,2026-09-09,Indiana / healthcare-provider and hospital reporting,reportable-condition list and NBS/forms,state reporting pathway and reportable-condition interface,Reporting requirements do not supply a comparable incidence denominator for every listed condition.,https://www.in.gov/health/idepd/communicable-disease-reporting,web_extract/source-page verification on 2026-09-09
s13_ohio_vector,Ohio Vector-borne Disease Surveillance Update,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/news/vectorborne-disease-update,state_surveillance,2025 annual summary used in accepted Phase 12 context,2026-09-09,Ohio / agency and county,pooled mosquito surveillance and human-case reporting,Ohio WNV and other vector-surveillance observations,Counts retain program denominators and are not comparable to human case counts or other states without harmonization.,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/news/vectorborne-disease-update,web_extract/source-page verification on 2026-09-09
s13_mi_vector,Michigan EZID Annual Surveillance Summary,https://www.michigan.gov/emergingdiseases/-/media/Project/Websites/emergingdiseases/EZID_Annual_Surveillance_Summary.pdf,state_surveillance,2023 annual summary,2026-09-09,Michigan / participating local health departments,"mosquito pooling, identification, and laboratory testing",Michigan WNV/arbovirus surveillance context,Participating jurisdictions and methods vary; positive pools are not human cases or incidence.,https://www.michigan.gov/emergingdiseases/-/media/Project/Websites/emergingdiseases/EZID_Annual_Surveillance_Summary.pdf,web_extract/source-page verification on 2026-09-09
phase7_exposure,Accepted Phase 7A exposure/environmental-health layer,reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 layer,2026-09-09,Western Basin / pathway and monitoring context,accepted exposure pathways and monitoring boundaries,"source-water, recreational-water, HAB, and exposure-evidence separation","Reused context only; no infectious disease, dose, illness, or individual exposure is imported.",reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator
phase9_climate,Accepted Phase 9 climate/natural-hazard layer,reports/phase9a_climate_natural_hazards_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 physical and scenario layer,2026-09-09,"Western Basin / station, county, watershed, shoreline",accepted climate/hazard observations and interfaces,"temperature, precipitation, flooding, drought, lake/coastal, and seasonal context",Reused context only; no disease suitability or incidence relationship is inferred.,reports/phase9a_climate_natural_hazards_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator
phase11_population,Accepted Phase 11 population/settlement layer,reports/phase11a_population_settlement_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 population/mobility layer,2026-09-09,"Western Basin / county, place, generalized employment",accepted population and settlement tables,"population, settlement, workplace, and mobility context","Population presence is not contact, exposure, infection, disease, or local risk.",reports/phase11a_population_settlement_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator
phase12_vector,Accepted Phase 12 vector-ecology layer,reports/phase12a_vector_ecology_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 vector ecology/dependency/futures layers,2026-09-09,"Western Basin / county, habitat, program, and generalized ecology",accepted vector surveillance and ecology artifacts,"vector presence, pathogen-in-vector, habitat, method, and surveillance boundaries",Vector ecology is reused; vector detection is not human infection and county status is not local disease burden.,reports/phase12a_vector_ecology_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator
phase4_information,Accepted Phase 4 observation/information layer,reports/phase4b_information_freeze_manifest.json,repository_accepted_layer,accepted/frozen observation and information layers,2026-09-09,"Western Basin / station, program, agency, and information chain",accepted public observation-to-decision artifacts,"observation, data, uncertainty, and decision-interface context",Monitoring and information availability are not complete surveillance or control effectiveness.,reports/phase4b_information_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator
phase10_governance,Accepted Phase 10 governance/jurisdiction layer,reports/phase10a_governance_jurisdiction_freeze_manifest.json,repository_accepted_layer,accepted/frozen 2026 institutional layer,2026-09-09,Western Basin / institutional and program scales,"accepted actor, authority, and coordination artifacts","institutional role, reporting, response, and governance distinctions","Monitoring, funding, advice, ownership, and information are not automatically legal authority or operational control.",reports/phase10a_governance_jurisdiction_freeze_manifest.json,repository accepted/frozen artifact reference; hash-checked by validator
s13_ind_wnv_2026,Indiana Department of Health — First 2026 WNV Case,https://events.in.gov/event/idoh-news-release-indianas-first-west-nile-virus-case-of-2026-reported-in-allen-county,state_surveillance,2026-08-28 news release,2026-09-09,Indiana / county and state summary,mosquito testing and human-case surveillance,Indiana 2026 positive-mosquito county summary and contextual Allen County human case,The release does not provide comparable county sampling effort or species counts; human case geography is residence context.,https://events.in.gov/event/idoh-news-release-indianas-first-west-nile-virus-case-of-2026-reported-in-allen-county,web_extract/source-page verification on 2026-09-09
phase12_vector_findings,Accepted Phase 12A Vector Ecology Findings,reports/vector_ecology_findings.md,repository_accepted_layer,accepted/frozen Phase 12A findings,2026-09-09,Ohio / agency and county summaries,accepted/frozen findings report preserving dated 2025 Ohio values,fixed reference for the exact 2025 Ohio vector-surveillance values reused here,The report is a protected project artifact; it does not expand the 2025 values into a current 2026 estimate.,reports/vector_ecology_findings.md,repository accepted/frozen artifact reference; hash-checked by validator
