evidence_id,dependency_id,claim_type,claim_status,source_id,evidence_basis,spatial_scale,temporal_scope,supported_statement,not_supported_statement
IDB-E-014,IDB-014,food/freight interface,inferred,phase5_freight_context,accepted_layer_plus_project_inference,regional freight/gateway/interchange,2026 context,"Freight connectivity is an interface for propagation opportunity and investigation, not evidence of a shipment or outbreak.","It does not establish a shipment, contaminated product, exposure, infection, outbreak, or incidence."
IDB-E-015,IDB-015,food/freight interface,inferred,phase5_freight_context,accepted_layer_plus_project_inference,regional freight/gateway/interchange,2026 context,"Food/freight connectivity is an interface, not a shipment, contaminated product, exposure, infection, incidence, or outbreak finding.","It does not establish a shipment, contaminated product, exposure, infection, outbreak, or incidence."
IDB-E-016,IDB-016,surveillance dependency,documented,s13_cdc_enteric,documented_source,state/territorial/national laboratory,current program context,Laboratory and case surveillance identifies reported records; it does not capture all community infections or exposure locations.,"It does not establish a shipment, contaminated product, exposure, infection, outbreak, or incidence."
IDB-E-017,IDB-017,surveillance dependency,documented,s13_cdc_foodnet,documented_source,state/territorial/FoodNet surveillance area,current program context,FoodNet is complementary surveillance with its own coverage and denominator; it is not a Western Basin incidence estimate.,"It does not establish a shipment, contaminated product, exposure, infection, outbreak, or incidence."
IDB-E-018,IDB-018,institutional response dependency,inferred,s13_cdc_nors,accepted_layer_plus_project_inference,state/local/territorial investigation,current program context,Outbreak reporting can support investigation and coordination; this is not outbreak evidence and connectivity is not an outbreak assertion.,"It does not establish a shipment, contaminated product, exposure, infection, outbreak, or incidence."
IDB-E-019,IDB-019,population/contact interface,inferred,phase11_population,accepted_layer_plus_project_inference,county/place/generalized settlement,2026 context,Population concentration is an interface for contact structure only; no density-to-incidence relationship is estimated.,"It does not establish contact events, infection, incidence, or transmission from density or mobility."
IDB-E-020,IDB-020,mobility interface,inferred,phase11_mobility_context,accepted_layer_plus_project_inference,county/place/generalized mobility,2026 context,"Aggregate mobility and commuting do not identify transmission, contacts, infections, or local incidence.","It does not establish contact events, infection, incidence, or transmission from density or mobility."
IDB-E-021,IDB-021,population/contact interface,inferred,s13_cdc_flu_methods,project_inference,community/setting/generalized,2026 context,"Respiratory contact opportunity is a systems interface, not a population-density incidence model.","It does not establish contact events, infection, incidence, or transmission from density or mobility."
IDB-E-022,IDB-022,surveillance dependency,documented,s13_cdc_wastewater,documented_source,sewershed/community/state/regional,current program context,Wastewater supplies a community-level signal; it does not determine the number of infections or individual exposure.,"It does not establish contact events, infection, incidence, or transmission from density or mobility."
IDB-E-023,IDB-023,surveillance dependency,documented,s13_cdc_flu_methods,documented_source,national/HHS region/state/stream,2026 weekly program context,"Influenza laboratory, outpatient, hospital, and mortality streams have distinct denominators and are not one transmission rate.","It does not establish contact events, infection, incidence, or transmission from density or mobility."
IDB-E-024,IDB-024,institutional response dependency,inferred,phase10_coordination_context,accepted_layer_plus_project_inference,program/agency/jurisdiction,2026 context,Detection can inform response interfaces; surveillance intensity is not disease intensity and response effectiveness is not estimated.,"It does not establish contact events, infection, incidence, or transmission from density or mobility."
IDB-E-025,IDB-025,ecological mediator,inferred,phase6_ecology_context,accepted_layer_plus_project_inference,regional ecology/wildlife/domestic animal,2026 context,"Generalized host ecology is retained without an animal abundance, contact, or infection estimate.","It does not establish animal-to-human exposure, infection, clinical disease, or local transmission."
IDB-E-026,IDB-026,population/contact interface,documented,s13_cdc_rabies,documented_source,wildlife/domestic animal/exposure investigation,current public-health context,Rabies animal contact and potential-exposure pathways are documented; human infection or disease is not inferred.,"It does not establish animal-to-human exposure, infection, clinical disease, or local transmission."
IDB-E-027,IDB-027,population/contact interface,inferred,s13_cdc_rabies,documented_source_plus_project_inference,occupational/exposure investigation,current public-health context,"Potential contact is not documented exposure, infection, clinical disease, or disease burden.","It does not establish animal-to-human exposure, infection, clinical disease, or local transmission."
IDB-E-028,IDB-028,surveillance dependency,documented,s13_cdc_rabies,documented_source,animal-control/veterinary/public-health,current program context,"Animal testing, exposure assessment, and post-exposure prophylaxis are separate response records.","It does not establish animal-to-human exposure, infection, clinical disease, or local transmission."
IDB-E-029,IDB-029,institutional response dependency,inferred,phase10_coordination_context,accepted_layer_plus_project_inference,animal/state/exposure investigation,current program context,Surveillance can inform coordination; a response interface is not proof of complete detection or outcome.,"It does not establish animal-to-human exposure, infection, clinical disease, or local transmission."
IDB-E-030,IDB-030,surveillance dependency,documented,s13_cdc_rabies,documented_source,animal-control/veterinary/public-health,current program context,Animal surveillance and human case surveillance remain distinct streams.,"It does not establish animal-to-human exposure, infection, clinical disease, or local transmission."
IDB-E-031,IDB-031,healthcare interface,documented,s13_cdc_nhsn,documented_source,facility/state/regional/national,current program context,Healthcare presence != facility-level disease burden; healthcare-associated infection surveillance is a facility reporting interface.,"It does not establish facility-level prevalence, community incidence, resistance burden, or outcome."
IDB-E-032,IDB-032,healthcare interface,documented,s13_cdc_ar,documented_source,facility/state/regional/national,current program context,Generalized AR surveillance is retained without transferring national estimates to the Western Basin or ranking facilities.,"It does not establish facility-level prevalence, community incidence, resistance burden, or outcome."
IDB-E-033,IDB-033,infrastructure dependency,inferred,phase3_energy_context,accepted_layer_plus_project_inference,regional/generalized infrastructure,2026 context,"Energy dependency is a continuity interface only; no outage probability, facility performance, disease burden, or health outcome is modeled.","It does not establish facility-level prevalence, community incidence, resistance burden, or outcome."
IDB-E-034,IDB-034,surveillance dependency,documented,s13_cdc_nhsn,documented_source,facility/state/regional/national,current program context,NHSN provides standardized facility reporting context; it is not a community-incidence denominator.,"It does not establish facility-level prevalence, community incidence, resistance burden, or outcome."
IDB-E-035,IDB-035,surveillance dependency,documented,s13_cdc_ar,documented_source,facility/state/regional/national,current program context,AMR observations are a generalized detection/response interface; national estimates are not regional observations.,"It does not establish facility-level prevalence, community incidence, resistance burden, or outcome."
IDB-E-036,IDB-036,institutional response dependency,inferred,phase10_coordination_context,accepted_layer_plus_project_inference,facility/state/regional/program,current program context,Surveillance can support coordination and infection-control interfaces; it does not establish facility-level prevalence or response effectiveness.,"It does not establish facility-level prevalence, community incidence, resistance burden, or outcome."
