source_id,title,url,source_type,source_product,reference_year,release_year,estimate_period,geographic_scale,observed_estimated_modeled,retrieval_date,use_limitations
s11b_lodes_oh_rac,LEHD LODES 8.4 OH RAC,https://lehd.ces.census.gov/data/lodes/LODES8/oh/rac/oh_rac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 RAC 2023,2023,2025,2023,residence block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_oh_od,LEHD LODES 8.4 OH OD,https://lehd.ces.census.gov/data/lodes/LODES8/oh/od/oh_od_main_JT00_2023.csv.gz,federal_lehd,LODES 8.4 OD 2023,2023,2025,2023,origin-destination block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_oh_xwalk,LEHD LODES 8.4 OH XWALK,https://lehd.ces.census.gov/data/lodes/LODES8/oh/oh_xwalk.csv.gz,federal_lehd,LODES 8.4 XWALK 2023,2023,2025,2023,block-to-geography crosswalk,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_mi_wac,LEHD LODES 8.4 MI WAC,https://lehd.ces.census.gov/data/lodes/LODES8/mi/wac/mi_wac_S000_JT00_2021.csv.gz,federal_lehd,LODES 8.4 WAC 2021,2021,2025,2021,workplace block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_mi_rac,LEHD LODES 8.4 MI RAC,https://lehd.ces.census.gov/data/lodes/LODES8/mi/rac/mi_rac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 RAC 2023,2023,2025,2023,residence block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_mi_od,LEHD LODES 8.4 MI OD,https://lehd.ces.census.gov/data/lodes/LODES8/mi/od/mi_od_main_JT00_2021.csv.gz,federal_lehd,LODES 8.4 OD 2021,2021,2025,2021,origin-destination block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_mi_xwalk,LEHD LODES 8.4 MI XWALK,https://lehd.ces.census.gov/data/lodes/LODES8/mi/mi_xwalk.csv.gz,federal_lehd,LODES 8.4 XWALK 2023,2023,2025,2023,block-to-geography crosswalk,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_in_wac,LEHD LODES 8.4 IN WAC,https://lehd.ces.census.gov/data/lodes/LODES8/in/wac/in_wac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 WAC 2023,2023,2025,2023,workplace block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_in_rac,LEHD LODES 8.4 IN RAC,https://lehd.ces.census.gov/data/lodes/LODES8/in/rac/in_rac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 RAC 2023,2023,2025,2023,residence block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_in_od,LEHD LODES 8.4 IN OD,https://lehd.ces.census.gov/data/lodes/LODES8/in/od/in_od_main_JT00_2023.csv.gz,federal_lehd,LODES 8.4 OD 2023,2023,2025,2023,origin-destination block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
s11b_lodes_in_xwalk,LEHD LODES 8.4 IN XWALK,https://lehd.ces.census.gov/data/lodes/LODES8/in/in_xwalk.csv.gz,federal_lehd,LODES 8.4 XWALK 2023,2023,2025,2023,block-to-geography crosswalk,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
phase10_s03_toledo_treatment,Accepted Phase 10 Toledo water-treatment source,reports/governance_baseline_sources.md?s03_toledo_treatment,repository_accepted_source,Phase 10A accepted institutional source registry,2026,2026,current page context,municipal/service context,observed,2026-09-08,Supports Toledo operator context only; does not assign every resident to the utility or resolve the intake-coordinate hold.
phase10_s05_ohio_npdes,Accepted Phase 10 Ohio EPA permitting source,reports/governance_baseline_sources.md?s05_ohio_npdes,repository_accepted_source,Phase 10A accepted institutional source registry,2026,2026,current program context,state/program,observed,2026-09-08,Supports wastewater/regulatory interface; permit context is not actual load or exact service territory.
phase10_s24_pjm,Accepted Phase 10 PJM source,reports/governance_baseline_sources.md?s24_pjm,repository_accepted_source,Phase 10A accepted institutional source registry,2026,2026,current program context,interstate/system,observed,2026-09-08,"Supports wholesale/high-voltage system-operation context, not local distribution assignment."
phase10_s28_firstenergy,Accepted Phase 10 private utility source,reports/governance_baseline_sources.md?s28_firstenergy,repository_accepted_source,Phase 10A accepted institutional source registry,2026,2026,current corporate context,private/service context,observed,2026-09-08,Supports private utility interface only; no facility-specific Toledo service territory is inferred.
phase10_s39_odot,Accepted Phase 10 Ohio transportation source,reports/governance_baseline_sources.md?s39_odot,repository_accepted_source,Phase 10A accepted institutional source registry,2026,2026,current program context,state/transport,observed,2026-09-08,Supports public transport planning context; no route-level passenger movement is modeled.
phase9_hazard_context,Accepted Phase 9 climate and hazard system,reports/phase9a_climate_natural_hazards_freeze_manifest.json,repository_accepted_layer,Phase 9A/9B accepted hazard context,2026,2026,2025-2026 observations and context,station/county/regional,observed,2026-09-08,Reused interface only; physical hazard is not converted to exposure or health outcome.
phase7_exposure_context,Accepted Phase 7 environmental-health pathway context,reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository_accepted_layer,Phase 7A accepted exposure-context layer,2026,2026,current pathway context,regional/pathway,observed,2026-09-08,"Reused pathway interface only; population presence is not exposure, dose, or illness."
phase6_ecology_context,Accepted Phase 6 ecology and wetland context,reports/phase6a_ecology_freeze_manifest.json,repository_accepted_layer,Phase 6A accepted ecology layer,2026,2026,current ecological context,regional/wetland,observed,2026-09-08,Reused ecological interface only; no habitat quality or biodiversity score is created.
phase8_biogeochemical_context,Accepted Phase 8 biogeochemical and nutrient context,reports/phase8a_biogeochemical_nutrient_flux_freeze_manifest.json,repository_accepted_layer,Phase 8A accepted nutrient/flux layer,2026,2026,current system context,regional/watershed,observed,2026-09-08,Reused material-flow interface only; no new load or treatment performance is estimated.
phase10_governance_context,Accepted Phase 10 governance and service-responsibility context,reports/phase10b_governance_dependencies_coordination_freeze_manifest.json,repository_accepted_layer,Phase 10A/10B accepted governance layer,2026,2026,current institutional context,municipal/county/regional,observed,2026-09-08,Reused governance interface only; municipal boundary is not a universal service territory.
s11b_lodes_oh_wac_rac,LEHD LODES 8.4 OH WAC/RAC comparison,https://lehd.ces.census.gov/data/lodes/LODES8/oh/wac/oh_wac_S000_JT00_2023.csv.gz;https://lehd.ces.census.gov/data/lodes/LODES8/oh/rac/oh_rac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 WAC/RAC comparison 2023/2023,2023/2023,2025,2023/2023,county,modeled,2026-09-08,Derived workplace-minus-resident-worker comparison; directly comparable only when WAC and RAC product years match. Michigan is intentionally not assigned a difference because WAC and RAC vintages differ.
s11b_lodes_mi_wac_rac,LEHD LODES 8.4 MI WAC/RAC comparison,https://lehd.ces.census.gov/data/lodes/LODES8/mi/wac/mi_wac_S000_JT00_2021.csv.gz;https://lehd.ces.census.gov/data/lodes/LODES8/mi/rac/mi_rac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 WAC/RAC comparison 2021/2023,2021/2023,2025,2021/2023,county,modeled,2026-09-08,Derived workplace-minus-resident-worker comparison; directly comparable only when WAC and RAC product years match. Michigan is intentionally not assigned a difference because WAC and RAC vintages differ.
s11b_lodes_in_wac_rac,LEHD LODES 8.4 IN WAC/RAC comparison,https://lehd.ces.census.gov/data/lodes/LODES8/in/wac/in_wac_S000_JT00_2023.csv.gz;https://lehd.ces.census.gov/data/lodes/LODES8/in/rac/in_rac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 WAC/RAC comparison 2023/2023,2023/2023,2025,2023/2023,county,modeled,2026-09-08,Derived workplace-minus-resident-worker comparison; directly comparable only when WAC and RAC product years match. Michigan is intentionally not assigned a difference because WAC and RAC vintages differ.
