observation_id,system_node_id,observation_type,reporting_year_or_period,geography,geographic_scale,observed_value,units,reporting_basis,numerator,denominator,case_definition_or_surveillance_definition,residence_or_exposure_basis,observed_estimated_modeled,source_id,evidence_status,confidence,uncertainty_notes,notes
IDO-011,DID-005,active_surveillance_scope,current page; post-2025 reporting change,FoodNet surveillance area,surveillance area,8,pathogens tracked historically by FoodNet,FoodNet collaboration,pathogens with active surveillance history,surveillance area includes 16% of U.S. population; ten state health departments,laboratory-diagnosed infection surveillance,surveillance-area population; not Western Basin population,observed,s13_cdc_foodnet,documented,high,FoodNet coverage and reporting rules differ from NNDSS/LEDS.,Program scope is not a Western Basin Salmonella incidence estimate.
IDO-012,DID-006,laboratory_surveillance_scope,current page,United States; state and territorial public-health laboratories,state/territorial/laboratory,laboratory-identified infections,reported laboratory infections,CDC national laboratory-based surveillance/LEDS,identified Campylobacter infections,not supplied in source page,laboratory identification of ill-person specimens,patient residence/risk-factor detail is limited and exposure is not assumed,observed,s13_cdc_enteric,documented,high,Laboratory-confirmed surveillance does not capture all community infections.,Kept distinct from FoodNet active surveillance and NORS outbreaks.
IDO-013,DID-007,laboratory_surveillance_scope,current page,United States; state and territorial public-health laboratories,state/territorial/laboratory,laboratory-identified STEC infections,reported laboratory infections,CDC national laboratory-based surveillance/LEDS,identified STEC infections,not supplied in source page,laboratory identification; NNDSS does not differentiate O157/non-O157 in the same way as LEDS,exposure source and location not assumed,observed,s13_cdc_enteric,documented,high,Subtype and reporting distinctions vary by system.,No composite enteric burden or local foodborne source is inferred.
IDO-014,DID-008,surveillance_component,2026 weekly interface,United States / HHS region / state,national/HHS region/state/stream,preliminary weekly influenza surveillance data,"laboratory specimens, positive tests, outpatient, hospital, and other stream observations",CDC FluView and FluView Interactive,stream-specific observations,stream-specific; not one denominator,component-specific surveillance methods,case geography and exposure location are stream-specific and not assumed,observed,s13_cdc_flu_methods,documented,high,Weekly data are preliminary; testing practices differ by laboratory type.,Case count is not transmission rate and hospitalization is not community incidence.
IDO-015,DID-009,wastewater_surveillance,2026 current program,community/sewershed/state/regional/national,sewershed/community,community-level viral activity observation,viral measurement/trend signal,CDC wastewater monitoring,wastewater viral measurements,sewershed population coverage; not infection denominator,wastewater viral monitoring,sewershed geography; not individual residence or exposure,observed,s13_cdc_wastewater,documented,high,CDC states the number of infections should not be determined from wastewater at this time; septic populations may be underrepresented.,"Wastewater is a complementary observation and early-warning interface, not a case count."
IDO-016,DID-010,animal_human_response_scope,current page,United States; wildlife and domestic-animal interface,animal/state/exposure investigation,"animal rabies cases, potential exposures, and PEP context",animal testing and exposure/PEP records,CDC rabies public-health guidance,records are event- and response-specific,not a denominator for all animal contacts or human infections,animal testing/exposure assessment; human clinical disease separate,"exposure investigation location, not assumed from residence",observed,s13_cdc_rabies,documented,high,"Animal cases, potential exposure, PEP, infection, and disease are separate states.",No regional animal-case inventory or human PEP count is generated.
IDO-017,DID-011,facility_surveillance_scope,current page,healthcare facilities and public-health partners,facility/state/regional/national,"approximately 25,000 participating medical facilities",participating facilities tracking HAIs,CDC NHSN,facility participation and facility-reported measures,participating-facility denominator; not community population,NHSN facility reporting and standardized HAI measures,facility reporting geography; not community exposure geography,observed,s13_cdc_nhsn,documented,high,Participation and reporting vary by facility type; no local facility list or ranking is used.,"HAI surveillance is an institutional system example, not community incidence."
IDO-018,DID-012,national_context,2019 report; current page,United States,national,national AR threat estimates and categories,national estimates; value not used as regional observation,CDC AR Threats report,national estimate context,national population/healthcare denominator is report-specific,AR threat-category and burden-estimate methodology,not Western Basin residence or exposure geography,estimated,s13_cdc_ar,documented,moderate,National estimates are not transferred to the Western Basin.,Generalized system-level context only; no local prevalence or burden estimate.
IDO-019,SUR-002,reporting_pathway,2026 current page,Indiana,state/provider/hospital,reportable-condition list and NBS/forms reporting pathway,reported conditions through provider/lab/hospital channels,Indiana communicable disease reporting,reports submitted under state reporting rules,not a uniform incidence denominator,state reportable-condition definitions and reporting instructions,case geography and exposure geography are condition-specific,observed,s13_ind_reportable,documented,high,"Reporting pathway confirms observation infrastructure, not complete detection or absence.",State reporting systems are retained as institutional interfaces.
IDO-020,DID-013,noninfectious_boundary,accepted 2026 context,Western Basin source/recreational water,pathway/monitoring,HAB toxic/environmental context is not an infectious-disease observation,boundary classification,accepted Phase 7A exposure layer,not applicable,not applicable,accepted exposure evidence ladder,no individual exposure or illness is asserted,observed,phase7_exposure,documented_boundary,high,HAB and infectious pathways must not be conflated.,Included solely to preserve the infectious/toxic boundary.
IDO-021,REF-12,accepted_reference,accepted 2026 context,Western Basin vector ecology and surveillance,county/habitat/program,"Phase 12 vector presence, pathogen-in-vector, and surveillance context",accepted reference layer,accepted Phase 12A/B/C package,not re-counted in Phase 13A,Phase 12 denominators remain in Phase 12 artifacts,accepted vector surveillance definitions,vector sampling geography; not human exposure location,observed,phase12_vector,accepted_reference,high,Phase 12 artifacts are frozen and remain unchanged.,This observation explicitly documents reuse rather than rebuilding vector ecology.
IDO-022,REF-9,accepted_reference,accepted 2026 context,Western Basin climate and hazard interfaces,station/county/watershed/shoreline,"temperature, precipitation, flooding, drought, and seasonal context",accepted reference layer,accepted Phase 9A/B/C package,not re-counted in Phase 13A,Phase 9 denominators remain in Phase 9 artifacts,accepted climate observation definitions,native Phase 9 geography; not disease exposure location,observed,phase9_climate,accepted_reference,high,No climate-to-disease causation is assumed.,Context only.
IDO-023,REF-11,accepted_reference,accepted 2026 context,Western Basin population and settlement interfaces,county/place/generalized employment,"population, settlement, workplace, and mobility context",accepted reference layer,accepted Phase 11A/B/C package,not re-counted in Phase 13A,Phase 11 denominators remain in Phase 11 artifacts,accepted aggregate population definitions,county/place/generalized geography; not individual exposure or case location,observed,phase11_population,accepted_reference,high,No neighborhood disease inference is made.,Context only.
IDO-024,REF-4,accepted_reference,accepted 2026 context,Western Basin observation and information systems,station/program/agency,"public observation, data, uncertainty, and decision interfaces",accepted reference layer,accepted Phase 4A/B package,not re-counted in Phase 13A,Phase 4 denominators remain in Phase 4 artifacts,accepted observation-system definitions,observation geography; not case or exposure geography,observed,phase4_information,accepted_reference,high,Monitoring coverage remains heterogeneous.,Context only.
IDO-025,REF-10,accepted_reference,accepted 2026 context,Western Basin governance and institutional roles,agency/program/jurisdiction,"reporting, monitoring, response, and authority interfaces",accepted reference layer,accepted Phase 10A/B/C package,not re-counted in Phase 13A,Phase 10 denominators remain in Phase 10 artifacts,accepted institutional-role definitions,jurisdictional reporting basis; not a disease geography,observed,phase10_governance,accepted_reference,high,"Monitoring, advice, funding, ownership, and authority remain separate.",Context only.
