dependency_id,population_or_settlement_object,system,interface,relationship_type,documented_or_inferred,spatial_scale,evidence_strength,source_id,confidence,reality_status,canon_status,notes
DEP-0005-environmental_health,POP-ZONE-39095,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0005-ecology_land,POP-ZONE-39095,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0005-biogeochemical,POP-ZONE-39095,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0005-housing_infrastructure,POP-ZONE-39095,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0005-governance,POP-ZONE-39095,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0006-water,POP-ZONE-39123,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0006-wastewater,POP-ZONE-39123,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0006-energy,POP-ZONE-39123,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0006-transport,POP-ZONE-39123,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0006-climate_hazard,POP-ZONE-39123,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0006-environmental_health,POP-ZONE-39123,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0006-ecology_land,POP-ZONE-39123,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0006-biogeochemical,POP-ZONE-39123,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0006-housing_infrastructure,POP-ZONE-39123,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0006-governance,POP-ZONE-39123,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0007-water,POP-ZONE-39125,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0007-wastewater,POP-ZONE-39125,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0007-energy,POP-ZONE-39125,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0007-transport,POP-ZONE-39125,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0007-climate_hazard,POP-ZONE-39125,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0007-environmental_health,POP-ZONE-39125,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0007-ecology_land,POP-ZONE-39125,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0007-biogeochemical,POP-ZONE-39125,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0007-housing_infrastructure,POP-ZONE-39125,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0007-governance,POP-ZONE-39125,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0008-water,POP-ZONE-39137,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0008-wastewater,POP-ZONE-39137,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0008-energy,POP-ZONE-39137,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0008-transport,POP-ZONE-39137,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0008-climate_hazard,POP-ZONE-39137,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0008-environmental_health,POP-ZONE-39137,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0008-ecology_land,POP-ZONE-39137,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0008-biogeochemical,POP-ZONE-39137,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0008-housing_infrastructure,POP-ZONE-39137,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0008-governance,POP-ZONE-39137,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0009-water,POP-ZONE-39143,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0009-wastewater,POP-ZONE-39143,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0009-energy,POP-ZONE-39143,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0009-transport,POP-ZONE-39143,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0009-climate_hazard,POP-ZONE-39143,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0009-environmental_health,POP-ZONE-39143,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0009-ecology_land,POP-ZONE-39143,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0009-biogeochemical,POP-ZONE-39143,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0009-housing_infrastructure,POP-ZONE-39143,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0009-governance,POP-ZONE-39143,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0010-water,POP-ZONE-39147,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0010-wastewater,POP-ZONE-39147,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0010-energy,POP-ZONE-39147,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0010-transport,POP-ZONE-39147,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0010-climate_hazard,POP-ZONE-39147,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0010-environmental_health,POP-ZONE-39147,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0010-ecology_land,POP-ZONE-39147,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0010-biogeochemical,POP-ZONE-39147,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0010-housing_infrastructure,POP-ZONE-39147,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0010-governance,POP-ZONE-39147,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0011-water,POP-ZONE-39161,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0011-wastewater,POP-ZONE-39161,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0011-energy,POP-ZONE-39161,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0011-transport,POP-ZONE-39161,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0011-climate_hazard,POP-ZONE-39161,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0011-environmental_health,POP-ZONE-39161,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0011-ecology_land,POP-ZONE-39161,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0011-biogeochemical,POP-ZONE-39161,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0011-housing_infrastructure,POP-ZONE-39161,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0011-governance,POP-ZONE-39161,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0012-water,POP-ZONE-39171,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0012-wastewater,POP-ZONE-39171,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0012-energy,POP-ZONE-39171,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0012-transport,POP-ZONE-39171,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0012-climate_hazard,POP-ZONE-39171,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0012-environmental_health,POP-ZONE-39171,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0012-ecology_land,POP-ZONE-39171,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0012-biogeochemical,POP-ZONE-39171,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0012-housing_infrastructure,POP-ZONE-39171,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0012-governance,POP-ZONE-39171,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0013-water,POP-ZONE-39173,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0013-wastewater,POP-ZONE-39173,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0013-energy,POP-ZONE-39173,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0013-transport,POP-ZONE-39173,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
