source_id,title,url,source_type,evidence_role,source_scope,retrieval_date,retrieval_status,use_limitations
VFS-025,Michigan EZID Annual Surveillance Summary,https://www.michigan.gov/emergingdiseases/-/media/Project/Websites/emergingdiseases/EZID_Annual_Surveillance_Summary.pdf,state_surveillance,Michigan participating-jurisdiction mosquito surveillance context,Michigan participating jurisdictions,2026-09-08,retrieved_from_accepted_12A_registry,Program totals and positive pools are not a comparable abundance index.
VFS-026,Indiana Department of Health — First 2026 WNV Case,https://events.in.gov/event/idoh-news-release-indianas-first-west-nile-virus-case-of-2026-reported-in-allen-county,state_surveillance,Indiana mosquito and contextual human-case reporting,Indiana state/county summary,2026-09-08,retrieved_from_accepted_12A_registry,"The release does not establish local transmission, abundance, or human-vector contact."
VFS-027,CDC — Tick Data,https://www.cdc.gov/ticks/data-research/facts-stats,federal_surveillance,tick surveillance product catalog context,United States county dashboards,2026-09-08,retrieved_from_accepted_12A_registry,Product availability does not imply uniform sampling or comparable effort.
VFS-028,Ohio West Nile Virus Disease in Ohio Map,https://ohid.ohio.gov/wps/wcm/connect/gov/ohio+content+english/odh/know-our-programs/zoonotic-disease-program/media/west-nile-virus-map,state_surveillance,human case county-of-residence context,Ohio county of residence,2026-09-08,retrieved_from_accepted_12A_registry,"Case geography is not exposure location, vector abundance, or local transmission proof."
VFS-014,Accepted Phase 1 hydrology and wetlands context,reports/water_system_manifest.json,repository_accepted_layer,"standing-water, drainage, wetland, and floodplain interfaces",Western Basin watershed/wetland context,2026-09-08,verified_in_repository,Reused context only; no future water footprint or vector abundance is created.
VFS-015,Accepted Phase 6 ecology and biodiversity context,reports/phase6a_ecology_freeze_manifest.json,repository_accepted_layer,"wetland, riparian, terrestrial, and host-ecology context",Western Basin ecological systems,2026-09-08,verified_in_repository,Reused generalized context; Great Black Swamp remains held and noncanonical.
VFS-016,Accepted Phase 10 governance futures context,reports/phase10c_governance_futures_freeze_manifest.json,repository_accepted_layer,"monitoring, coordination, and management-interface context",Western Basin institutional interfaces,2026-09-08,verified_in_repository,Scenario governance interfaces do not prove control effectiveness or complete surveillance.
VFS-017,Accepted Phase 11 population and settlement futures context,reports/phase11c_population_settlement_futures_freeze_manifest.json,repository_accepted_layer,settlement form and population-concentration interface,Western Basin generalized county/place context,2026-09-08,verified_in_repository,"Population and settlement context is not human-vector contact, exposure, infection, or disease risk."
VFS-018,Accepted Phase 7 environmental-health context,reports/phase7a_exposure_environmental_health_freeze_manifest.json,repository_accepted_layer,potential pathway and monitoring boundary,Western Basin pathway context,2026-09-08,verified_in_repository,"No exposure, dose, illness, or disease outcome is represented."
VFS-019,Accepted Phase 4 observation/data context,reports/observation_system_manifest.json,repository_accepted_layer,"observation, uncertainty, and decision-interface context",Western Basin information chains,2026-09-08,verified_in_repository,Observation coverage is heterogeneous and is not treated as complete surveillance.
